timestamp_ms,rssi,lqi
0,-72,84
99,-71,88
201,-71,88
302,-70,92
402,-70,92
502,-71,88
602,-72,84
703,-72,84
804,-72,84
906,-70,92
1004,-71,88
1105,-72,84
1206,-74,76
1306,-73,80
1413,-70,92
1507,-73,80
1609,-72,84
1709,-69,96
1811,-67,104
1911,-72,84
2009,-70,92
2117,-69,96
2215,-70,92
2314,-71,88
2412,-70,92
2515,-69,96
2614,-70,92
2714,-78,60
2815,-70,92
2916,-74,76
3018,-85,32
3117,-78,60
3219,-75,72
3319,-79,56
3419,-75,72
3520,-71,88
3619,-72,84
3720,-76,68
3821,-76,68
3923,-73,80
4022,-77,64
4124,-77,64
4223,-74,76
4325,-72,84
4425,-72,84
4525,-73,80
4625,-75,72
4726,-69,96
4828,-70,92
4840,-70,92
4930,-75,72
4935,-74,76
5028,-91,8
5046,-92,4
5129,-81,48
5234,-78,60
5330,-69,96
5430,-69,96
5530,-70,92
5630,-71,88
5738,-74,76
5833,-75,72
5933,-76,68
6034,-73,80
6135,-72,84
6241,-69,96
6336,-69,96
6437,-77,64
6537,-77,64
6636,-73,80
6736,-71,88
6837,-72,84
6938,-70,92
7040,-71,88
7139,-72,84
7240,-72,84
7340,-73,80
7441,-69,96
7542,-70,92
7643,-70,92
7645,-70,92
7743,-73,80
7843,-77,64
7944,-70,92
8045,-74,76
8145,-80,52
8246,-78,60
8346,-72,84
8349,-72,84
8447,-75,72
8547,-73,80
8557,-73,80
8648,-72,84
8755,-76,68
8851,-76,68
8950,-71,88
9050,-71,88
9151,-72,84
9253,-72,84
9353,-72,84
9453,-74,76
9553,-71,88
9659,-72,84
9755,-77,64
9855,-72,84
9955,-74,76
10057,-75,72
10156,-73,80
10258,-73,80
10358,-77,64
10459,-73,80
10558,-74,76
10660,-75,72
10759,-80,52
10861,-77,64
10963,-73,80
11062,-78,60
11162,-74,76
11264,-73,80
11363,-73,80
11463,-73,80
11564,-72,84
11666,-72,84
11766,-71,88
11867,-73,80
11968,-73,80
12068,-73,80
12167,-73,80
12269,-73,80
12370,-72,84
12471,-73,80
12570,-72,84
12671,-73,80
12674,-72,84
12771,-74,76
12872,-75,72
12974,-75,72
13074,-74,76
13173,-73,80
13274,-74,76
13375,-75,72
13475,-77,64
13575,-75,72
13676,-74,76
13777,-74,76
13877,-75,72
13979,-76,68
14080,-76,68
14179,-77,64
14280,-75,72
14380,-79,56
14482,-79,56
14582,-78,60
14684,-73,80
14787,-73,80
14885,-73,80
14983,-76,68
15084,-75,72
15186,-74,76
15290,-74,76
15387,-73,80
15486,-73,80
15586,-75,72
15687,-74,76
15797,-73,80
15890,-72,84
15990,-74,76
16088,-73,80
16190,-74,76
16291,-73,80
16391,-73,80
16492,-74,76
16592,-73,80
16693,-73,80
16796,-72,84
16895,-73,80
16997,-72,84
17100,-72,84
17198,-73,80
17297,-73,80
17301,-73,80
17398,-72,84
17497,-73,80
17599,-73,80
17700,-74,76
17800,-73,80
17904,-74,76
18002,-74,76
18104,-74,76
18201,-74,76
18304,-74,76
18404,-74,76
18410,-74,76
18416,-74,76
18504,-73,80
18604,-73,80
18705,-73,80
18805,-73,80
18913,-73,80
19007,-73,80
19106,-73,80
19209,-73,80
19309,-73,80
19410,-73,80
19509,-73,80
19610,-72,84
19710,-73,80
19811,-72,84
19912,-74,76
20013,-74,76
20115,-74,76
20215,-72,84
20314,-74,76
20318,-74,76
20421,-74,76
20516,-73,80
20615,-71,88
20717,-73,80
20818,-73,80
20917,-73,80
21018,-74,76
21119,-73,80
21231,-74,76
21319,-75,72
21427,-75,72
21522,-76,68
21621,-76,68
21723,-77,64
21823,-78,60
21925,-75,72
22024,-74,76
22126,-73,80
22226,-72,84
22326,-72,84
22427,-72,84
22527,-73,80
22628,-75,72
22729,-74,76
22828,-74,76
22929,-74,76
23030,-74,76
23129,-73,80
23233,-72,84
23332,-73,80
23432,-73,80
23532,-73,80
23536,-73,80
23640,-74,76
23734,-74,76
23835,-74,76
23935,-74,76
24035,-74,76
24136,-70,92
24236,-67,104
24337,-74,76
24436,-71,88
24539,-71,88
24639,-70,92
24740,-70,92
24839,-73,80
24946,-76,68
25041,-73,80
25140,-72,84
25243,-73,80
25343,-72,84
25444,-73,80
25543,-72,84
25645,-71,88
25745,-73,80
25845,-72,84
25945,-73,80
26048,-74,76
26148,-72,84
26254,-74,76
26349,-78,60
26454,-74,76
26557,-73,80
26651,-73,80
26752,-71,88
26851,-73,80
26952,-76,68
27053,-79,56
27153,-73,80
27254,-74,76
27354,-73,80
27454,-71,88
27557,-73,80
27655,-70,92
27757,-72,84
27856,-75,72
27957,-73,80
28057,-73,80
28159,-71,88
28258,-71,88
28361,-72,84
28460,-70,92
28561,-70,92
28668,-70,92
28765,-70,92
28863,-70,92
28964,-70,92
29065,-71,88
29164,-72,84
29267,-71,88
29365,-70,92
29473,-69,96
29567,-69,96
29669,-69,96
29768,-69,96
29869,-69,96
29973,-69,96
30070,-69,96
30170,-69,96
30272,-69,96
30371,-69,96
30473,-70,92
30573,-69,96
30674,-70,92
30775,-70,92
30875,-70,92
30976,-70,92
31075,-71,88
31177,-71,88
31278,-70,92
31378,-70,92
31479,-71,88
31578,-72,84
31679,-70,92
31780,-72,84
31879,-71,88
31981,-72,84
32081,-72,84
32180,-70,92
32281,-69,96
32384,-70,92
32484,-70,92
32585,-70,92
32683,-70,92
32785,-70,92
32885,-69,96
32985,-71,88
33086,-71,88
33188,-70,92
33288,-70,92
33389,-70,92
33489,-71,88
33593,-71,88
33690,-71,88
33790,-71,88
33891,-72,84
33992,-73,80
34092,-71,88
34193,-71,88
34303,-72,84
34393,-71,88
34494,-72,84
34596,-72,84
34696,-72,84
34797,-72,84
34896,-72,84
34998,-72,84
35099,-71,88
35200,-72,84
35300,-72,84
35399,-71,88
35501,-72,84
35602,-71,88
35702,-71,88
35802,-71,88
35903,-71,88
36002,-70,92
36104,-70,92
36205,-70,92
36305,-70,92
36406,-72,84
36505,-71,88
36608,-70,92
36706,-70,92
36807,-71,88
36907,-72,84
36910,-73,80
37010,-74,76
37109,-70,92
37210,-70,92
37311,-71,88
37412,-71,88
37512,-71,88
37612,-71,88
37713,-70,92
37814,-70,92
37913,-70,92
37915,-70,92
38015,-71,88
38116,-70,92
38216,-71,88
38317,-72,84
38417,-71,88
38518,-71,88
38619,-71,88
38719,-70,92
38819,-74,76
38920,-72,84
39019,-74,76
39120,-73,80
39222,-72,84
39322,-73,80
39422,-71,88
39522,-71,88
39623,-72,84
39725,-72,84
39825,-71,88
39925,-74,76
40026,-72,84
40127,-73,80
40227,-76,68
40328,-78,60
40427,-77,64
40529,-75,72
40628,-75,72
40729,-75,72
40829,-76,68
40930,-77,64
41031,-77,64
41132,-76,68
41234,-76,68
41333,-76,68
41434,-76,68
41535,-76,68
41634,-75,72
41641,-76,68
41736,-76,68
