timestamp_ms,rssi,lqi
0,-77,64
100,-81,48
200,-91,8
303,-82,44
400,-88,20
501,-83,40
604,-89,16
702,-80,52
803,-82,44
902,-83,40
1004,-78,60
1105,-88,20
1107,-89,16
1219,-93,0
1307,-81,48
1409,-90,12
1505,-86,28
1609,-80,52
1709,-88,20
1810,-86,28
1909,-78,60
2015,-86,28
2110,-84,36
2212,-77,64
2311,-78,60
2411,-88,20
2514,-81,48
2616,-77,64
2714,-78,60
2816,-80,52
2917,-81,48
3016,-81,48
3114,-81,48
3218,-77,64
3320,-77,64
3416,-84,36
3526,-90,12
3619,-83,40
3720,-86,28
3826,-91,8
3922,-80,52
4022,-81,48
4127,-79,56
4223,-78,60
4323,-80,52
4431,-79,56
4526,-79,56
4631,-83,40
4728,-85,32
4831,-93,0
4836,-93,0
4928,-89,16
5027,-78,60
5129,-78,60
5229,-79,56
5330,-80,52
5429,-79,56
5532,-83,40
5633,-83,40
5732,-79,56
5740,-80,52
5746,-83,40
5834,-83,40
5931,-81,48
6033,-79,56
6135,-81,48
6233,-80,52
6334,-79,56
6436,-83,40
6538,-87,24
6637,-81,48
6737,-83,40
6838,-81,48
6936,-85,32
7141,-93,0
7240,-92,4
7342,-85,32
7349,-85,32
7441,-85,32
7544,-82,44
7650,-82,44
7741,-84,36
7845,-80,52
7945,-81,48
8045,-84,36
8151,-84,36
8244,-82,44
8347,-75,72
8464,-80,52
8548,-84,36
8553,-85,32
8558,-85,32
8561,-84,36
8569,-86,28
8649,-76,68
8753,-74,76
8851,-71,88
8949,-71,88
9048,-74,76
9150,-75,72
9250,-88,20
9255,-88,20
9262,-88,20
9266,-87,24
9270,-86,28
9354,-83,40
9361,-83,40
9367,-85,32
9373,-84,36
9452,-93,0
9458,-93,0
9460,-93,0
9473,-91,8
9552,-89,16
9555,-88,20
9560,-88,20
9564,-88,20
9568,-88,20
9656,-82,44
9754,-78,60
9875,-85,32
9879,-85,32
9975,-87,24
9978,-87,24
9983,-88,20
9987,-87,24
9994,-87,24
10056,-90,12
10059,-90,12
10065,-90,12
10069,-91,8
10072,-90,12
10162,-82,44
10169,-82,44
10256,-80,52
10359,-81,48
10460,-80,52
10558,-82,44
10679,-82,44
10771,-83,40
10866,-84,36
10870,-84,36
10882,-84,36
10888,-84,36
10961,-86,28
10964,-86,28
10970,-86,28
10973,-89,16
10978,-86,28
11067,-84,36
11073,-84,36
11079,-84,36
11083,-85,32
11090,-84,36
11163,-83,40
11168,-82,44
11173,-82,44
11177,-83,40
11262,-79,56
11361,-79,56
11466,-79,56
11468,-79,56
11563,-78,60
11664,-79,56
11764,-80,52
11872,-81,48
