timestamp_ms,rssi,lqi
0,-60,132
101,-61,128
201,-61,128
301,-61,128
400,-60,132
501,-61,128
603,-60,132
704,-61,128
807,-66,108
907,-68,100
1010,-66,108
1104,-63,120
1206,-62,124
1306,-62,124
1409,-61,128
1509,-61,128
1608,-61,128
1709,-61,128
1810,-61,128
1911,-61,128
1915,-61,128
2013,-61,128
2111,-61,128
2216,-62,124
2221,-62,124
2319,-63,120
2415,-63,120
2514,-63,120
2618,-64,116
2715,-63,120
2814,-62,124
2818,-62,124
2917,-64,116
3017,-66,108
3117,-61,128
3218,-61,128
3319,-62,124
3421,-61,128
3520,-62,124
3620,-62,124
3720,-61,128
3824,-64,116
3923,-63,120
4022,-62,124
4122,-63,120
4226,-63,120
4323,-61,128
4426,-61,128
4527,-62,124
4630,-63,120
4728,-63,120
4830,-62,124
4928,-61,128
5026,-61,128
5130,-60,132
5229,-61,128
5331,-61,128
5432,-61,128
5531,-61,128
5633,-61,128
5731,-60,132
5835,-57,144
5934,-57,144
6034,-57,144
6135,-57,144
6237,-58,140
6338,-59,136
6437,-60,132
6539,-60,132
6638,-59,136
6738,-58,140
6840,-58,140
6939,-58,140
7045,-58,140
7143,-59,136
7242,-60,132
7341,-59,136
7445,-60,132
7542,-59,136
7651,-60,132
7742,-60,132
7845,-61,128
7945,-61,128
8045,-60,132
8148,-59,136
8246,-58,140
8347,-59,136
8448,-60,132
8547,-59,136
8649,-59,136
8652,-59,136
8750,-60,132
8855,-60,132
8953,-59,136
9056,-58,140
9152,-58,140
9251,-59,136
9353,-59,136
9452,-59,136
9555,-58,140
9655,-59,136
9754,-60,132
9857,-59,136
9956,-59,136
10056,-60,132
10157,-58,140
10258,-59,136
10359,-58,140
10459,-58,140
10561,-59,136
10660,-58,140
10761,-59,136
10862,-59,136
10964,-58,140
11061,-59,136
11164,-57,144
11270,-58,140
11363,-57,144
11468,-57,144
11565,-57,144
11666,-58,140
11767,-57,144
11868,-57,144
11969,-58,140
12067,-59,136
12168,-57,144
12275,-58,140
12371,-59,136
12470,-58,140
12476,-58,140
12570,-57,144
12670,-59,136
12771,-59,136
12871,-59,136
12972,-59,136
13074,-59,136
13174,-60,132
13275,-59,136
13376,-59,136
13483,-58,140
13577,-58,140
13675,-59,136
13777,-59,136
13878,-60,132
13977,-60,132
14079,-60,132
14180,-61,128
14282,-60,132
14382,-59,136
14482,-60,132
14582,-59,136
14683,-59,136
14784,-57,144
14884,-58,140
14986,-58,140
15090,-59,136
15186,-58,140
15287,-58,140
15386,-59,136
15489,-58,140
15588,-59,136
15690,-60,132
15789,-59,136
15896,-60,132
15990,-60,132
16091,-60,132
16190,-60,132
16296,-60,132
16394,-59,136
16493,-59,136
16594,-58,140
16694,-57,144
16796,-56,148
16897,-56,148
16998,-56,148
17096,-56,148
17199,-56,148
17297,-56,148
17398,-56,148
17499,-58,140
17601,-59,136
17700,-59,136
17801,-60,132
17903,-61,128
18001,-63,120
18102,-61,128
18204,-58,140
18305,-65,112
18307,-65,112
18404,-60,132
18504,-56,148
18604,-55,152
18705,-55,152
18808,-54,156
18911,-53,160
19008,-52,164
19109,-52,164
19209,-53,160
19309,-58,140
19411,-82,44
19515,-87,24
19611,-62,124
19714,-60,132
19811,-59,136
19913,-61,128
20018,-62,124
20114,-63,120
20215,-61,128
20315,-62,124
20418,-65,112
20517,-70,92
20617,-79,56
20717,-79,56
20819,-70,92
20917,-65,112
21019,-71,88
21127,-83,40
21133,-92,4
21222,-72,84
21323,-90,12
21421,-68,100
21522,-66,108
21626,-68,100
21724,-69,96
21824,-68,100
21925,-69,96
22024,-69,96
22127,-70,92
22226,-70,92
22230,-70,92
22327,-64,116
22428,-61,128
22534,-59,136
22628,-61,128
22631,-61,128
22729,-64,116
22829,-68,100
22928,-69,96
23029,-71,88
23132,-68,100
23231,-68,100
23334,-75,72
23435,-67,104
23532,-59,136
23633,-59,136
23732,-60,132
23843,-59,136
23936,-59,136
24036,-57,144
24143,-57,144
24237,-61,128
24338,-79,56
24439,-80,52
24537,-78,60
24638,-78,60
24739,-68,100
24839,-75,72
24946,-71,88
25040,-74,76
25141,-75,72
25246,-73,80
25348,-70,92
25442,-73,80
25545,-71,88
25645,-64,116
25745,-64,116
25848,-65,112
25945,-66,108
26047,-67,104
26147,-66,108
26250,-65,112
26351,-66,108
26458,-65,112
26552,-64,116
26650,-62,124
26751,-65,112
26853,-64,116
26955,-66,108
27054,-65,112
27153,-65,112
27254,-65,112
27356,-66,108
27454,-66,108
27558,-66,108
27658,-65,112
27756,-65,112
27857,-65,112
27957,-65,112
27960,-65,112
28058,-66,108
28158,-65,112
28261,-65,112
28361,-66,108
28461,-65,112
28566,-63,120
28664,-63,120
28763,-64,116
28864,-64,116
28964,-62,124
29065,-60,132
29165,-58,140
29265,-57,144
29368,-57,144
29469,-57,144
29569,-60,132
29669,-57,144
29770,-58,140
29869,-57,144
29969,-57,144
30078,-57,144
30169,-60,132
30273,-60,132
30371,-63,120
30482,-70,92
30574,-72,84
30679,-81,48
30774,-75,72
30874,-69,96
30974,-68,100
31076,-68,100
31178,-68,100
31279,-66,108
31377,-65,112
31488,-65,112
31588,-66,108
31681,-65,112
31781,-65,112
31888,-66,108
31984,-66,108
32089,-63,120
32182,-61,128
32283,-61,128
32384,-61,128
32485,-60,132
32583,-60,132
32692,-62,124
32788,-62,124
32891,-65,112
32990,-65,112
33088,-61,128
33187,-58,140
33288,-60,132
33388,-70,92
33491,-64,116
33589,-63,120
33690,-61,128
33800,-61,128
33893,-63,120
33993,-65,112
