timestamp_ms,rssi,lqi
0,-74,76
101,-73,80
201,-73,80
303,-74,76
402,-75,72
503,-78,60
603,-79,56
705,-72,84
804,-72,84
906,-72,84
1006,-74,76
1106,-69,96
1208,-74,76
1309,-70,92
1409,-71,88
1512,-70,92
1611,-71,88
1710,-70,92
1811,-70,92
1911,-67,104
2013,-69,96
2113,-71,88
2212,-72,84
2314,-69,96
2415,-68,100
2515,-68,100
2615,-68,100
2617,-68,100
2620,-68,100
2716,-67,104
2816,-67,104
2916,-68,100
3017,-69,96
3117,-69,96
3219,-68,100
3319,-68,100
3420,-68,100
3521,-68,100
3620,-67,104
3722,-67,104
3821,-67,104
3921,-66,108
4024,-66,108
4124,-66,108
4225,-65,112
4324,-65,112
4424,-64,116
4525,-65,112
4627,-67,104
4726,-66,108
4827,-66,108
4927,-66,108
5029,-67,104
5129,-65,112
5231,-68,100
5331,-68,100
5430,-68,100
5531,-68,100
5632,-69,96
5733,-68,100
5833,-67,104
5934,-67,104
6034,-67,104
6136,-68,100
6237,-67,104
6337,-69,96
6342,-69,96
6442,-70,92
6537,-66,108
6636,-65,112
6738,-66,108
6838,-65,112
6939,-66,108
7041,-67,104
7142,-68,100
7242,-64,116
7342,-64,116
7443,-67,104
7544,-69,96
7642,-68,100
7744,-65,112
7846,-66,108
7945,-64,116
8045,-63,120
8151,-66,108
8246,-66,108
8348,-67,104
8447,-65,112
8550,-66,108
8556,-65,112
8650,-65,112
8750,-66,108
8849,-65,112
8952,-67,104
9051,-68,100
9152,-67,104
9253,-64,116
9352,-65,112
9459,-67,104
9555,-67,104
9655,-68,100
9755,-71,88
9857,-68,100
9956,-67,104
10057,-70,92
10157,-72,84
10257,-71,88
10358,-69,96
10459,-68,100
10560,-65,112
10660,-64,116
10765,-65,112
10862,-64,116
10970,-64,116
11062,-63,120
11163,-64,116
11264,-66,108
11364,-67,104
11464,-65,112
11565,-66,108
11666,-68,100
11765,-65,112
11867,-64,116
11967,-65,112
12069,-65,112
12169,-64,116
12269,-65,112
12371,-65,112
12470,-65,112
12571,-66,108
12672,-66,108
12771,-66,108
12872,-66,108
12974,-66,108
13075,-66,108
13173,-66,108
13275,-66,108
13376,-65,112
13475,-66,108
13576,-67,104
13677,-65,112
13778,-64,116
13878,-65,112
13979,-67,104
13985,-67,104
14078,-67,104
14179,-68,100
14280,-67,104
14381,-66,108
14481,-66,108
14487,-66,108
14583,-65,112
14683,-66,108
14783,-66,108
14883,-67,104
14984,-66,108
15086,-66,108
15186,-66,108
15287,-67,104
15386,-68,100
15488,-68,100
15588,-66,108
15690,-65,112
15790,-65,112
15890,-66,108
15991,-66,108
16090,-67,104
16192,-68,100
16292,-69,96
16392,-66,108
16494,-65,112
16595,-70,92
16694,-70,92
16794,-67,104
16896,-65,112
16997,-74,76
17097,-71,88
17198,-71,88
17298,-73,80
17402,-77,64
17498,-74,76
17599,-74,76
17700,-73,80
17799,-74,76
17901,-70,92
18002,-66,108
