timestamp_ms,rssi,lqi
0,-88,20
90,-86,28
187,-85,32
288,-85,32
395,-85,32
489,-85,32
588,-85,32
691,-86,28
790,-86,28
893,-85,32
994,-86,28
1092,-85,32
1192,-85,32
1294,-85,32
1393,-87,24
1494,-86,28
1596,-85,32
1696,-86,28
1810,-86,28
1897,-85,32
1998,-86,28
2098,-86,28
2205,-87,24
2301,-86,28
2406,-87,24
2499,-87,24
2606,-88,20
2803,-86,28
2906,-87,24
3008,-88,20
3104,-88,20
4829,-89,16
4916,-89,16
5015,-89,16
5531,-89,16
11969,-87,24
12576,-89,16
12659,-92,4
12764,-86,28
12866,-86,28
12958,-83,40
12963,-83,40
13075,-82,44
13160,-81,48
13268,-82,44
13363,-84,36
13463,-85,32
13566,-85,32
13665,-84,36
13766,-85,32
13866,-84,36
13967,-87,24
14068,-89,16
14784,-90,12
14871,-85,32
14972,-79,56
15072,-79,56
15173,-82,44
15276,-84,36
15382,-83,40
15476,-81,48
15575,-79,56
15675,-83,40
15777,-79,56
15876,-83,40
15977,-78,60
16079,-86,28
16177,-85,32
16480,-90,12
16579,-87,24
16681,-89,16
16782,-84,36
16882,-88,20
16982,-90,12
17084,-91,8
17183,-93,0
17287,-93,0
17384,-92,4
17485,-87,24
17597,-85,32
17688,-83,40
17786,-85,32
17893,-83,40
17988,-78,60
18089,-79,56
18188,-80,52
18290,-83,40
18392,-87,24
18491,-78,60
18594,-77,64
18700,-78,60
18793,-81,48
18895,-91,8
18994,-83,40
19095,-86,28
19195,-84,36
19297,-84,36
19395,-80,52
19504,-79,56
19600,-83,40
19699,-82,44
19802,-86,28
19807,-87,24
19908,-89,16
19999,-85,32
20099,-84,36
20206,-90,12
20300,-87,24
20402,-83,40
20503,-83,40
20604,-84,36
20705,-83,40
20805,-83,40
22118,-85,32
22211,-82,44
22215,-83,40
22312,-82,44
22415,-84,36
22517,-85,32
22613,-85,32
22716,-87,24
22818,-89,16
22915,-90,12
23028,-93,0
24137,-92,4
24223,-81,48
24225,-82,44
24323,-82,44
24425,-82,44
24525,-83,40
24626,-82,44
