timestamp_ms,rssi,lqi
0,-60,132
98,-60,132
198,-60,132
299,-60,132
407,-60,132
501,-60,132
602,-60,132
703,-60,132
803,-60,132
904,-58,140
1002,-60,132
1104,-60,132
1204,-59,136
1306,-60,132
1407,-60,132
1509,-60,132
1608,-59,136
1708,-60,132
1808,-61,128
1910,-60,132
2009,-61,128
2111,-60,132
2211,-60,132
2311,-60,132
2412,-60,132
2511,-60,132
2612,-60,132
2714,-60,132
2814,-60,132
2914,-60,132
3014,-59,136
3115,-60,132
3216,-59,136
3318,-59,136
3416,-59,136
3517,-60,132
3618,-60,132
3718,-60,132
3820,-60,132
3920,-59,136
4021,-59,136
4121,-59,136
4222,-60,132
4323,-60,132
4423,-59,136
4522,-60,132
4624,-60,132
4724,-60,132
4825,-60,132
4925,-60,132
5026,-60,132
5127,-60,132
5229,-59,136
5328,-60,132
5428,-60,132
5530,-59,136
5630,-60,132
5730,-60,132
5830,-60,132
5932,-60,132
6031,-60,132
6132,-60,132
6233,-60,132
6334,-60,132
6434,-60,132
6535,-60,132
6635,-61,128
6736,-60,132
6835,-60,132
6938,-59,136
7037,-60,132
7139,-60,132
7239,-59,136
7339,-60,132
7440,-60,132
7541,-59,136
7642,-59,136
7741,-59,136
7844,-59,136
7942,-59,136
8042,-60,132
8145,-60,132
8244,-60,132
8345,-59,136
8445,-59,136
8547,-59,136
8646,-59,136
8747,-59,136
8852,-59,136
8949,-59,136
9049,-59,136
9150,-59,136
9250,-59,136
9351,-59,136
9451,-59,136
9552,-59,136
9652,-59,136
9752,-59,136
9853,-60,132
9954,-59,136
10055,-59,136
10154,-59,136
10257,-59,136
10356,-59,136
10456,-59,136
10558,-59,136
10659,-59,136
10758,-59,136
10860,-59,136
10959,-59,136
11061,-59,136
11161,-60,132
11262,-60,132
11363,-60,132
11464,-60,132
11562,-60,132
11664,-59,136
11765,-59,136
11865,-59,136
11966,-60,132
12066,-60,132
12167,-59,136
12269,-60,132
12368,-60,132
12467,-60,132
12570,-60,132
12670,-60,132
12770,-60,132
12871,-59,136
12972,-60,132
13073,-60,132
13173,-59,136
13274,-59,136
13373,-59,136
13475,-60,132
