/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-11_17.54.40-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-11 17:54:40,305 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-11 17:54:41,309 # r
2025-07-11 17:54:41,311 # main(): This is RIOT! (Version: 2025.01)
2025-07-11 17:54:41,312 # Packet Logger w/ Timestamp RSSI LQI
2025-07-11 17:54:41,312 # 
2025-07-11 17:54:41,313 # [recv_thread] started
2025-07-11 17:54:41,314 # [sender_thread] started
> 2025-07-11 17:54:44,518 # help
2025-07-11 17:54:44,520 # Command              Description
2025-07-11 17:54:44,522 # ---------------------------------------
2025-07-11 17:54:44,525 # target_add           Add IPv6 target for sending packets
2025-07-11 17:54:44,527 # send                 Control sender: send start|stop
2025-07-11 17:54:44,530 # status               Show sender status and target list
2025-07-11 17:54:44,531 # ping                 Ping via ICMPv6
2025-07-11 17:54:44,533 # nib                  Configure neighbor information base
2025-07-11 17:54:44,535 # ifconfig             Configure network interfaces
2025-07-11 17:54:44,537 # 6ctx                 6LoWPAN context configuration tool
2025-07-11 17:54:44,540 # pm                   interact with layered PM subsystem
2025-07-11 17:54:44,542 # version              Prints current RIOT_VERSION
2025-07-11 17:54:44,543 # bootloader           Reboot to bootloader
2025-07-11 17:54:44,545 # reboot               Reboot the node
> 2025-07-11 17:54:51,211 # -73,80
2025-07-11 17:54:51,312 # -74,76
2025-07-11 17:54:51,413 # -73,80
2025-07-11 17:54:51,513 # -73,80
2025-07-11 17:54:51,615 # -74,76
2025-07-11 17:54:51,714 # -75,72
2025-07-11 17:54:51,815 # -78,60
2025-07-11 17:54:51,915 # -79,56
2025-07-11 17:54:52,017 # -72,84
2025-07-11 17:54:52,116 # -72,84
2025-07-11 17:54:52,218 # -72,84
2025-07-11 17:54:52,318 # -74,76
2025-07-11 17:54:52,418 # -69,96
2025-07-11 17:54:52,520 # -74,76
2025-07-11 17:54:52,621 # -70,92
2025-07-11 17:54:52,721 # -71,88
2025-07-11 17:54:52,824 # -70,92
2025-07-11 17:54:52,923 # -71,88
2025-07-11 17:54:53,022 # -70,92
2025-07-11 17:54:53,123 # -70,92
2025-07-11 17:54:53,223 # -67,104
2025-07-11 17:54:53,325 # -69,96
2025-07-11 17:54:53,425 # -71,88
2025-07-11 17:54:53,524 # -72,84
2025-07-11 17:54:53,626 # -69,96
2025-07-11 17:54:53,727 # -68,100
2025-07-11 17:54:53,827 # -68,100
2025-07-11 17:54:53,927 # -68,100
2025-07-11 17:54:53,929 # -68,100
2025-07-11 17:54:53,932 # -68,100
2025-07-11 17:54:54,028 # -67,104
2025-07-11 17:54:54,128 # -67,104
2025-07-11 17:54:54,228 # -68,100
2025-07-11 17:54:54,329 # -69,96
2025-07-11 17:54:54,429 # -69,96
