timestamp,rssi,lqi
1751741903,-79,56
1751741904,-81,48
1751741904,-84,36
1751741904,-84,36
1751741904,-83,40
1751741904,-83,40
1751741904,-84,36
1751741904,-85,32
1751741904,-85,32
1751741904,-89,16
1751741904,-90,12
1751741904,-90,12
1751741905,-90,12
1751741905,-92,4
1751741905,-91,8
1751741905,-88,20
1751741905,-93,0
1751741905,-91,8
1751741906,-89,16
1751741906,-89,16
1751741906,-85,32
1751741906,-82,44
1751741906,-83,40
1751741906,-88,20
1751741906,-89,16
1751741906,-89,16
1751741906,-85,32
1751741906,-84,36
1751741907,-82,44
1751741907,-87,24
1751741907,-80,52
1751741907,-87,24
1751741907,-85,32
1751741907,-91,8
1751741907,-90,12
1751741907,-89,16
1751741907,-79,56
1751741907,-87,24
1751741907,-87,24
1751741907,-83,40
1751741907,-91,8
1751741907,-90,12
1751741907,-89,16
1751741907,-87,24
1751741908,-88,20
1751741908,-90,12
1751741908,-90,12
1751741908,-89,16
1751741908,-93,0
1751741908,-93,0
1751741908,-93,0
1751741908,-92,4
1751741908,-91,8
1751741908,-91,8
1751741908,-90,12
1751741908,-90,12
1751741908,-89,16
1751741908,-90,12
1751741908,-88,20
1751741908,-89,16
1751741908,-89,16
1751741908,-90,12
1751741908,-89,16
1751741908,-91,8
1751741908,-91,8
1751741908,-90,12
1751741908,-93,0
1751741908,-93,0
1751741908,-93,0
1751741908,-91,8
1751741908,-91,8
1751741908,-90,12
1751741908,-91,8
1751741908,-91,8
1751741908,-91,8
1751741909,-92,4
1751741909,-89,16
1751741909,-91,8
1751741909,-90,12
1751741909,-93,0
1751741909,-93,0
1751741909,-89,16
1751741909,-89,16
1751741909,-88,20
1751741909,-91,8
1751741909,-92,4
1751741909,-91,8
1751741909,-91,8
1751741909,-92,4
1751741909,-92,4
1751741909,-90,12
1751741909,-86,28
1751741909,-93,0
1751741909,-93,0
1751741909,-93,0
1751741909,-92,4
1751741909,-90,12
1751741909,-89,16
1751741909,-88,20
1751741910,-92,4
1751741910,-87,24
1751741910,-82,44
1751741910,-85,32
1751741910,-90,12
1751741910,-89,16
1751741910,-90,12
1751741910,-89,16
1751741910,-88,20
1751741910,-89,16
1751741910,-88,20
1751741910,-88,20
1751741910,-89,16
1751741910,-86,28
1751741910,-85,32
1751741910,-84,36
1751741910,-84,36
1751741911,-85,32
1751741911,-85,32
1751741911,-84,36
1751741911,-87,24
1751741911,-86,28
1751741911,-88,20
1751741911,-88,20
1751741911,-87,24
1751741911,-86,28
1751741911,-87,24
1751741911,-87,24
1751741911,-87,24
1751741911,-86,28
1751741911,-86,28
1751741912,-86,28
1751741912,-85,32
1751741912,-85,32
1751741912,-86,28
1751741912,-86,28
1751741912,-86,28
1751741912,-86,28
1751741912,-86,28
