timestamp,rssi,lqi
1751738560,-91,8
1751738560,-90,12
1751738560,-90,12
1751738560,-90,12
1751738560,-93,0
1751738560,-89,16
1751738560,-89,16
1751738560,-89,16
1751738561,-86,28
1751738561,-88,20
1751738561,-86,28
1751738561,-88,20
1751738561,-87,24
1751738561,-90,12
1751738561,-88,20
1751738561,-87,24
1751738561,-86,28
1751738562,-88,20
1751738562,-88,20
1751738562,-88,20
1751738562,-92,4
1751738562,-88,20
1751738562,-89,16
1751738562,-88,20
1751738562,-90,12
1751738562,-87,24
1751738562,-86,28
1751738563,-84,36
1751738563,-85,32
1751738563,-85,32
1751738563,-87,24
1751738563,-85,32
1751738563,-86,28
1751738563,-86,28
1751738563,-84,36
1751738563,-88,20
1751738563,-85,32
1751738564,-86,28
1751738564,-88,20
1751738564,-92,4
1751738564,-92,4
1751738564,-88,20
1751738564,-88,20
1751738564,-86,28
1751738564,-89,16
1751738564,-82,44
1751738564,-87,24
1751738565,-85,32
1751738565,-82,44
1751738565,-91,8
1751738565,-91,8
1751738565,-83,40
1751738565,-85,32
1751738565,-86,28
1751738565,-87,24
1751738565,-86,28
1751738566,-90,12
1751738566,-89,16
1751738566,-79,56
1751738566,-88,20
1751738566,-82,44
1751738566,-85,32
1751738566,-93,0
1751738566,-84,36
1751738566,-84,36
1751738566,-86,28
1751738567,-84,36
1751738567,-91,8
1751738567,-87,24
1751738567,-90,12
1751738567,-84,36
1751738567,-84,36
1751738567,-87,24
1751738567,-88,20
1751738567,-85,32
1751738568,-91,8
1751738568,-84,36
1751738568,-91,8
1751738568,-86,28
1751738568,-87,24
1751738568,-89,16
1751738568,-88,20
1751738568,-88,20
1751738568,-90,12
1751738568,-87,24
1751738569,-87,24
1751738569,-87,24
1751738569,-89,16
1751738569,-87,24
1751738569,-87,24
1751738569,-88,20
1751738569,-89,16
1751738569,-89,16
1751738569,-89,16
1751738569,-92,4
1751738569,-91,8
1751738569,-93,0
1751738570,-91,8
1751738570,-88,20
1751738570,-85,32
1751738570,-91,8
1751738570,-88,20
1751738570,-87,24
1751738570,-89,16
1751738570,-86,28
1751738570,-90,12
1751738570,-88,20
1751738571,-86,28
1751738571,-88,20
1751738571,-87,24
1751738571,-87,24
1751738571,-88,20
1751738571,-89,16
1751738571,-90,12
1751738571,-89,16
1751738571,-90,12
1751738571,-86,28
1751738572,-93,0
1751738572,-93,0
1751738572,-90,12
1751738572,-90,12
1751738572,-90,12
1751738572,-88,20
1751738572,-87,24
1751738572,-90,12
1751738573,-90,12
1751738573,-84,36
1751738573,-88,20
1751738573,-84,36
1751738573,-79,56
1751738573,-78,60
1751738573,-80,52
1751738573,-81,48
1751738573,-83,40
1751738574,-92,4
1751738574,-87,24
1751738574,-84,36
1751738574,-87,24
1751738574,-86,28
1751738574,-90,12
1751738574,-82,44
1751738574,-85,32
1751738574,-89,16
1751738574,-86,28
1751738575,-84,36
1751738575,-83,40
1751738575,-84,36
1751738575,-91,8
1751738575,-82,44
1751738575,-82,44
1751738575,-84,36
1751738575,-92,4
1751738575,-87,24
1751738575,-86,28
1751738575,-83,40
1751738576,-84,36
1751738576,-85,32
1751738576,-87,24
1751738576,-82,44
1751738576,-85,32
1751738576,-85,32
1751738576,-93,0
1751738576,-81,48
1751738576,-78,60
1751738576,-84,36
1751738577,-88,20
1751738577,-80,52
1751738577,-80,52
1751738577,-79,56
1751738577,-82,44
1751738577,-81,48
1751738577,-87,24
1751738577,-85,32
1751738577,-83,40
1751738577,-82,44
1751738578,-83,40
1751738578,-93,0
1751738578,-80,52
1751738578,-79,56
1751738578,-89,16
1751738578,-78,60
1751738578,-79,56
1751738578,-79,56
1751738578,-79,56
1751738578,-81,48
1751738579,-82,44
1751738579,-82,44
1751738579,-84,36
1751738579,-86,28
1751738579,-88,20
1751738579,-88,20
1751738579,-89,16
1751738579,-86,28
1751738579,-85,32
1751738579,-85,32
1751738579,-83,40
1751738580,-83,40
1751738580,-81,48
1751738580,-79,56
1751738580,-78,60
1751738580,-80,52
1751738580,-82,44
1751738580,-92,4
1751738580,-79,56
1751738580,-81,48
1751738580,-79,56
1751738581,-84,36
1751738581,-81,48
1751738581,-78,60
1751738581,-80,52
1751738581,-80,52
1751738581,-81,48
1751738581,-80,52
1751738581,-82,44
1751738581,-82,44
1751738581,-80,52
1751738582,-79,56
1751738582,-78,60
1751738582,-82,44
1751738582,-87,24
1751738582,-83,40
1751738582,-83,40
1751738582,-90,12
1751738582,-92,4
1751738582,-92,4
1751738582,-91,8
1751738583,-86,28
1751738583,-84,36
1751738583,-82,44
1751738583,-81,48
1751738583,-77,64
1751738583,-79,56
1751738583,-77,64
1751738583,-77,64
1751738583,-77,64
1751738583,-76,68
1751738583,-76,68
1751738584,-81,48
1751738584,-82,44
1751738584,-81,48
1751738584,-76,68
1751738584,-86,28
1751738584,-93,0
1751738584,-84,36
1751738584,-89,16
1751738584,-87,24
1751738584,-91,8
1751738585,-91,8
1751738585,-86,28
1751738585,-83,40
1751738585,-86,28
1751738585,-91,8
1751738585,-83,40
1751738585,-82,44
1751738585,-82,44
1751738585,-86,28
1751738585,-87,24
1751738585,-85,32
1751738586,-82,44
1751738586,-83,40
1751738586,-87,24
1751738586,-92,4
1751738586,-80,52
1751738586,-78,60
1751738586,-91,8
1751738586,-79,56
1751738586,-83,40
1751738586,-84,36
1751738587,-83,40
1751738587,-85,32
1751738587,-80,52
1751738587,-84,36
1751738587,-81,48
1751738587,-79,56
1751738587,-91,8
1751738587,-80,52
1751738587,-78,60
1751738587,-83,40
1751738588,-88,20
1751738588,-86,28
1751738588,-80,52
1751738588,-84,36
1751738588,-93,0
1751738588,-90,12
1751738588,-91,8
1751738588,-84,36
1751738588,-84,36
1751738589,-84,36
1751738589,-85,32
1751738589,-93,0
1751738589,-82,44
1751738589,-78,60
1751738589,-78,60
1751738589,-77,64
1751738589,-78,60
1751738589,-83,40
1751738589,-88,20
1751738590,-79,56
1751738590,-78,60
1751738590,-80,52
1751738590,-82,44
1751738590,-83,40
1751738590,-83,40
1751738590,-84,36
1751738590,-82,44
1751738590,-82,44
1751738590,-81,48
1751738591,-85,32
1751738591,-87,24
1751738591,-87,24
1751738591,-83,40
1751738591,-83,40
1751738591,-86,28
1751738591,-83,40
1751738591,-83,40
1751738591,-85,32
1751738592,-82,44
1751738592,-82,44
1751738592,-81,48
1751738592,-79,56
1751738592,-81,48
1751738592,-85,32
1751738592,-82,44
1751738592,-85,32
1751738592,-84,36
1751738592,-85,32
1751738593,-86,28
1751738593,-86,28
1751738593,-85,32
1751738593,-87,24
1751738593,-85,32
1751738593,-88,20
1751738593,-86,28
1751738593,-89,16
1751738593,-86,28
1751738593,-85,32
1751738594,-83,40
1751738594,-90,12
1751738594,-87,24
1751738594,-88,20
1751738594,-82,44
1751738594,-79,56
1751738594,-82,44
1751738594,-78,60
1751738594,-78,60
1751738594,-78,60
1751738595,-80,52
1751738595,-85,32
1751738595,-83,40
1751738595,-80,52
1751738595,-80,52
1751738595,-79,56
1751738595,-80,52
1751738595,-80,52
1751738595,-80,52
1751738595,-79,56
1751738596,-78,60
1751738596,-78,60
1751738596,-79,56
1751738596,-82,44
1751738596,-82,44
1751738596,-84,36
1751738596,-84,36
1751738596,-80,52
1751738596,-79,56
1751738596,-80,52
1751738597,-78,60
1751738597,-76,68
1751738597,-79,56
1751738597,-76,68
1751738597,-81,48
1751738597,-78,60
1751738597,-80,52
1751738597,-79,56
1751738597,-78,60
1751738597,-79,56
1751738598,-80,52
1751738598,-80,52
1751738598,-80,52
1751738598,-81,48
1751738598,-80,52
1751738598,-80,52
1751738598,-82,44
1751738598,-87,24
1751738598,-84,36
1751738598,-82,44
1751738599,-86,28
1751738599,-79,56
1751738599,-79,56
1751738599,-82,44
1751738599,-85,32
1751738599,-85,32
1751738599,-87,24
1751738599,-83,40
1751738599,-81,48
1751738599,-80,52
1751738599,-82,44
1751738600,-81,48
1751738600,-82,44
1751738600,-79,56
1751738600,-81,48
1751738600,-80,52
1751738600,-79,56
1751738600,-85,32
1751738600,-92,4
1751738600,-91,8
1751738600,-87,24
1751738601,-88,20
1751738601,-83,40
1751738601,-81,48
1751738601,-81,48
1751738601,-81,48
1751738601,-82,44
1751738601,-82,44
1751738601,-82,44
1751738601,-82,44
1751738601,-83,40
1751738602,-84,36
1751738602,-84,36
1751738602,-85,32
1751738602,-84,36
1751738602,-86,28
1751738602,-86,28
1751738602,-85,32
1751738602,-86,28
1751738602,-88,20
1751738602,-93,0
1751738603,-93,0
1751738603,-91,8
1751738603,-91,8
1751738603,-93,0
1751738603,-93,0
1751738603,-89,16
1751738603,-90,12
1751738603,-91,8
1751738604,-90,12
1751738604,-89,16
1751738604,-89,16
1751738604,-89,16
1751738604,-85,32
1751738604,-84,36
1751738604,-84,36
1751738604,-87,24
1751738604,-89,16
1751738604,-90,12
1751738605,-93,0
1751738605,-88,20
1751738605,-87,24
1751738605,-87,24
1751738605,-84,36
1751738605,-84,36
1751738605,-83,40
1751738605,-83,40
1751738605,-82,44
1751738605,-83,40
1751738606,-84,36
1751738606,-83,40
1751738606,-83,40
1751738606,-83,40
1751738606,-83,40
1751738606,-84,36
1751738606,-85,32
1751738606,-88,20
1751738606,-91,8
1751738607,-93,0
1751738607,-88,20
1751738607,-84,36
1751738607,-83,40
1751738607,-83,40
1751738607,-82,44
1751738607,-82,44
1751738607,-85,32
1751738607,-85,32
1751738607,-82,44
1751738608,-85,32
1751738608,-91,8
1751738608,-81,48
1751738608,-79,56
1751738608,-80,52
1751738608,-78,60
1751738608,-79,56
1751738608,-79,56
1751738608,-79,56
1751738608,-82,44
1751738609,-82,44
1751738609,-83,40
1751738609,-86,28
1751738609,-91,8
1751738609,-89,16
1751738609,-89,16
1751738609,-87,24
1751738609,-83,40
1751738609,-82,44
1751738610,-83,40
1751738610,-82,44
1751738610,-81,48
1751738610,-80,52
1751738610,-78,60
1751738610,-78,60
1751738610,-80,52
1751738610,-80,52
1751738610,-79,56
1751738610,-79,56
1751738611,-80,52
1751738611,-80,52
1751738611,-82,44
1751738611,-82,44
1751738611,-82,44
1751738611,-84,36
1751738611,-83,40
1751738611,-87,24
1751738611,-84,36
1751738611,-87,24
1751738612,-85,32
1751738612,-85,32
1751738612,-85,32
1751738612,-85,32
1751738612,-86,28
1751738612,-85,32
1751738612,-92,4
1751738612,-90,12
1751738612,-89,16
1751738612,-89,16
1751738612,-93,0
1751738612,-91,8
1751738613,-87,24
1751738613,-79,56
1751738613,-81,48
1751738613,-82,44
1751738613,-82,44
1751738613,-85,32
1751738613,-85,32
1751738613,-86,28
1751738613,-86,28
1751738613,-88,20
1751738614,-89,16
1751738614,-89,16
1751738614,-89,16
1751738614,-91,8
1751738614,-89,16
1751738614,-89,16
1751738614,-88,20
1751738614,-92,4
1751738614,-91,8
1751738614,-92,4
1751738614,-93,0
1751738615,-90,12
1751738615,-90,12
1751738615,-90,12
1751738615,-88,20
1751738615,-88,20
1751738615,-88,20
1751738615,-87,24
1751738615,-88,20
1751738615,-87,24
1751738615,-86,28
1751738616,-87,24
1751738616,-87,24
1751738616,-87,24
1751738616,-88,20
1751738616,-90,12
1751738616,-89,16
1751738616,-90,12
1751738616,-88,20
1751738616,-89,16
1751738616,-89,16
1751738616,-88,20
1751738617,-88,20
1751738617,-89,16
1751738617,-90,12
1751738617,-89,16
1751738617,-88,20
1751738617,-88,20
1751738617,-90,12
1751738617,-93,0
1751738617,-93,0
1751738617,-93,0
1751738618,-93,0
1751738618,-93,0
1751738618,-91,8
1751738618,-93,0
1751738618,-91,8
1751738618,-90,12
1751738618,-88,20
1751738618,-89,16
1751738618,-88,20
1751738619,-90,12
1751738619,-91,8
1751738619,-93,0
1751738619,-93,0
1751738619,-92,4
1751738619,-92,4
1751738619,-93,0
1751738619,-92,4
1751738619,-92,4
1751738620,-93,0
1751738620,-93,0
1751738620,-93,0
1751738620,-91,8
1751738620,-90,12
1751738620,-91,8
1751738620,-92,4
1751738620,-84,36
1751738621,-93,0
1751738621,-91,8
1751738621,-90,12
1751738621,-90,12
1751738621,-89,16
1751738621,-89,16
1751738621,-87,24
1751738621,-86,28
1751738622,-90,12
1751738622,-85,32
1751738622,-88,20
1751738622,-91,8
1751738622,-91,8
1751738622,-93,0
