/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-11_19.01.05-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-11 19:01:05,727 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-11 19:01:08,706 # help
2025-07-11 19:01:08,708 # Command              Description
2025-07-11 19:01:08,710 # ---------------------------------------
2025-07-11 19:01:08,713 # target_add           Add IPv6 target for sending packets
2025-07-11 19:01:08,715 # send                 Control sender: send start|stop
2025-07-11 19:01:08,717 # status               Show sender status and target list
2025-07-11 19:01:08,719 # ping                 Ping via ICMPv6
2025-07-11 19:01:08,721 # nib                  Configure neighbor information base
2025-07-11 19:01:08,723 # ifconfig             Configure network interfaces
2025-07-11 19:01:08,726 # 6ctx                 6LoWPAN context configuration tool
2025-07-11 19:01:08,728 # pm                   interact with layered PM subsystem
2025-07-11 19:01:08,730 # version              Prints current RIOT_VERSION
2025-07-11 19:01:08,732 # bootloader           Reboot to bootloader
2025-07-11 19:01:08,734 # reboot               Reboot the node
> 2025-07-11 19:01:25,919 # -76,68
2025-07-11 19:01:25,922 # -75,72
2025-07-11 19:01:26,022 # -75,72
2025-07-11 19:01:26,121 # -75,72
2025-07-11 19:01:26,223 # -76,68
2025-07-11 19:01:26,323 # -75,72
2025-07-11 19:01:26,423 # -79,56
2025-07-11 19:01:26,523 # -81,48
2025-07-11 19:01:26,625 # -81,48
2025-07-11 19:01:26,630 # -82,44
2025-07-11 19:01:26,724 # -83,40
2025-07-11 19:01:26,825 # -68,100
2025-07-11 19:01:26,926 # -71,88
2025-07-11 19:01:27,027 # -68,100
2025-07-11 19:01:27,128 # -67,104
2025-07-11 19:01:27,227 # -66,108
2025-07-11 19:01:27,330 # -70,92
2025-07-11 19:01:27,429 # -68,100
2025-07-11 19:01:27,530 # -70,92
2025-07-11 19:01:27,630 # -68,100
2025-07-11 19:01:27,731 # -67,104
2025-07-11 19:01:27,832 # -64,116
2025-07-11 19:01:27,931 # -64,116
2025-07-11 19:01:28,033 # -65,112
2025-07-11 19:01:28,133 # -67,104
2025-07-11 19:01:28,232 # -67,104
2025-07-11 19:01:28,332 # -66,108
2025-07-11 19:01:28,435 # -66,108
2025-07-11 19:01:28,536 # -67,104
2025-07-11 19:01:28,637 # -65,112
2025-07-11 19:01:28,736 # -64,116
2025-07-11 19:01:28,836 # -66,108
2025-07-11 19:01:28,937 # -65,112
2025-07-11 19:01:29,039 # -67,104
2025-07-11 19:01:29,138 # -67,104
2025-07-11 19:01:29,239 # -68,100
2025-07-11 19:01:29,341 # -66,108
2025-07-11 19:01:29,441 # -65,112
2025-07-11 19:01:29,540 # -65,112
2025-07-11 19:01:29,643 # -64,116
2025-07-11 19:01:29,742 # -65,112
2025-07-11 19:01:29,842 # -65,112
2025-07-11 19:01:29,943 # -67,104
2025-07-11 19:01:30,043 # -66,108
2025-07-11 19:01:30,145 # -64,116
2025-07-11 19:01:30,245 # -65,112
2025-07-11 19:01:30,346 # -66,108
2025-07-11 19:01:30,446 # -66,108
2025-07-11 19:01:30,546 # -66,108
2025-07-11 19:01:30,646 # -65,112
2025-07-11 19:01:30,749 # -65,112
2025-07-11 19:01:30,848 # -65,112
2025-07-11 19:01:30,950 # -64,116
2025-07-11 19:01:31,048 # -64,116
2025-07-11 19:01:31,150 # -65,112
2025-07-11 19:01:31,249 # -65,112
2025-07-11 19:01:31,351 # -66,108
2025-07-11 19:01:31,452 # -66,108
2025-07-11 19:01:31,552 # -65,112
2025-07-11 19:01:31,653 # -67,104
2025-07-11 19:01:31,754 # -68,100
2025-07-11 19:01:31,854 # -67,104
2025-07-11 19:01:31,954 # -64,116
2025-07-11 19:01:31,959 # -64,116
2025-07-11 19:01:32,055 # -68,100
2025-07-11 19:01:32,156 # -66,108
2025-07-11 19:01:32,257 # -67,104
2025-07-11 19:01:32,356 # -67,104
2025-07-11 19:01:32,457 # -66,108
2025-07-11 19:01:32,557 # -71,88
2025-07-11 19:01:32,658 # -72,84
2025-07-11 19:01:32,760 # -69,96
2025-07-11 19:01:32,860 # -70,92
2025-07-11 19:01:32,960 # -66,108
2025-07-11 19:01:33,060 # -69,96
2025-07-11 19:01:33,161 # -68,100
2025-07-11 19:01:33,261 # -69,96
2025-07-11 19:01:33,361 # -68,100
2025-07-11 19:01:33,471 # -67,104
2025-07-11 19:01:33,563 # -67,104
2025-07-11 19:01:33,566 # -67,104
2025-07-11 19:01:33,665 # -68,100
2025-07-11 19:01:33,768 # -72,84
2025-07-11 19:01:33,864 # -68,100
2025-07-11 19:01:33,966 # -68,100
2025-07-11 19:01:34,066 # -67,104
2025-07-11 19:01:34,168 # -67,104
2025-07-11 19:01:34,269 # -66,108
2025-07-11 19:01:34,368 # -68,100
2025-07-11 19:01:34,469 # -67,104
2025-07-11 19:01:34,570 # -68,100
2025-07-11 19:01:34,675 # -68,100
2025-07-11 19:01:34,679 # -69,96
2025-07-11 19:01:34,769 # -68,100
2025-07-11 19:01:34,877 # -69,96
2025-07-11 19:01:34,972 # -68,100
2025-07-11 19:01:35,073 # -68,100
2025-07-11 19:01:35,172 # -69,96
2025-07-11 19:01:35,272 # -69,96
2025-07-11 19:01:35,373 # -67,104
2025-07-11 19:01:35,474 # -68,100
2025-07-11 19:01:35,575 # -67,104
2025-07-11 19:01:35,674 # -67,104
2025-07-11 19:01:35,776 # -66,108
2025-07-11 19:01:35,877 # -67,104
2025-07-11 19:01:35,977 # -65,112
2025-07-11 19:01:36,078 # -68,100
2025-07-11 19:01:36,178 # -69,96
2025-07-11 19:01:36,280 # -70,92
2025-07-11 19:01:36,378 # -69,96
2025-07-11 19:01:36,480 # -69,96
2025-07-11 19:01:36,582 # -68,100
2025-07-11 19:01:36,682 # -66,108
2025-07-11 19:01:36,782 # -64,116
2025-07-11 19:01:36,883 # -64,116
2025-07-11 19:01:36,982 # -66,108
2025-07-11 19:01:37,085 # -67,104
2025-07-11 19:01:37,183 # -68,100
2025-07-11 19:01:37,285 # -66,108
2025-07-11 19:01:37,386 # -66,108
2025-07-11 19:01:37,486 # -65,112
2025-07-11 19:01:37,586 # -64,116
2025-07-11 19:01:37,592 # -64,116
2025-07-11 19:01:37,687 # -64,116
2025-07-11 19:01:37,788 # -65,112
2025-07-11 19:01:37,887 # -65,112
2025-07-11 19:01:37,989 # -64,116
2025-07-11 19:01:38,090 # -65,112
2025-07-11 19:01:38,188 # -64,116
2025-07-11 19:01:38,290 # -64,116
2025-07-11 19:01:38,390 # -66,108
2025-07-11 19:01:38,490 # -65,112
2025-07-11 19:01:38,592 # -64,116
2025-07-11 19:01:38,692 # -64,116
2025-07-11 19:01:38,793 # -66,108
2025-07-11 19:01:38,893 # -64,116
2025-07-11 19:01:38,995 # -63,120
2025-07-11 19:01:39,095 # -63,120
2025-07-11 19:01:39,194 # -63,120
2025-07-11 19:01:39,296 # -62,124
2025-07-11 19:01:39,397 # -65,112
2025-07-11 19:01:39,496 # -63,120
2025-07-11 19:01:39,597 # -65,112
2025-07-11 19:01:39,697 # -64,116
2025-07-11 19:01:39,799 # -64,116
2025-07-11 19:01:39,900 # -63,120
2025-07-11 19:01:40,001 # -68,100
2025-07-11 19:01:40,100 # -65,112
2025-07-11 19:01:40,202 # -65,112
