/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-11_15.18.36-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-11 15:18:36,630 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-11 15:18:37,634 # r
2025-07-11 15:18:37,636 # main(): This is RIOT! (Version: 2025.01)
2025-07-11 15:18:37,637 # Packet Logger w/ Timestamp RSSI LQI
2025-07-11 15:18:37,637 # 
2025-07-11 15:18:37,638 # [recv_thread] started
2025-07-11 15:18:37,639 # [sender_thread] started
> 2025-07-11 15:18:40,535 # help
2025-07-11 15:18:40,537 # Command              Description
2025-07-11 15:18:40,539 # ---------------------------------------
2025-07-11 15:18:40,542 # target_add           Add IPv6 target for sending packets
2025-07-11 15:18:40,544 # send                 Control sender: send start|stop
2025-07-11 15:18:40,547 # status               Show sender status and target list
2025-07-11 15:18:40,548 # ping                 Ping via ICMPv6
2025-07-11 15:18:40,550 # nib                  Configure neighbor information base
2025-07-11 15:18:40,552 # ifconfig             Configure network interfaces
2025-07-11 15:18:40,555 # 6ctx                 6LoWPAN context configuration tool
2025-07-11 15:18:40,557 # pm                   interact with layered PM subsystem
2025-07-11 15:18:40,559 # version              Prints current RIOT_VERSION
2025-07-11 15:18:40,561 # bootloader           Reboot to bootloader
2025-07-11 15:18:40,562 # reboot               Reboot the node
> 2025-07-11 15:18:50,053 # -58,140
2025-07-11 15:18:50,154 # -58,140
2025-07-11 15:18:50,254 # -59,136
2025-07-11 15:18:50,357 # -59,136
2025-07-11 15:18:50,456 # -57,144
2025-07-11 15:18:50,556 # -60,132
2025-07-11 15:18:50,657 # -58,140
2025-07-11 15:18:50,760 # -59,136
2025-07-11 15:18:50,859 # -58,140
2025-07-11 15:18:50,961 # -58,140
2025-07-11 15:18:51,064 # -57,144
2025-07-11 15:18:51,160 # -58,140
2025-07-11 15:18:51,260 # -57,144
2025-07-11 15:18:51,362 # -57,144
2025-07-11 15:18:51,462 # -58,140
2025-07-11 15:18:51,564 # -58,140
2025-07-11 15:18:51,662 # -57,144
2025-07-11 15:18:51,765 # -56,148
2025-07-11 15:18:51,864 # -56,148
2025-07-11 15:18:51,965 # -57,144
2025-07-11 15:18:52,067 # -56,148
2025-07-11 15:18:52,166 # -58,140
2025-07-11 15:18:52,267 # -59,136
2025-07-11 15:18:52,367 # -59,136
2025-07-11 15:18:52,469 # -59,136
2025-07-11 15:18:52,568 # -59,136
2025-07-11 15:18:52,669 # -59,136
2025-07-11 15:18:52,671 # -58,140
2025-07-11 15:18:52,769 # -59,136
2025-07-11 15:18:52,869 # -54,156
2025-07-11 15:18:52,971 # -55,152
2025-07-11 15:18:53,071 # -55,152
2025-07-11 15:18:53,171 # -55,152
2025-07-11 15:18:53,272 # -54,156
2025-07-11 15:18:53,374 # -58,140
2025-07-11 15:18:53,477 # -57,144
2025-07-11 15:18:53,574 # -60,132
2025-07-11 15:18:53,674 # -59,136
2025-07-11 15:18:53,776 # -57,144
2025-07-11 15:18:53,877 # -57,144
2025-07-11 15:18:53,976 # -59,136
2025-07-11 15:18:54,077 # -57,144
2025-07-11 15:18:54,177 # -56,148
2025-07-11 15:18:54,279 # -59,136
2025-07-11 15:18:54,379 # -57,144
2025-07-11 15:18:54,478 # -56,148
2025-07-11 15:18:54,581 # -57,144
2025-07-11 15:18:54,685 # -59,136
2025-07-11 15:18:54,782 # -60,132
2025-07-11 15:18:54,885 # -59,136
2025-07-11 15:18:54,982 # -58,140
2025-07-11 15:18:55,082 # -58,140
2025-07-11 15:18:55,184 # -57,144
2025-07-11 15:18:55,284 # -56,148
2025-07-11 15:18:55,386 # -56,148
2025-07-11 15:18:55,486 # -56,148
2025-07-11 15:18:55,585 # -57,144
2025-07-11 15:18:55,686 # -59,136
2025-07-11 15:18:55,786 # -59,136
2025-07-11 15:18:55,888 # -56,148
2025-07-11 15:18:55,989 # -57,144
2025-07-11 15:18:56,088 # -56,148
2025-07-11 15:18:56,188 # -56,148
2025-07-11 15:18:56,291 # -57,144
2025-07-11 15:18:56,391 # -59,136
2025-07-11 15:18:56,491 # -58,140
2025-07-11 15:18:56,592 # -57,144
2025-07-11 15:18:56,692 # -58,140
2025-07-11 15:18:56,793 # -58,140
2025-07-11 15:18:56,894 # -60,132
2025-07-11 15:18:56,995 # -59,136
2025-07-11 15:18:57,094 # -61,128
2025-07-11 15:18:57,194 # -63,120
2025-07-11 15:18:57,197 # -63,120
2025-07-11 15:18:57,295 # -63,120
2025-07-11 15:18:57,395 # -61,128
2025-07-11 15:18:57,497 # -61,128
2025-07-11 15:18:57,597 # -61,128
2025-07-11 15:18:57,697 # -61,128
2025-07-11 15:18:57,797 # -61,128
2025-07-11 15:18:57,900 # -60,132
2025-07-11 15:18:57,999 # -59,136
2025-07-11 15:18:58,099 # -59,136
2025-07-11 15:18:58,201 # -56,148
2025-07-11 15:18:58,300 # -57,144
2025-07-11 15:18:58,403 # -56,148
2025-07-11 15:18:58,503 # -57,144
2025-07-11 15:18:58,602 # -58,140
2025-07-11 15:18:58,703 # -58,140
2025-07-11 15:18:58,805 # -56,148
2025-07-11 15:18:58,908 # -57,144
2025-07-11 15:18:59,005 # -57,144
2025-07-11 15:18:59,007 # -57,144
2025-07-11 15:18:59,107 # -58,140
2025-07-11 15:18:59,206 # -57,144
2025-07-11 15:18:59,306 # -57,144
2025-07-11 15:18:59,408 # -57,144
2025-07-11 15:18:59,507 # -57,144
2025-07-11 15:18:59,609 # -60,132
2025-07-11 15:18:59,709 # -60,132
2025-07-11 15:18:59,808 # -57,144
2025-07-11 15:18:59,911 # -56,148
2025-07-11 15:19:00,010 # -57,144
2025-07-11 15:19:00,110 # -57,144
2025-07-11 15:19:00,211 # -57,144
2025-07-11 15:19:00,312 # -58,140
2025-07-11 15:19:00,414 # -56,148
2025-07-11 15:19:00,514 # -57,144
2025-07-11 15:19:00,614 # -58,140
2025-07-11 15:19:00,714 # -57,144
2025-07-11 15:19:00,815 # -60,132
2025-07-11 15:19:00,916 # -57,144
2025-07-11 15:19:01,018 # -60,132
2025-07-11 15:19:01,117 # -56,148
2025-07-11 15:19:01,219 # -60,132
2025-07-11 15:19:01,319 # -56,148
2025-07-11 15:19:01,323 # -56,148
2025-07-11 15:19:01,418 # -57,144
2025-07-11 15:19:01,518 # -57,144
2025-07-11 15:19:01,620 # -56,148
2025-07-11 15:19:01,721 # -57,144
2025-07-11 15:19:01,820 # -56,148
2025-07-11 15:19:01,921 # -57,144
2025-07-11 15:19:02,023 # -56,148
2025-07-11 15:19:02,123 # -56,148
2025-07-11 15:19:02,223 # -56,148
2025-07-11 15:19:02,323 # -56,148
2025-07-11 15:19:02,329 # -56,148
2025-07-11 15:19:02,424 # -56,148
2025-07-11 15:19:02,524 # -56,148
2025-07-11 15:19:02,624 # -57,144
2025-07-11 15:19:02,725 # -56,148
2025-07-11 15:19:02,826 # -57,144
2025-07-11 15:19:02,926 # -56,148
2025-07-11 15:19:03,026 # -55,152
2025-07-11 15:19:03,127 # -55,152
2025-07-11 15:19:03,229 # -56,148
2025-07-11 15:19:03,329 # -56,148
2025-07-11 15:19:03,430 # -56,148
2025-07-11 15:19:03,531 # -55,152
2025-07-11 15:19:03,536 # -55,152
2025-07-11 15:19:03,632 # -57,144
2025-07-11 15:19:03,730 # -58,140
2025-07-11 15:19:03,832 # -56,148
2025-07-11 15:19:03,932 # -56,148
2025-07-11 15:19:04,033 # -57,144
2025-07-11 15:19:04,133 # -57,144
2025-07-11 15:19:04,234 # -56,148
2025-07-11 15:19:04,336 # -57,144
2025-07-11 15:19:04,436 # -56,148
2025-07-11 15:19:04,536 # -58,140
2025-07-11 15:19:04,636 # -58,140
2025-07-11 15:19:04,738 # -57,144
2025-07-11 15:19:04,839 # -57,144
2025-07-11 15:19:04,939 # -57,144
2025-07-11 15:19:05,040 # -57,144
2025-07-11 15:19:05,144 # -56,148
2025-07-11 15:19:05,240 # -57,144
2025-07-11 15:19:05,342 # -59,136
2025-07-11 15:19:05,440 # -58,140
2025-07-11 15:19:05,543 # -57,144
2025-07-11 15:19:05,643 # -57,144
2025-07-11 15:19:05,744 # -57,144
