/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-11_16.20.43-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-11 16:20:43,776 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-11 16:20:47,187 # help
2025-07-11 16:20:47,188 # Command              Description
2025-07-11 16:20:47,190 # ---------------------------------------
2025-07-11 16:20:47,193 # target_add           Add IPv6 target for sending packets
2025-07-11 16:20:47,195 # send                 Control sender: send start|stop
2025-07-11 16:20:47,197 # status               Show sender status and target list
2025-07-11 16:20:47,198 # ping                 Ping via ICMPv6
2025-07-11 16:20:47,200 # nib                  Configure neighbor information base
2025-07-11 16:20:47,202 # ifconfig             Configure network interfaces
2025-07-11 16:20:47,204 # 6ctx                 6LoWPAN context configuration tool
2025-07-11 16:20:47,206 # pm                   interact with layered PM subsystem
2025-07-11 16:20:47,208 # version              Prints current RIOT_VERSION
2025-07-11 16:20:47,209 # bootloader           Reboot to bootloader
2025-07-11 16:20:47,210 # reboot               Reboot the node
> 2025-07-11 16:20:49,524 # -62,124
2025-07-11 16:20:49,625 # -62,124
2025-07-11 16:20:49,725 # -63,120
2025-07-11 16:20:49,826 # -62,124
2025-07-11 16:20:49,927 # -62,124
2025-07-11 16:20:50,027 # -63,120
2025-07-11 16:20:50,127 # -63,120
2025-07-11 16:20:50,234 # -65,112
2025-07-11 16:20:50,330 # -62,124
2025-07-11 16:20:50,430 # -63,120
2025-07-11 16:20:50,537 # -63,120
2025-07-11 16:20:50,542 # -63,120
2025-07-11 16:20:50,549 # -63,120
2025-07-11 16:20:50,631 # -63,120
2025-07-11 16:20:50,731 # -63,120
2025-07-11 16:20:50,832 # -63,120
2025-07-11 16:20:50,933 # -62,124
2025-07-11 16:20:51,032 # -63,120
2025-07-11 16:20:51,134 # -62,124
2025-07-11 16:20:51,234 # -63,120
2025-07-11 16:20:51,335 # -63,120
2025-07-11 16:20:51,436 # -62,124
2025-07-11 16:20:51,535 # -63,120
2025-07-11 16:20:51,638 # -63,120
2025-07-11 16:20:51,738 # -63,120
2025-07-11 16:20:51,838 # -62,124
2025-07-11 16:20:51,939 # -63,120
2025-07-11 16:20:52,039 # -63,120
2025-07-11 16:20:52,141 # -62,124
2025-07-11 16:20:52,240 # -62,124
2025-07-11 16:20:52,341 # -61,128
2025-07-11 16:20:52,442 # -62,124
2025-07-11 16:20:52,543 # -62,124
2025-07-11 16:20:52,643 # -64,116
2025-07-11 16:20:52,742 # -65,112
2025-07-11 16:20:52,842 # -64,116
2025-07-11 16:20:52,943 # -64,116
2025-07-11 16:20:53,045 # -65,112
2025-07-11 16:20:53,146 # -63,120
2025-07-11 16:20:53,244 # -65,112
2025-07-11 16:20:53,346 # -65,112
2025-07-11 16:20:53,447 # -65,112
2025-07-11 16:20:53,549 # -65,112
2025-07-11 16:20:53,648 # -64,116
2025-07-11 16:20:53,749 # -64,116
2025-07-11 16:20:53,849 # -62,124
2025-07-11 16:20:53,948 # -61,128
2025-07-11 16:20:54,050 # -60,132
2025-07-11 16:20:54,149 # -60,132
2025-07-11 16:20:54,250 # -60,132
2025-07-11 16:20:54,353 # -60,132
2025-07-11 16:20:54,454 # -59,136
2025-07-11 16:20:54,554 # -58,140
2025-07-11 16:20:54,655 # -58,140
