/home/server/WSN-Projects/riot-exercises/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-server" -rn "2025-07-10_16.24.59-pkt_logger-feather-nrf52840-sense"  
2025-07-10 16:24:59,423 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-10 16:25:00,428 # shell: command not found: r
> 2025-07-10 16:25:00,429 # 
> 2025-07-10 16:25:09,445 # main(): This is Rr
2025-07-10 16:25:09,446 # shell: command not found: main():
> 2025-07-10 16:25:09,446 # 
> 2025-07-10 16:25:09,446 # status
2025-07-10 16:25:09,447 # Targets (0):
2025-07-10 16:25:09,447 # Sender running: false
> 2025-07-10 16:25:50,780 # -73,80
2025-07-10 16:25:50,881 # -72,84
2025-07-10 16:25:50,980 # -71,88
2025-07-10 16:25:51,082 # -71,88
2025-07-10 16:25:51,183 # -70,92
2025-07-10 16:25:51,283 # -70,92
2025-07-10 16:25:51,383 # -71,88
2025-07-10 16:25:51,483 # -72,84
2025-07-10 16:25:51,584 # -72,84
2025-07-10 16:25:51,685 # -72,84
2025-07-10 16:25:51,787 # -70,92
2025-07-10 16:25:51,886 # -71,88
2025-07-10 16:25:51,986 # -72,84
2025-07-10 16:25:52,087 # -74,76
2025-07-10 16:25:52,187 # -73,80
2025-07-10 16:25:52,294 # -70,92
2025-07-10 16:25:52,388 # -73,80
2025-07-10 16:25:52,490 # -72,84
2025-07-10 16:25:52,590 # -69,96
2025-07-10 16:25:52,692 # -67,104
2025-07-10 16:25:52,792 # -72,84
2025-07-10 16:25:52,891 # -70,92
2025-07-10 16:25:52,998 # -69,96
2025-07-10 16:25:53,096 # -70,92
2025-07-10 16:25:53,195 # -71,88
2025-07-10 16:25:53,293 # -70,92
2025-07-10 16:25:53,396 # -69,96
2025-07-10 16:25:53,495 # -70,92
2025-07-10 16:25:53,595 # -78,60
2025-07-10 16:25:53,696 # -70,92
2025-07-10 16:25:53,797 # -74,76
2025-07-10 16:25:53,899 # -85,32
2025-07-10 16:25:53,998 # -78,60
2025-07-10 16:25:54,100 # -75,72
2025-07-10 16:25:54,200 # -79,56
2025-07-10 16:25:54,300 # -75,72
2025-07-10 16:25:54,401 # -71,88
2025-07-10 16:25:54,500 # -72,84
2025-07-10 16:25:54,601 # -76,68
2025-07-10 16:25:54,702 # -76,68
2025-07-10 16:25:54,804 # -73,80
2025-07-10 16:25:54,904 # -77,64
2025-07-10 16:25:55,005 # -77,64
2025-07-10 16:25:55,104 # -74,76
2025-07-10 16:25:55,206 # -72,84
2025-07-10 16:25:55,306 # -72,84
2025-07-10 16:25:55,406 # -73,80
2025-07-10 16:25:55,506 # -75,72
2025-07-10 16:25:55,607 # -69,96
2025-07-10 16:25:55,709 # -70,92
2025-07-10 16:25:55,721 # -70,92
2025-07-10 16:25:55,811 # -75,72
2025-07-10 16:25:55,816 # -74,76
2025-07-10 16:25:55,909 # -91,8
2025-07-10 16:25:55,927 # -92,4
2025-07-10 16:25:56,010 # -81,48
2025-07-10 16:25:56,115 # -78,60
2025-07-10 16:25:56,211 # -69,96
2025-07-10 16:25:56,311 # -69,96
2025-07-10 16:25:56,411 # -70,92
2025-07-10 16:25:56,511 # -71,88
2025-07-10 16:25:56,619 # -74,76
2025-07-10 16:25:56,714 # -75,72
2025-07-10 16:25:56,814 # -76,68
2025-07-10 16:25:56,915 # -73,80
2025-07-10 16:25:57,016 # -72,84
2025-07-10 16:25:57,122 # -69,96
2025-07-10 16:25:57,217 # -69,96
2025-07-10 16:25:57,318 # -77,64
2025-07-10 16:25:57,418 # -77,64
2025-07-10 16:25:57,517 # -73,80
2025-07-10 16:25:57,617 # -71,88
2025-07-10 16:25:57,718 # -72,84
2025-07-10 16:25:57,819 # -70,92
2025-07-10 16:25:57,921 # -71,88
2025-07-10 16:25:58,020 # -72,84
2025-07-10 16:25:58,121 # -72,84
2025-07-10 16:25:58,221 # -73,80
2025-07-10 16:25:58,322 # -69,96
2025-07-10 16:25:58,423 # -70,92
2025-07-10 16:25:58,524 # -70,92
2025-07-10 16:25:58,526 # -70,92
2025-07-10 16:25:58,624 # -73,80
2025-07-10 16:25:58,724 # -77,64
2025-07-10 16:25:58,825 # -70,92
2025-07-10 16:25:58,926 # -74,76
2025-07-10 16:25:59,026 # -80,52
2025-07-10 16:25:59,127 # -78,60
2025-07-10 16:25:59,227 # -72,84
2025-07-10 16:25:59,230 # -72,84
2025-07-10 16:25:59,328 # -75,72
2025-07-10 16:25:59,428 # -73,80
2025-07-10 16:25:59,438 # -73,80
2025-07-10 16:25:59,529 # -72,84
2025-07-10 16:25:59,636 # -76,68
2025-07-10 16:25:59,732 # -76,68
2025-07-10 16:25:59,831 # -71,88
2025-07-10 16:25:59,931 # -71,88
2025-07-10 16:26:00,032 # -72,84
2025-07-10 16:26:00,134 # -72,84
2025-07-10 16:26:00,234 # -72,84
2025-07-10 16:26:00,334 # -74,76
2025-07-10 16:26:00,434 # -71,88
2025-07-10 16:26:00,540 # -72,84
2025-07-10 16:26:00,636 # -77,64
2025-07-10 16:26:00,736 # -72,84
2025-07-10 16:26:00,836 # -74,76
2025-07-10 16:26:00,938 # -75,72
2025-07-10 16:26:01,037 # -73,80
2025-07-10 16:26:01,139 # -73,80
2025-07-10 16:26:01,239 # -77,64
2025-07-10 16:26:01,340 # -73,80
2025-07-10 16:26:01,439 # -74,76
2025-07-10 16:26:01,541 # -75,72
2025-07-10 16:26:01,640 # -80,52
2025-07-10 16:26:01,742 # -77,64
2025-07-10 16:26:01,844 # -73,80
2025-07-10 16:26:01,943 # -78,60
2025-07-10 16:26:02,043 # -74,76
2025-07-10 16:26:02,145 # -73,80
2025-07-10 16:26:02,244 # -73,80
2025-07-10 16:26:02,344 # -73,80
2025-07-10 16:26:02,445 # -72,84
