timestamp_ms,rssi,lqi
1752253285012,-71,88
1752253285110,-75,72
1752253285211,-77,64
1752253285311,-77,64
1752253285410,-74,76
1752253285512,-75,72
1752253285611,-74,76
1752253285717,-75,72
1752253285812,-73,80
1752253285914,-75,72
1752253285919,-75,72
1752253286013,-71,88
1752253286116,-68,100
1752253286217,-73,80
1752253286315,-70,92
1752253286417,-69,96
1752253286516,-65,112
1752253286618,-68,100
1752253286719,-65,112
1752253286825,-71,88
1752253286921,-67,104
1752253287020,-64,116
1752253287120,-67,104
1752253287220,-68,100
1752253287324,-68,100
1752253287327,-69,96
1752253287422,-66,108
1752253287523,-69,96
1752253287623,-69,96
1752253287725,-68,100
1752253287826,-69,96
1752253287924,-70,92
1752253288024,-72,84
1752253288128,-72,84
1752253288226,-71,88
1752253288326,-70,92
1752253288428,-71,88
1752253288529,-72,84
1752253288627,-70,92
1752253288732,-71,88
1752253288835,-73,80
1752253288931,-71,88
1752253289032,-73,80
1752253289131,-73,80
1752253289232,-72,84
1752253289334,-70,92
1752253289434,-71,88
1752253289535,-73,80
1752253289634,-72,84
1752253289733,-72,84
1752253289847,-73,80
1752253289936,-74,76
1752253290037,-70,92
1752253290136,-71,88
1752253290238,-74,76
1752253290338,-75,72
1752253290438,-72,84
1752253290541,-72,84
1752253290640,-72,84
1752253290740,-75,72
1752253290843,-77,64
1752253290943,-75,72
1752253291047,-74,76
1752253291142,-74,76
1752253291244,-74,76
1752253291345,-71,88
1752253291445,-77,64
1752253291546,-71,88
1752253291644,-81,48
1752253291746,-66,108
1752253291848,-69,96
1752253291948,-73,80
1752253292048,-71,88
1752253292147,-74,76
1752253292249,-75,72
1752253292349,-82,44
1752253292450,-71,88
1752253292560,-71,88
1752253292654,-73,80
1752253292753,-73,80
1752253292857,-75,72
1752253292952,-73,80
1752253292956,-73,80
1752253293055,-77,64
1752253293154,-73,80
1752253293257,-74,76
1752253293358,-71,88
1752253293457,-72,84
1752253293558,-74,76
1752253293659,-67,104
1752253293774,-69,96
1752253293858,-68,100
1752253293965,-65,112
1752253294060,-68,100
1752253294160,-68,100
1752253294260,-69,96
1752253294360,-69,96
1752253294461,-70,92
1752253294563,-69,96
1752253294663,-70,92
1752253294763,-69,96
1752253294864,-70,92
1752253294965,-68,100
1752253295065,-67,104
1752253295166,-68,100
1752253295266,-70,92
1752253295375,-68,100
1752253295467,-67,104
1752253295568,-68,100
1752253295671,-69,96
1752253295770,-70,92
1752253295871,-71,88
1752253295972,-77,64
1752253296071,-70,92
1752253296174,-85,32
1752253296271,-79,56
1752253296373,-72,84
1752253296474,-86,28
1752253296575,-78,60
1752253296680,-75,72
1752253296776,-71,88
1752253296875,-72,84
1752253296976,-70,92
1752253297078,-71,88
1752253297179,-69,96
1752253297276,-68,100
1752253297379,-70,92
1752253297479,-69,96
1752253297578,-70,92
1752253297680,-68,100
1752253297781,-70,92
1752253297886,-70,92
1752253297981,-71,88
1752253298082,-68,100
1752253298188,-69,96
1752253298282,-70,92
1752253298388,-74,76
1752253298485,-72,84
1752253298585,-70,92
1752253298685,-68,100
1752253298786,-69,96
1752253298887,-70,92
1752253298989,-69,96
1752253299089,-67,104
1752253299188,-70,92
1752253299290,-69,96
1752253299392,-73,80
1752253299397,-73,80
1752253299490,-70,92
1752253299591,-72,84
1752253299692,-71,88
1752253299792,-70,92
1752253299893,-72,84
1752253299993,-71,88
1752253300094,-71,88
1752253300195,-69,96
1752253300296,-68,100
1752253300397,-70,92
1752253300495,-70,92
1752253300608,-70,92
1752253300697,-72,84
1752253300800,-70,92
1752253300899,-69,96
1752253300999,-71,88
1752253301100,-72,84
1752253301200,-74,76
1752253301301,-76,68
1752253301402,-73,80
1752253301502,-73,80
1752253301608,-71,88
1752253301708,-73,80
1752253301804,-76,68
1752253301906,-75,72
1752253302003,-75,72
1752253302106,-73,80
1752253302207,-73,80
1752253302312,-72,84
1752253302407,-71,88
1752253302508,-72,84
1752253302607,-73,80
1752253302708,-75,72
1752253302811,-72,84
1752253302908,-75,72
1752253303012,-73,80
1752253303113,-73,80
1752253303214,-72,84
1752253303313,-74,76
1752253303414,-78,60
1752253303515,-77,64
1752253303615,-75,72
1752253303714,-75,72
1752253303821,-76,68
1752253303916,-79,56
1752253304018,-79,56
1752253304119,-77,64
1752253304225,-76,68
1752253304318,-77,64
1752253304418,-71,88
1752253304520,-73,80
1752253304620,-77,64
1752253304721,-72,84
1752253304820,-70,92
1752253304921,-73,80
1752253305021,-71,88
1752253305123,-73,80
1752253305223,-74,76
1752253305330,-72,84
1752253305424,-69,96
1752253305525,-69,96
1752253305625,-70,92
1752253305725,-72,84
1752253305825,-72,84
1752253305927,-69,96
1752253306027,-69,96
1752253306128,-71,88
1752253306231,-70,92
1752253306328,-72,84
1752253306432,-75,72
1752253306529,-73,80
1752253306630,-74,76
1752253306731,-76,68
1752253306831,-81,48
1752253306932,-84,36
1752253307032,-79,56
1752253307135,-77,64
1752253307235,-78,60
1752253307335,-80,52
1752253307434,-80,52
1752253307535,-79,56
1752253307638,-81,48
1752253307736,-77,64
1752253307840,-77,64
1752253307939,-81,48
1752253308040,-80,52
1752253308140,-75,72
1752253308239,-76,68
1752253308340,-76,68
1752253308440,-74,76
1752253308541,-73,80
1752253308643,-74,76
1752253308744,-75,72
1752253308842,-79,56
1752253308943,-78,60
1752253309052,-76,68
1752253309145,-75,72
1752253309247,-77,64
1752253309347,-80,52
1752253309447,-74,76
1752253309547,-75,72
1752253309649,-75,72
1752253309750,-74,76
1752253309849,-77,64
1752253309951,-76,68
1752253310049,-74,76
1752253310150,-74,76
1752253310252,-74,76
1752253310352,-77,64
1752253310453,-81,48
1752253310555,-78,60
1752253310657,-78,60
1752253310756,-75,72
1752253310854,-79,56
1752253310956,-75,72
1752253311058,-77,64
1752253311156,-81,48
1752253311257,-78,60
1752253311359,-75,72
1752253311458,-73,80
1752253311559,-75,72
1752253311662,-70,92
1752253311762,-72,84
1752253311861,-72,84
1752253311960,-72,84
1752253312064,-72,84
1752253312163,-71,88
1752253312263,-72,84
1752253312363,-71,88
1752253312466,-72,84
1752253312565,-74,76
1752253312665,-78,60
1752253312765,-73,80
1752253312867,-74,76
1752253312968,-76,68
1752253313065,-75,72
1752253313167,-74,76
1752253313266,-73,80
1752253313370,-75,72
1752253313470,-75,72
1752253313569,-79,56
1752253313671,-79,56
1752253313773,-83,40
1752253313777,-81,48
1752253313871,-80,52
1752253313974,-80,52
1752253314074,-84,36
1752253314172,-86,28
