timestamp_ms,rssi,lqi
1752253285922,-75,72
1752253286022,-75,72
1752253286121,-75,72
1752253286223,-76,68
1752253286323,-75,72
1752253286423,-79,56
1752253286523,-81,48
1752253286625,-81,48
1752253286630,-82,44
1752253286724,-83,40
1752253286825,-68,100
1752253286926,-71,88
1752253287027,-68,100
1752253287128,-67,104
1752253287227,-66,108
1752253287330,-70,92
1752253287429,-68,100
1752253287530,-70,92
1752253287630,-68,100
1752253287731,-67,104
1752253287832,-64,116
1752253287931,-64,116
1752253288033,-65,112
1752253288133,-67,104
1752253288232,-67,104
1752253288332,-66,108
1752253288435,-66,108
1752253288536,-67,104
1752253288637,-65,112
1752253288736,-64,116
1752253288836,-66,108
1752253288937,-65,112
1752253289039,-67,104
1752253289138,-67,104
1752253289239,-68,100
1752253289341,-66,108
1752253289441,-65,112
1752253289540,-65,112
1752253289643,-64,116
1752253289742,-65,112
1752253289842,-65,112
1752253289943,-67,104
1752253290043,-66,108
1752253290145,-64,116
1752253290245,-65,112
1752253290346,-66,108
1752253290446,-66,108
1752253290546,-66,108
1752253290646,-65,112
1752253290749,-65,112
1752253290848,-65,112
1752253290950,-64,116
1752253291048,-64,116
1752253291150,-65,112
1752253291249,-65,112
1752253291351,-66,108
1752253291452,-66,108
1752253291552,-65,112
1752253291653,-67,104
1752253291754,-68,100
1752253291854,-67,104
1752253291954,-64,116
1752253291959,-64,116
1752253292055,-68,100
1752253292156,-66,108
1752253292257,-67,104
1752253292356,-67,104
1752253292457,-66,108
1752253292557,-71,88
1752253292658,-72,84
1752253292760,-69,96
1752253292860,-70,92
1752253292960,-66,108
1752253293060,-69,96
1752253293161,-68,100
1752253293261,-69,96
1752253293361,-68,100
1752253293471,-67,104
1752253293563,-67,104
1752253293566,-67,104
1752253293665,-68,100
1752253293768,-72,84
1752253293864,-68,100
1752253293966,-68,100
1752253294066,-67,104
1752253294168,-67,104
1752253294269,-66,108
1752253294368,-68,100
1752253294469,-67,104
1752253294570,-68,100
1752253294675,-68,100
1752253294679,-69,96
1752253294769,-68,100
1752253294877,-69,96
1752253294972,-68,100
1752253295073,-68,100
1752253295172,-69,96
1752253295272,-69,96
1752253295373,-67,104
1752253295474,-68,100
1752253295575,-67,104
1752253295674,-67,104
1752253295776,-66,108
1752253295877,-67,104
1752253295977,-65,112
1752253296078,-68,100
1752253296178,-69,96
1752253296280,-70,92
1752253296378,-69,96
1752253296480,-69,96
1752253296582,-68,100
1752253296682,-66,108
1752253296782,-64,116
1752253296883,-64,116
1752253296982,-66,108
1752253297085,-67,104
1752253297183,-68,100
1752253297285,-66,108
1752253297386,-66,108
1752253297486,-65,112
1752253297586,-64,116
1752253297592,-64,116
1752253297687,-64,116
1752253297788,-65,112
1752253297887,-65,112
1752253297989,-64,116
1752253298090,-65,112
1752253298188,-64,116
1752253298290,-64,116
1752253298390,-66,108
1752253298490,-65,112
1752253298592,-64,116
1752253298692,-64,116
1752253298793,-66,108
1752253298893,-64,116
1752253298995,-63,120
1752253299095,-63,120
1752253299194,-63,120
1752253299296,-62,124
1752253299397,-65,112
1752253299496,-63,120
1752253299597,-65,112
1752253299697,-64,116
1752253299799,-64,116
1752253299900,-63,120
1752253300001,-68,100
1752253300100,-65,112
1752253300202,-65,112
1752253300302,-67,104
1752253300402,-65,112
1752253300502,-64,116
1752253300604,-66,108
1752253300703,-67,104
1752253300805,-64,116
1752253300905,-68,100
1752253301007,-68,100
1752253301107,-67,104
1752253301207,-66,108
1752253301308,-64,116
1752253301407,-63,120
1752253301509,-63,120
1752253301609,-64,116
1752253301711,-65,112
1752253301810,-64,116
1752253301911,-64,116
1752253302011,-65,112
1752253302111,-65,112
1752253302213,-66,108
1752253302314,-67,104
1752253302413,-67,104
1752253302514,-68,100
1752253302616,-69,96
1752253302716,-68,100
1752253302816,-69,96
1752253302915,-68,100
1752253303018,-67,104
1752253303119,-67,104
1752253303219,-66,108
1752253303318,-66,108
1752253303419,-65,112
1752253303519,-65,112
1752253303620,-65,112
1752253303722,-65,112
1752253303821,-64,116
1752253303923,-64,116
1752253304023,-63,120
1752253304125,-63,120
1752253304225,-64,116
1752253304325,-63,120
1752253304426,-62,124
1752253304527,-63,120
1752253304626,-63,120
1752253304733,-63,120
1752253304828,-63,120
1752253304929,-64,116
1752253305030,-64,116
1752253305128,-64,116
1752253305230,-63,120
1752253305329,-63,120
1752253305431,-63,120
1752253305532,-63,120
1752253305632,-63,120
1752253305731,-64,116
1752253305832,-64,116
1752253305933,-65,112
1752253306035,-64,116
1752253306135,-63,120
1752253306235,-63,120
1752253306336,-64,116
1752253306438,-64,116
1752253306538,-64,116
1752253306637,-64,116
1752253306737,-63,120
1752253306839,-63,120
1752253306940,-63,120
1752253307040,-63,120
1752253307141,-63,120
1752253307240,-63,120
1752253307343,-63,120
1752253307442,-63,120
1752253307543,-63,120
1752253307643,-66,108
1752253307743,-64,116
1752253307845,-64,116
1752253307945,-65,112
1752253308045,-63,120
1752253308147,-63,120
1752253308247,-64,116
1752253308347,-65,112
1752253308447,-64,116
1752253308548,-64,116
1752253308648,-64,116
1752253308751,-66,108
1752253308851,-65,112
1752253308950,-65,112
1752253309052,-64,116
1752253309151,-62,124
1752253309251,-64,116
1752253309352,-63,120
1752253309452,-62,124
1752253309555,-64,116
1752253309655,-65,112
1752253309754,-64,116
1752253309856,-64,116
1752253309957,-64,116
1752253310057,-62,124
1752253310158,-63,120
1752253310259,-63,120
1752253310357,-64,116
1752253310459,-64,116
1752253310561,-64,116
1752253310661,-62,124
1752253310761,-62,124
1752253310863,-64,116
1752253310961,-64,116
1752253311063,-63,120
1752253311164,-64,116
1752253311265,-64,116
1752253311365,-64,116
1752253311466,-64,116
1752253311564,-64,116
1752253311666,-63,120
1752253311766,-65,112
1752253311867,-63,120
1752253311969,-63,120
1752253312069,-63,120
1752253312169,-63,120
1752253312270,-64,116
1752253312369,-64,116
1752253312471,-64,116
1752253312572,-64,116
1752253312673,-65,112
1752253312773,-64,116
1752253312872,-64,116
1752253312974,-64,116
1752253313074,-64,116
1752253313175,-64,116
1752253313274,-64,116
1752253313377,-63,120
1752253313476,-63,120
1752253313577,-63,120
1752253313676,-64,116
1752253313778,-64,116
1752253313880,-63,120
1752253313978,-64,116
1752253314079,-63,120
1752253314179,-66,108
1752253314281,-64,116
1752253314381,-64,116
1752253314481,-64,116
1752253314582,-64,116
1752253314684,-64,116
1752253314783,-63,120
1752253314885,-65,112
1752253314985,-63,120
1752253315084,-63,120
1752253315186,-66,108
1752253315287,-64,116
1752253315387,-64,116
1752253315487,-65,112
1752253315589,-64,116
1752253315689,-64,116
1752253315789,-63,120
1752253315889,-64,116
1752253315990,-63,120
1752253316091,-65,112
1752253316190,-64,116
1752253316292,-64,116
1752253316392,-64,116
1752253316494,-64,116
1752253316593,-64,116
1752253316693,-66,108
1752253316794,-65,112
1752253316894,-65,112
1752253316995,-64,116
1752253317096,-64,116
1752253317197,-65,112
1752253317298,-64,116
1752253317398,-63,120
1752253317498,-64,116
1752253317598,-65,112
1752253317699,-63,120
1752253317800,-65,112
1752253317905,-64,116
1752253318001,-64,116
1752253318102,-64,116
1752253318202,-65,112
1752253318304,-65,112
1752253318404,-63,120
1752253318504,-64,116
1752253318605,-64,116
1752253318706,-64,116
1752253318806,-66,108
1752253318905,-65,112
1752253319007,-65,112
1752253319107,-64,116
1752253319209,-64,116
1752253319309,-63,120
1752253319409,-64,116
1752253319511,-64,116
1752253319613,-64,116
1752253319710,-66,108
1752253319822,-66,108
1752253319911,-65,112
1752253320014,-66,108
1752253320114,-65,112
1752253320213,-65,112
1752253320315,-65,112
1752253320415,-64,116
1752253320516,-65,112
1752253320617,-65,112
1752253320718,-65,112
1752253320818,-65,112
1752253320918,-66,108
1752253321020,-66,108
1752253321119,-65,112
1752253321219,-67,104
1752253321320,-67,104
1752253321420,-66,108
1752253321522,-66,108
1752253321621,-66,108
1752253321723,-66,108
1752253321823,-66,108
1752253321924,-66,108
1752253322024,-66,108
1752253322125,-65,112
1752253322226,-64,116
1752253322326,-64,116
1752253322427,-64,116
1752253322526,-64,116
1752253322628,-64,116
1752253322728,-63,120
1752253322828,-63,120
1752253322930,-63,120
1752253323029,-63,120
1752253323131,-64,116
1752253323231,-63,120
1752253323331,-63,120
1752253323433,-63,120
1752253323532,-63,120
1752253323633,-63,120
1752253323735,-63,120
1752253323833,-64,116
1752253323934,-63,120
1752253324035,-64,116
1752253324135,-63,120
1752253324236,-64,116
1752253324338,-65,112
1752253324436,-65,112
1752253324539,-64,116
1752253324639,-65,112
1752253324738,-65,112
1752253324841,-64,116
1752253324941,-64,116
1752253325041,-64,116
1752253325142,-65,112
1752253325243,-64,116
1752253325342,-66,108
1752253325442,-66,108
1752253325543,-64,116
