timestamp_ms,rssi,lqi
1752239929358,-60,132
1752239929459,-61,128
1752239929559,-61,128
1752239929659,-61,128
1752239929758,-60,132
1752239929859,-61,128
1752239929961,-60,132
1752239930062,-61,128
1752239930165,-66,108
1752239930265,-68,100
1752239930368,-66,108
1752239930462,-63,120
1752239930564,-62,124
1752239930664,-62,124
1752239930767,-61,128
1752239930867,-61,128
1752239930966,-61,128
1752239931067,-61,128
1752239931168,-61,128
1752239931269,-61,128
1752239931273,-61,128
1752239931371,-61,128
1752239931469,-61,128
1752239931574,-62,124
1752239931579,-62,124
1752239931677,-63,120
1752239931773,-63,120
1752239931872,-63,120
1752239931976,-64,116
1752239932073,-63,120
1752239932172,-62,124
1752239932176,-62,124
1752239932275,-64,116
1752239932375,-66,108
1752239932475,-61,128
1752239932576,-61,128
1752239932677,-62,124
1752239932779,-61,128
1752239932878,-62,124
1752239932978,-62,124
1752239933078,-61,128
1752239933182,-64,116
1752239933281,-63,120
1752239933380,-62,124
1752239933480,-63,120
1752239933584,-63,120
1752239933681,-61,128
1752239933784,-61,128
1752239933885,-62,124
1752239933988,-63,120
1752239934086,-63,120
1752239934188,-62,124
1752239934286,-61,128
1752239934384,-61,128
1752239934488,-60,132
1752239934587,-61,128
1752239934689,-61,128
1752239934790,-61,128
1752239934889,-61,128
1752239934991,-61,128
1752239935089,-60,132
1752239935193,-57,144
1752239935292,-57,144
1752239935392,-57,144
1752239935493,-57,144
1752239935595,-58,140
1752239935696,-59,136
1752239935795,-60,132
1752239935897,-60,132
1752239935996,-59,136
1752239936096,-58,140
1752239936198,-58,140
1752239936297,-58,140
1752239936403,-58,140
1752239936501,-59,136
1752239936600,-60,132
1752239936699,-59,136
1752239936803,-60,132
1752239936900,-59,136
1752239937009,-60,132
1752239937100,-60,132
1752239937203,-61,128
1752239937303,-61,128
1752239937403,-60,132
1752239937506,-59,136
1752239937604,-58,140
1752239937705,-59,136
1752239937806,-60,132
1752239937905,-59,136
1752239938007,-59,136
1752239938010,-59,136
1752239938108,-60,132
1752239938213,-60,132
1752239938311,-59,136
1752239938414,-58,140
1752239938510,-58,140
1752239938609,-59,136
1752239938711,-59,136
1752239938810,-59,136
1752239938913,-58,140
1752239939013,-59,136
1752239939112,-60,132
1752239939215,-59,136
1752239939314,-59,136
1752239939414,-60,132
1752239939515,-58,140
1752239939616,-59,136
1752239939717,-58,140
1752239939817,-58,140
1752239939919,-59,136
1752239940018,-58,140
1752239940119,-59,136
1752239940220,-59,136
1752239940322,-58,140
1752239940419,-59,136
1752239940522,-57,144
1752239940628,-58,140
1752239940721,-57,144
1752239940826,-57,144
1752239940923,-57,144
1752239941024,-58,140
1752239941125,-57,144
1752239941226,-57,144
1752239941327,-58,140
1752239941425,-59,136
1752239941526,-57,144
1752239941633,-58,140
1752239941729,-59,136
1752239941828,-58,140
1752239941834,-58,140
1752239941928,-57,144
1752239942028,-59,136
1752239942129,-59,136
1752239942229,-59,136
1752239942330,-59,136
1752239942432,-59,136
1752239942532,-60,132
1752239942633,-59,136
1752239942734,-59,136
1752239942841,-58,140
1752239942935,-58,140
1752239943033,-59,136
1752239943135,-59,136
1752239943236,-60,132
1752239943335,-60,132
1752239943437,-60,132
1752239943538,-61,128
1752239943640,-60,132
1752239943740,-59,136
1752239943840,-60,132
1752239943940,-59,136
1752239944041,-59,136
1752239944142,-57,144
1752239944242,-58,140
1752239944344,-58,140
1752239944448,-59,136
1752239944544,-58,140
1752239944645,-58,140
1752239944744,-59,136
1752239944847,-58,140
1752239944946,-59,136
1752239945048,-60,132
1752239945147,-59,136
1752239945254,-60,132
1752239945348,-60,132
1752239945449,-60,132
1752239945548,-60,132
1752239945654,-60,132
1752239945752,-59,136
1752239945851,-59,136
1752239945952,-58,140
1752239946052,-57,144
1752239946154,-56,148
1752239946255,-56,148
1752239946356,-56,148
1752239946454,-56,148
1752239946557,-56,148
1752239946655,-56,148
1752239946756,-56,148
1752239946857,-58,140
1752239946959,-59,136
1752239947058,-59,136
1752239947159,-60,132
1752239947261,-61,128
1752239947359,-63,120
1752239947460,-61,128
1752239947562,-58,140
1752239947663,-65,112
1752239947665,-65,112
1752239947762,-60,132
1752239947862,-56,148
1752239947962,-55,152
1752239948063,-55,152
1752239948166,-54,156
1752239948269,-53,160
1752239948366,-52,164
1752239948467,-52,164
1752239948567,-53,160
1752239948667,-58,140
1752239948769,-82,44
1752239948873,-87,24
1752239948969,-62,124
1752239949072,-60,132
1752239949169,-59,136
1752239949271,-61,128
1752239949376,-62,124
1752239949472,-63,120
1752239949573,-61,128
1752239949673,-62,124
1752239949776,-65,112
1752239949875,-70,92
1752239949975,-79,56
1752239950075,-79,56
1752239950177,-70,92
1752239950275,-65,112
1752239950377,-71,88
1752239950485,-83,40
1752239950491,-92,4
1752239950580,-72,84
1752239950681,-90,12
1752239950779,-68,100
1752239950880,-66,108
1752239950984,-68,100
1752239951082,-69,96
1752239951182,-68,100
1752239951283,-69,96
1752239951382,-69,96
1752239951485,-70,92
1752239951584,-70,92
1752239951588,-70,92
1752239951685,-64,116
1752239951786,-61,128
1752239951892,-59,136
1752239951986,-61,128
1752239951989,-61,128
1752239952087,-64,116
1752239952187,-68,100
1752239952286,-69,96
1752239952387,-71,88
1752239952490,-68,100
1752239952589,-68,100
1752239952692,-75,72
1752239952793,-67,104
1752239952890,-59,136
1752239952991,-59,136
1752239953090,-60,132
1752239953201,-59,136
1752239953294,-59,136
1752239953394,-57,144
1752239953501,-57,144
1752239953595,-61,128
1752239953696,-79,56
1752239953797,-80,52
1752239953895,-78,60
1752239953996,-78,60
1752239954097,-68,100
1752239954197,-75,72
1752239954304,-71,88
1752239954398,-74,76
1752239954499,-75,72
1752239954604,-73,80
1752239954706,-70,92
1752239954800,-73,80
1752239954903,-71,88
1752239955003,-64,116
1752239955103,-64,116
1752239955206,-65,112
1752239955303,-66,108
1752239955405,-67,104
1752239955505,-66,108
1752239955608,-65,112
1752239955709,-66,108
1752239955816,-65,112
1752239955910,-64,116
1752239956008,-62,124
1752239956109,-65,112
1752239956211,-64,116
1752239956313,-66,108
1752239956412,-65,112
1752239956511,-65,112
1752239956612,-65,112
1752239956714,-66,108
1752239956812,-66,108
1752239956916,-66,108
1752239957016,-65,112
1752239957114,-65,112
1752239957215,-65,112
1752239957315,-65,112
1752239957318,-65,112
1752239957416,-66,108
1752239957516,-65,112
1752239957619,-65,112
1752239957719,-66,108
1752239957819,-65,112
1752239957924,-63,120
1752239958022,-63,120
1752239958121,-64,116
1752239958222,-64,116
1752239958322,-62,124
1752239958423,-60,132
1752239958523,-58,140
1752239958623,-57,144
1752239958726,-57,144
1752239958827,-57,144
1752239958927,-60,132
1752239959027,-57,144
1752239959128,-58,140
1752239959227,-57,144
1752239959327,-57,144
1752239959436,-57,144
1752239959527,-60,132
1752239959631,-60,132
1752239959729,-63,120
1752239959840,-70,92
1752239959932,-72,84
1752239960037,-81,48
1752239960132,-75,72
1752239960232,-69,96
1752239960332,-68,100
1752239960434,-68,100
1752239960536,-68,100
1752239960637,-66,108
1752239960735,-65,112
1752239960846,-65,112
1752239960946,-66,108
1752239961039,-65,112
1752239961139,-65,112
1752239961246,-66,108
1752239961342,-66,108
1752239961447,-63,120
1752239961540,-61,128
1752239961641,-61,128
1752239961743,-61,128
1752239961843,-60,132
1752239961941,-60,132
1752239962051,-62,124
1752239962146,-62,124
1752239962249,-65,112
1752239962348,-65,112
1752239962446,-61,128
1752239962545,-58,140
1752239962646,-60,132
1752239962746,-70,92
1752239962849,-64,116
1752239962947,-63,120
1752239963048,-61,128
1752239963158,-61,128
1752239963251,-63,120
1752239963351,-65,112
1752239963465,-64,116
1752239963550,-64,116
1752239963651,-66,108
1752239963752,-68,100
1752239963853,-68,100
1752239963955,-78,60
1752239964053,-74,76
1752239964155,-76,68
1752239964274,-70,92
1752239964357,-72,84
1752239964363,-71,88
1752239964456,-71,88
1752239964561,-72,84
1752239964659,-80,52
1752239964760,-87,24
1752239964858,-80,52
1752239964959,-63,120
1752239965061,-59,136
1752239965161,-58,140
1752239965262,-58,140
1752239965361,-61,128
1752239965468,-63,120
1752239965562,-66,108
1752239965664,-74,76
1752239965763,-78,60
1752239965875,-70,92
1752239965965,-70,92
1752239966072,-65,112
1752239966175,-65,112
1752239966267,-64,116
1752239966368,-65,112
1752239966469,-93,0
1752239966569,-64,116
1752239966669,-64,116
1752239966770,-63,120
1752239966869,-64,116
1752239966970,-63,120
1752239967073,-64,116
1752239967171,-65,112
1752239967274,-66,108
1752239967373,-64,116
1752239967473,-65,112
1752239967573,-64,116
1752239967674,-63,120
1752239967775,-63,120
1752239967878,-63,120
1752239967978,-64,116
1752239968076,-64,116
1752239968178,-62,124
1752239968278,-62,124
1752239968379,-61,128
1752239968480,-60,132
1752239968579,-60,132
1752239968682,-56,148
1752239968782,-53,160
1752239968883,-53,160
1752239968981,-53,160
1752239969082,-53,160
1752239969184,-53,160
1752239969284,-61,128
1752239969385,-51,168
1752239969484,-54,156
1752239969585,-63,120
1752239969687,-92,4
1752239969694,-60,132
1752239969786,-63,120
1752239969887,-61,128
1752239969986,-62,124
1752239970091,-58,140
1752239970189,-53,160
1752239970297,-60,132
1752239970391,-77,64
1752239970491,-75,72
1752239970592,-67,104
1752239970694,-61,128
1752239970793,-64,116
1752239970898,-64,116
1752239970994,-65,112
1752239971095,-68,100
1752239971195,-71,88
1752239971296,-76,68
1752239971407,-72,84
1752239971497,-72,84
1752239971597,-72,84
1752239971699,-66,108
1752239971799,-71,88
1752239971898,-79,56
1752239971999,-80,52
1752239972100,-76,68
1752239972200,-76,68
1752239972302,-84,36
1752239972402,-81,48
1752239972503,-76,68
1752239972505,-76,68
1752239972601,-72,84
1752239972703,-74,76
1752239972805,-74,76
1752239972908,-67,104
1752239973007,-56,148
1752239973104,-62,124
1752239973205,-59,136
1752239973306,-61,128
1752239973419,-59,136
1752239973510,-53,160
1752239973607,-50,172
1752239973711,-51,168
1752239973807,-52,164
1752239973911,-52,164
1752239974012,-52,164
1752239974110,-62,124
1752239974212,-58,140
1752239974311,-54,156
1752239974423,-51,168
1752239974514,-50,172
1752239974613,-51,168
1752239974713,-51,168
1752239974817,-61,128
1752239974914,-54,156
1752239975016,-51,168
1752239975117,-49,176
1752239975223,-48,180
1752239975317,-48,180
1752239975418,-49,176
1752239975523,-52,164
1752239975526,-52,164
1752239975620,-52,164
1752239975720,-52,164
1752239975821,-49,176
1752239975922,-49,176
1752239976022,-49,176
1752239976131,-48,180
1752239976230,-50,172
1752239976324,-50,172
1752239976424,-51,168
1752239976524,-51,168
1752239976625,-49,176
1752239976727,-48,180
1752239976827,-48,180
1752239976928,-49,176
1752239977029,-50,172
1752239977128,-50,172
1752239977131,-50,172
1752239977230,-51,168
1752239977330,-50,172
1752239977431,-48,180
1752239977531,-48,180
1752239977630,-48,180
1752239977732,-49,176
1752239977834,-49,176
1752239977935,-51,168
1752239978035,-49,176
1752239978136,-49,176
1752239978236,-49,176
1752239978335,-49,176
1752239978436,-49,176
1752239978535,-50,172
1752239978638,-50,172
1752239978739,-50,172
1752239978842,-49,176
1752239978940,-49,176
1752239979041,-49,176
1752239979138,-49,176
1752239979242,-50,172
1752239979341,-51,168
1752239979443,-52,164
1752239979542,-52,164
1752239979655,-50,172
1752239979744,-49,176
1752239979844,-50,172
1752239979947,-51,168
1752239980046,-51,168
1752239980145,-51,168
1752239980252,-50,172
1752239980348,-51,168
1752239980352,-51,168
1752239980447,-50,172
1752239980548,-50,172
1752239980649,-50,172
1752239980758,-51,168
1752239980852,-51,168
1752239980952,-51,168
1752239981052,-51,168
1752239981151,-51,168
1752239981253,-50,172
1752239981354,-51,168
1752239981453,-51,168
1752239981556,-51,168
1752239981661,-50,172
1752239981754,-50,172
1752239981859,-49,176
1752239981962,-49,176
1752239982061,-49,176
1752239982163,-50,172
1752239982262,-50,172
1752239982358,-50,172
1752239982459,-50,172
1752239982560,-49,176
1752239982661,-49,176
1752239982761,-48,180
1752239982860,-50,172
1752239982961,-50,172
1752239983062,-51,168
1752239983162,-50,172
1752239983262,-50,172
1752239983363,-49,176
1752239983466,-48,180
1752239983564,-50,172
1752239983666,-50,172
1752239983765,-51,168
1752239983866,-50,172
1752239983967,-49,176
1752239984067,-49,176
1752239984169,-48,180
1752239984267,-51,168
1752239984370,-50,172
1752239984470,-50,172
1752239984572,-51,168
1752239984673,-51,168
1752239984772,-49,176
1752239984874,-50,172
1752239984974,-50,172
1752239985074,-50,172
1752239985173,-51,168
1752239985274,-51,168
1752239985374,-49,176
1752239985477,-49,176
1752239985577,-50,172
1752239985677,-49,176
1752239985779,-49,176
1752239985879,-50,172
1752239985978,-50,172
1752239986081,-50,172
1752239986181,-49,176
1752239986186,-49,176
1752239986279,-50,172
1752239986380,-51,168
1752239986484,-50,172
1752239986583,-50,172
1752239986683,-50,172
1752239986783,-49,176
1752239986885,-49,176
1752239986985,-49,176
1752239987085,-48,180
1752239987185,-49,176
1752239987288,-51,168
1752239987387,-50,172
1752239987489,-49,176
1752239987589,-50,172
1752239987688,-49,176
1752239987790,-49,176
1752239987899,-50,172
1752239987989,-50,172
