timestamp_ms,rssi,lqi
1751725634977,-78,60
1751725635080,-76,68
1751725635179,-75,72
1751725635279,-74,76
1751725635381,-76,68
1751725635482,-75,72
1751725635583,-76,68
1751725635681,-72,84
1751725635782,-78,60
1751725635884,-77,64
1751725635983,-74,76
1751725636084,-74,76
1751725636185,-72,84
1751725636285,-73,80
1751725636387,-75,72
1751725636487,-78,60
1751725636587,-76,68
1751725636689,-78,60
1751725636789,-76,68
1751725636890,-76,68
1751725636989,-76,68
1751725637089,-72,84
1751725637191,-78,60
1751725637292,-76,68
1751725637393,-72,84
1751725637493,-77,64
1751725637593,-81,48
1751725637694,-74,76
1751725637795,-75,72
1751725637894,-80,52
1751725637994,-75,72
1751725638095,-81,48
1751725638195,-73,80
1751725638298,-78,60
1751725638398,-76,68
1751725638498,-79,56
1751725638600,-78,60
1751725638699,-77,64
1751725638803,-78,60
1751725638900,-76,68
1751725638904,-76,68
1751725639002,-76,68
1751725639102,-75,72
1751725639201,-74,76
1751725639303,-77,64
1751725639403,-77,64
1751725639508,-74,76
1751725639512,-74,76
1751725639605,-75,72
1751725639703,-78,60
1751725639805,-83,40
1751725639906,-80,52
1751725640007,-79,56
1751725640107,-77,64
1751725640208,-76,68
1751725640308,-76,68
1751725640408,-76,68
1751725640514,-77,64
1751725640609,-77,64
1751725640716,-77,64
1751725640811,-78,60
1751725640911,-79,56
1751725641013,-81,48
1751725641114,-81,48
1751725641214,-83,40
1751725641314,-83,40
1751725641415,-80,52
1751725641515,-78,60
1751725641615,-82,44
1751725641716,-79,56
1751725641817,-81,48
1751725641917,-80,52
1751725642019,-79,56
1751725642119,-80,52
1751725642220,-79,56
1751725642320,-80,52
1751725642420,-80,52
1751725642520,-77,64
1751725642622,-77,64
1751725642721,-79,56
1751725642822,-80,52
1751725642922,-80,52
1751725643023,-80,52
1751725643123,-80,52
1751725643225,-83,40
1751725643325,-86,28
1751725643425,-77,64
1751725643526,-72,84
1751725643626,-73,80
1751725643728,-78,60
1751725643827,-82,44
1751725643929,-77,64
1751725644032,-81,48
1751725644130,-84,36
1751725644229,-81,48
1751725644330,-73,80
1751725644432,-74,76
1751725644532,-79,56
1751725644633,-85,32
1751725644733,-75,72
1751725644834,-79,56
1751725644937,-79,56
1751725645034,-77,64
1751725645136,-76,68
1751725645236,-77,64
1751725645336,-82,44
1751725645436,-76,68
1751725645538,-80,52
1751725645643,-79,56
1751725645738,-77,64
1751725645838,-83,40
1751725645939,-80,52
1751725646039,-76,68
1751725646140,-75,72
1751725646240,-73,80
1751725646341,-73,80
1751725646442,-77,64
1751725646542,-75,72
1751725646644,-83,40
1751725646744,-78,60
1751725646844,-81,48
1751725646944,-86,28
1751725647045,-78,60
