timestamp_ms,rssi,lqi
1752241757662,-68,100
1752241757764,-67,104
1752241757864,-67,104
1752241757965,-67,104
1752241758065,-67,104
1752241758164,-68,100
1752241758265,-68,100
1752241758367,-67,104
1752241758468,-66,108
1752241758568,-66,108
1752241758668,-66,108
1752241758769,-68,100
1752241758870,-68,100
1752241758968,-67,104
1752241759069,-69,96
1752241759174,-70,92
1752241759271,-68,100
1752241759372,-63,120
1752241759471,-66,108
1752241759574,-64,116
1752241759677,-67,104
1752241759773,-67,104
1752241759874,-63,120
1752241759879,-63,120
1752241759977,-60,132
1752241760077,-59,136
1752241760179,-58,140
1752241760277,-59,136
1752241760376,-59,136
1752241760476,-60,132
1752241760578,-61,128
1752241760683,-59,136
1752241760781,-58,140
1752241760882,-57,144
1752241760982,-55,152
1752241761082,-55,152
1752241761182,-54,156
1752241761282,-53,160
1752241761383,-52,164
1752241761483,-51,168
1752241761584,-50,172
1752241761685,-50,172
1752241761785,-51,168
1752241761885,-48,180
1752241761988,-50,172
1752241762088,-49,176
1752241762187,-48,180
1752241762287,-48,180
1752241762388,-48,180
1752241762488,-49,176
1752241762589,-48,180
1752241762692,-51,168
1752241762796,-55,152
1752241762892,-52,164
1752241762993,-52,164
1752241763095,-51,168
1752241763193,-52,164
1752241763294,-50,172
1752241763392,-51,168
1752241763494,-50,172
1752241763598,-49,176
1752241763696,-51,168
1752241763803,-51,168
1752241763898,-50,172
1752241763996,-50,172
1752241764101,-50,172
1752241764204,-50,172
1752241764300,-50,172
1752241764399,-49,176
1752241764500,-49,176
1752241764601,-50,172
1752241764702,-49,176
1752241764803,-48,180
1752241764904,-49,176
1752241765004,-49,176
1752241765104,-50,172
1752241765206,-50,172
1752241765306,-48,180
1752241765404,-48,180
1752241765512,-50,172
1752241765608,-52,164
1752241765716,-50,172
1752241765808,-54,156
1752241765911,-54,156
1752241766010,-54,156
1752241766109,-54,156
1752241766211,-54,156
1752241766310,-53,160
1752241766411,-54,156
1752241766511,-59,136
1752241766612,-61,128
1752241766712,-58,140
1752241766814,-60,132
1752241766913,-60,132
1752241767013,-62,124
1752241767116,-60,132
1752241767219,-59,136
1752241767319,-57,144
1752241767416,-52,164
1752241767517,-52,164
1752241767620,-54,156
1752241767721,-53,160
1752241767821,-55,152
1752241767923,-54,156
1752241768019,-53,160
1752241768123,-55,152
1752241768223,-57,144
1752241768325,-66,108
1752241768424,-64,116
1752241768523,-61,128
1752241768625,-61,128
1752241768726,-61,128
1752241768825,-55,152
1752241768932,-54,156
1752241769044,-56,148
1752241769128,-55,152
1752241769226,-53,160
1752241769327,-53,160
1752241769430,-51,168
1752241769532,-51,168
1752241769636,-52,164
1752241769729,-52,164
1752241769829,-51,168
1752241769940,-51,168
1752241770032,-51,168
1752241770133,-52,164
1752241770232,-52,164
1752241770334,-53,160
1752241770436,-56,148
1752241770535,-55,152
1752241770637,-52,164
1752241770736,-51,168
1752241770837,-51,168
1752241770937,-52,164
1752241771038,-53,160
1752241771139,-54,156
1752241771240,-55,152
1752241771340,-57,144
1752241771442,-60,132
1752241771540,-63,120
1752241771641,-69,96
1752241771741,-76,68
1752241771842,-74,76
1752241771848,-73,80
1752241771943,-71,88
1752241772042,-69,96
1752241772142,-64,116
1752241772245,-59,136
1752241772346,-60,132
1752241772447,-59,136
1752241772548,-61,128
1752241772649,-58,140
1752241772746,-55,152
1752241772850,-55,152
1752241772949,-58,140
1752241773051,-60,132
1752241773152,-59,136
1752241773251,-64,116
1752241773349,-57,144
1752241773452,-64,116
1752241773553,-62,124
1752241773652,-58,140
1752241773752,-61,128
1752241773855,-59,136
1752241773955,-57,144
1752241774056,-57,144
1752241774154,-56,148
1752241774257,-59,136
1752241774356,-56,148
1752241774457,-56,148
1752241774557,-56,148
1752241774660,-57,144
1752241774758,-55,152
1752241774858,-55,152
1752241774960,-55,152
1752241775060,-55,152
1752241775166,-57,144
1752241775263,-56,148
1752241775364,-55,152
1752241775466,-56,148
1752241775564,-57,144
1752241775665,-54,156
1752241775767,-60,132
1752241775865,-57,144
1752241775967,-57,144
1752241776068,-54,156
1752241776165,-56,148
1752241776267,-55,152
1752241776369,-56,148
1752241776469,-55,152
1752241776569,-56,148
1752241776669,-56,148
1752241776769,-55,152
1752241776877,-55,152
1752241776971,-55,152
1752241777073,-55,152
1752241777171,-56,148
1752241777275,-55,152
1752241777376,-56,148
1752241777473,-56,148
1752241777576,-56,148
1752241777675,-55,152
1752241777776,-57,144
1752241777876,-55,152
1752241777977,-55,152
1752241778078,-57,144
1752241778178,-56,148
1752241778280,-55,152
1752241778380,-56,148
1752241778480,-57,144
1752241778582,-57,144
1752241778680,-56,148
1752241778782,-56,148
1752241778884,-56,148
1752241778983,-56,148
1752241779084,-55,152
1752241779183,-56,148
1752241779285,-57,144
1752241779384,-56,148
1752241779486,-56,148
1752241779587,-56,148
1752241779688,-56,148
1752241779787,-56,148
1752241779894,-55,152
1752241779990,-56,148
1752241780090,-55,152
1752241780189,-56,148
1752241780290,-56,148
1752241780391,-56,148
1752241780492,-56,148
1752241780594,-56,148
1752241780693,-56,148
1752241780792,-56,148
1752241780895,-56,148
1752241780996,-55,152
1752241781094,-56,148
1752241781196,-56,148
1752241781297,-56,148
1752241781398,-56,148
1752241781503,-55,152
1752241781603,-56,148
1752241781706,-55,152
1752241781800,-56,148
1752241781900,-56,148
1752241782000,-56,148
1752241782107,-56,148
1752241782202,-56,148
1752241782303,-56,148
1752241782403,-56,148
1752241782503,-56,148
1752241782603,-56,148
1752241782704,-56,148
1752241782805,-56,148
1752241782906,-55,152
1752241783006,-57,144
1752241783105,-56,148
1752241783209,-56,148
1752241783307,-55,152
1752241783408,-56,148
1752241783507,-57,144
1752241783613,-56,148
1752241783717,-56,148
1752241783812,-56,148
1752241783912,-56,148
1752241784013,-56,148
1752241784113,-56,148
1752241784213,-56,148
1752241784314,-56,148
1752241784414,-56,148
1752241784516,-56,148
1752241784618,-56,148
1752241784715,-56,148
1752241784815,-57,144
1752241784918,-57,144
1752241785017,-58,140
1752241785119,-58,140
1752241785218,-58,140
1752241785318,-57,144
1752241785424,-57,144
1752241785521,-58,140
1752241785621,-57,144
1752241785721,-56,148
1752241785822,-55,152
1752241785924,-55,152
1752241786024,-56,148
1752241786123,-57,144
1752241786128,-57,144
1752241786230,-59,136
1752241786325,-58,140
1752241786424,-57,144
1752241786528,-57,144
1752241786628,-57,144
1752241786727,-57,144
1752241786827,-57,144
1752241786928,-57,144
1752241787031,-57,144
1752241787131,-57,144
1752241787229,-56,148
1752241787331,-56,148
1752241787431,-56,148
1752241787532,-57,144
1752241787632,-57,144
1752241787732,-57,144
1752241787833,-57,144
1752241787837,-57,144
1752241787939,-56,148
1752241788033,-56,148
1752241788135,-56,148
1752241788241,-56,148
1752241788336,-56,148
1752241788437,-56,148
1752241788538,-57,144
1752241788645,-57,144
1752241788740,-56,148
1752241788840,-56,148
1752241788940,-56,148
1752241789042,-56,148
1752241789047,-56,148
1752241789141,-56,148
1752241789241,-55,152
1752241789340,-55,152
1752241789442,-55,152
1752241789545,-56,148
1752241789645,-56,148
1752241789744,-56,148
1752241789844,-56,148
1752241789947,-56,148
1752241790046,-55,152
1752241790154,-55,152
1752241790247,-56,148
1752241790348,-56,148
1752241790354,-56,148
1752241790446,-56,148
1752241790548,-56,148
1752241790650,-55,152
1752241790750,-57,144
1752241790850,-55,152
1752241790951,-55,152
1752241791058,-55,152
1752241791151,-55,152
1752241791254,-55,152
1752241791353,-55,152
1752241791454,-57,144
1752241791560,-55,152
1752241791656,-56,148
1752241791754,-57,144
1752241791855,-57,144
1752241791957,-57,144
1752241792058,-57,144
1752241792157,-55,152
1752241792264,-56,148
1752241792358,-56,148
1752241792460,-57,144
1752241792567,-56,148
1752241792660,-56,148
1752241792762,-55,152
1752241792860,-57,144
1752241792964,-56,148
1752241793061,-57,144
1752241793165,-57,144
1752241793266,-57,144
1752241793365,-56,148
1752241793466,-57,144
1752241793566,-57,144
1752241793666,-56,148
1752241793768,-55,152
1752241793867,-56,148
1752241793970,-56,148
1752241794068,-56,148
1752241794172,-56,148
1752241794270,-56,148
1752241794370,-56,148
1752241794477,-56,148
1752241794571,-55,152
1752241794672,-56,148
1752241794772,-55,152
1752241794873,-56,148
1752241794975,-56,148
1752241795075,-56,148
1752241795173,-56,148
1752241795276,-56,148
1752241795374,-56,148
1752241795477,-56,148
1752241795579,-56,148
1752241795677,-56,148
1752241795777,-56,148
1752241795879,-56,148
1752241795979,-56,148
1752241796080,-56,148
1752241796182,-56,148
1752241796283,-56,148
1752241796382,-56,148
1752241796483,-56,148
1752241796582,-56,148
1752241796684,-56,148
1752241796784,-56,148
1752241796883,-56,148
1752241796985,-56,148
1752241797086,-56,148
1752241797187,-56,148
1752241797286,-56,148
1752241797388,-56,148
1752241797487,-56,148
1752241797589,-56,148
1752241797689,-56,148
1752241797791,-56,148
1752241797889,-56,148
1752241797992,-56,148
1752241798092,-56,148
1752241798190,-56,148
1752241798293,-56,148
1752241798394,-56,148
1752241798494,-56,148
1752241798594,-56,148
1752241798694,-56,148
1752241798795,-56,148
1752241798896,-56,148
1752241798996,-56,148
1752241799098,-56,148
1752241799198,-56,148
1752241799300,-56,148
1752241799397,-56,148
1752241799499,-56,148
1752241799601,-56,148
1752241799700,-56,148
1752241799801,-56,148
1752241799905,-56,148
1752241800002,-56,148
1752241800103,-56,148
1752241800203,-55,152
1752241800305,-56,148
1752241800404,-56,148
1752241800506,-56,148
1752241800606,-56,148
1752241800706,-56,148
1752241800806,-55,152
1752241800908,-55,152
1752241801018,-56,148
1752241801108,-56,148
1752241801210,-56,148
1752241801312,-56,148
1752241801409,-55,152
1752241801513,-55,152
1752241801611,-55,152
1752241801711,-55,152
1752241801812,-55,152
1752241801914,-55,152
1752241802013,-55,152
1752241802115,-55,152
1752241802215,-55,152
1752241802320,-55,152
1752241802416,-56,148
1752241802516,-56,148
1752241802616,-56,148
1752241802717,-56,148
1752241802818,-56,148
1752241802919,-55,152
1752241803019,-56,148
1752241803120,-56,148
1752241803221,-56,148
1752241803323,-56,148
1752241803424,-56,148
1752241803522,-55,152
1752241803623,-56,148
1752241803725,-56,148
1752241803823,-55,152
1752241803924,-56,148
1752241804024,-55,152
1752241804126,-56,148
1752241804228,-56,148
1752241804326,-56,148
1752241804427,-56,148
1752241804530,-56,148
1752241804628,-56,148
1752241804728,-56,148
1752241804833,-56,148
1752241804935,-56,148
1752241805030,-56,148
1752241805134,-56,148
1752241805231,-56,148
1752241805332,-55,152
1752241805435,-56,148
1752241805439,-56,148
1752241805535,-55,152
1752241805637,-56,148
1752241805734,-55,152
1752241805836,-55,152
1752241805935,-55,152
1752241806036,-56,148
1752241806137,-55,152
1752241806238,-56,148
1752241806340,-56,148
1752241806444,-56,148
1752241806539,-56,148
1752241806640,-56,148
1752241806740,-56,148
1752241806840,-56,148
1752241806942,-56,148
1752241807042,-56,148
1752241807144,-56,148
1752241807243,-56,148
1752241807344,-56,148
1752241807444,-56,148
1752241807549,-56,148
1752241807647,-56,148
1752241807747,-56,148
1752241807847,-56,148
1752241807948,-56,148
1752241808049,-56,148
1752241808146,-56,148
1752241808250,-56,148
1752241808354,-56,148
1752241808450,-56,148
1752241808550,-56,148
1752241808652,-56,148
1752241808752,-55,152
1752241808852,-55,152
1752241808953,-55,152
1752241809052,-55,152
1752241809156,-55,152
1752241809255,-56,148
1752241809355,-55,152
1752241809454,-56,148
1752241809559,-56,148
1752241809657,-56,148
1752241809758,-56,148
1752241809858,-56,148
1752241809957,-56,148
1752241810060,-56,148
1752241810160,-56,148
1752241810260,-56,148
1752241810362,-56,148
1752241810461,-56,148
1752241810561,-56,148
1752241810660,-56,148
1752241810764,-56,148
1752241810864,-56,148
1752241810963,-56,148
1752241811063,-56,148
1752241811165,-56,148
1752241811265,-55,152
1752241811368,-55,152
1752241811468,-55,152
1752241811472,-55,152
1752241811566,-56,148
1752241811670,-56,148
1752241811771,-56,148
1752241811869,-56,148
1752241811969,-56,148
1752241812072,-56,148
1752241812170,-56,148
1752241812271,-56,148
1752241812371,-56,148
1752241812473,-56,148
1752241812572,-56,148
1752241812672,-56,148
1752241812776,-56,148
1752241812874,-56,148
1752241812975,-56,148
1752241813075,-56,148
1752241813179,-56,148
1752241813277,-55,152
1752241813284,-55,152
1752241813290,-55,152
1752241813379,-55,152
1752241813480,-55,152
1752241813580,-56,148
1752241813679,-56,148
1752241813778,-56,148
1752241813879,-56,148
1752241813979,-56,148
1752241814083,-56,148
1752241814183,-55,152
1752241814285,-56,148
1752241814384,-56,148
1752241814483,-56,148
1752241814585,-56,148
1752241814686,-55,152
1752241814786,-55,152
1752241814885,-56,148
1752241814987,-56,148
1752241815089,-56,148
1752241815189,-56,148
1752241815288,-56,148
1752241815388,-56,148
1752241815491,-56,148
1752241815591,-55,152
1752241815691,-55,152
1752241815790,-56,148
1752241815894,-56,148
1752241815992,-56,148
1752241816093,-56,148
1752241816196,-55,152
1752241816296,-55,152
1752241816394,-55,152
1752241816497,-56,148
1752241816597,-56,148
1752241816698,-55,152
1752241816797,-55,152
1752241816896,-55,152
1752241816997,-55,152
1752241817100,-55,152
1752241817198,-55,152
1752241817301,-55,152
1752241817400,-55,152
1752241817508,-55,152
1752241817603,-55,152
1752241817701,-55,152
1752241817803,-56,148
1752241817904,-56,148
1752241818004,-56,148
1752241818105,-56,148
1752241818108,-56,148
1752241818204,-56,148
1752241818307,-56,148
1752241818406,-56,148
1752241818508,-56,148
1752241818609,-56,148
1752241818709,-56,148
1752241818808,-56,148
1752241818908,-56,148
1752241819010,-56,148
1752241819111,-56,148
1752241819210,-56,148
1752241819311,-56,148
1752241819413,-56,148
1752241819418,-56,148
1752241819512,-56,148
1752241819612,-56,148
1752241819614,-56,148
1752241819712,-56,148
1752241819816,-56,148
1752241819919,-56,148
1752241820015,-56,148
1752241820116,-56,148
1752241820216,-56,148
1752241820316,-56,148
1752241820417,-56,148
1752241820516,-56,148
1752241820620,-56,148
1752241820720,-56,148
1752241820822,-56,148
1752241820919,-56,148
1752241821020,-56,148
1752241821120,-56,148
1752241821224,-56,148
1752241821323,-56,148
1752241821424,-56,148
1752241821526,-56,148
1752241821626,-56,148
1752241821725,-56,148
1752241821827,-56,148
1752241821926,-56,148
1752241822029,-56,148
1752241822126,-56,148
1752241822227,-56,148
1752241822335,-56,148
1752241822428,-56,148
1752241822529,-56,148
1752241822630,-56,148
1752241822731,-56,148
1752241822832,-56,148
1752241822930,-55,152
1752241823033,-55,152
1752241823133,-55,152
1752241823234,-55,152
1752241823334,-55,152
1752241823434,-55,152
1752241823534,-55,152
1752241823642,-55,152
1752241823736,-56,148
1752241823837,-56,148
1752241823939,-55,152
1752241824040,-56,148
1752241824138,-56,148
1752241824240,-55,152
1752241824345,-56,148
