timestamp_ms,rssi,lqi
1751727962459,-83,40
1751727962559,-85,32
1751727962663,-88,20
1751727962765,-89,16
1751727962865,-88,20
1751727962964,-92,4
1751727963179,-93,0
1751727963276,-90,12
1751727963371,-86,28
1751727963483,-84,36
1751727963572,-83,40
1751727963675,-83,40
1751727963779,-86,28
1751727963881,-87,24
1751727963985,-86,28
1751727964079,-88,20
1751727964179,-85,32
1751727964279,-86,28
1751727964383,-80,52
1751727964482,-77,64
1751727964591,-77,64
1751727964687,-79,56
1751727964782,-80,52
1751727964879,-82,44
1751727964990,-81,48
1751727965087,-81,48
1751727965189,-85,32
1751727965293,-92,4
1751727965390,-85,32
1751727965494,-85,32
1751727965589,-88,20
1751727965690,-91,8
1751727965798,-89,16
1751727965904,-86,28
1751727965989,-84,36
1751727966097,-88,20
1751727966197,-82,44
1751727966200,-81,48
1751727966306,-81,48
1751727966401,-80,52
1751727966501,-80,52
1751727966611,-82,44
1751727966706,-81,48
1751727966806,-85,32
1751727966910,-79,56
1751727967010,-75,72
1751727967109,-77,64
1751727967219,-82,44
1751727967225,-82,44
1751727967316,-79,56
1751727967414,-77,64
1751727967517,-79,56
1751727967621,-81,48
1751727967724,-82,44
1751727967822,-83,40
1751727967913,-81,48
1751727968020,-77,64
1751727968118,-75,72
1751727968216,-75,72
1751727968326,-75,72
1751727968424,-75,72
1751727968528,-75,72
1751727968627,-75,72
1751727968726,-76,68
1751727968829,-76,68
1751727968930,-77,64
1751727969027,-77,64
1751727969131,-78,60
1751727969236,-79,56
1751727969336,-78,60
1751727969438,-76,68
1751727969538,-77,64
1751727969631,-79,56
1751727969747,-80,52
1751727969833,-82,44
1751727969940,-85,32
1751727970044,-80,52
1751727970145,-79,56
1751727970242,-84,36
1751727970352,-87,24
1751727970445,-86,28
1751727970546,-82,44
1751727970647,-79,56
1751727970755,-80,52
1751727970851,-79,56
1751727970953,-79,56
1751727971047,-78,60
1751727971149,-78,60
1751727971253,-78,60
1751727971351,-78,60
1751727971460,-77,64
1751727971558,-76,68
1751727971654,-74,76
1751727971767,-73,80
1751727971866,-74,76
1751727971963,-75,72
1751727972059,-75,72
1751727972166,-78,60
1751727972262,-83,40
1751727972372,-84,36
1751727972466,-87,24
1751727972569,-86,28
1751727972671,-86,28
1751727972770,-89,16
1751727972874,-88,20
1751727972975,-91,8
1751727973075,-91,8
1751727973181,-86,28
1751727973269,-83,40
1751727973274,-83,40
1751727973373,-80,52
1751727973480,-77,64
1751727973584,-77,64
1751727973678,-81,48
1751727973781,-82,44
1751727973884,-79,56
1751727973982,-80,52
1751727974087,-82,44
1751727974202,-82,44
1751727974287,-84,36
1751727974294,-84,36
1751727974388,-88,20
1751727974489,-92,4
1751727974593,-92,4
1751727974692,-93,0
1751727974994,-89,16
1751727975096,-90,12
1751727975400,-89,16
1751727975494,-87,24
1751727975600,-87,24
1751727975697,-82,44
1751727975808,-76,68
1751727975906,-75,72
1751727976000,-75,72
1751727976109,-75,72
1751727976211,-75,72
1751727976305,-75,72
1751727976410,-74,76
1751727976509,-73,80
1751727976608,-76,68
1751727976709,-77,64
1751727976809,-77,64
1751727976917,-78,60
1751727977009,-80,52
1751727977119,-88,20
1751727977215,-91,8
1751727977324,-81,48
1751727977422,-78,60
1751727977520,-77,64
1751727977627,-79,56
1751727977715,-80,52
1751727977826,-82,44
1751727977927,-85,32
1751727978040,-87,24
1751727978128,-84,36
1751727978228,-83,40
1751727978325,-82,44
1751727978432,-82,44
1751727978529,-83,40
1751727978629,-85,32
1751727978730,-85,32
1751727978840,-81,48
1751727978930,-81,48
1751727979039,-81,48
1751727979139,-80,52
1751727979234,-79,56
1751727979338,-79,56
1751727979444,-81,48
1751727979544,-82,44
1751727979646,-80,52
1751727979751,-78,60
1751727979842,-78,60
1751727979943,-82,44
1751727980044,-84,36
1751727980153,-81,48
1751727980246,-79,56
1751727980354,-79,56
1751727980453,-79,56
1751727980557,-78,60
1751727980654,-79,56
1751727980748,-81,48
1751727980752,-81,48
1751727980854,-82,44
1751727980960,-86,28
1751727981061,-87,24
1751727981158,-88,20
1751727981262,-89,16
1751727981364,-84,36
1751727981463,-80,52
1751727981565,-78,60
1751727981570,-78,60
1751727981666,-76,68
1751727981768,-76,68
1751727981865,-77,64
1751727981963,-77,64
1751727982069,-79,56
1751727982167,-79,56
1751727982269,-78,60
1751727982374,-78,60
1751727982474,-78,60
1751727982572,-78,60
1751727982678,-77,64
1751727982775,-77,64
1751727982876,-77,64
1751727982981,-76,68
1751727983082,-76,68
1751727983184,-76,68
1751727983283,-75,72
1751727983382,-75,72
1751727983488,-76,68
1751727983583,-76,68
1751727983682,-78,60
1751727983794,-80,52
1751727983883,-81,48
1751727983993,-82,44
1751727983997,-82,44
1751727984086,-82,44
1751727984190,-83,40
1751727984197,-84,36
1751727984301,-85,32
1751727984396,-84,36
1751727984490,-83,40
1751727984593,-82,44
1751727984700,-92,4
1751727984798,-88,20
1751727984893,-90,12
1751727985002,-83,40
1751727985108,-84,36
1751727985206,-83,40
1751727985309,-76,68
1751727985402,-76,68
1751727985505,-82,44
1751727985606,-76,68
1751727985702,-79,56
1751727985811,-85,32
1751727985907,-82,44
1751727986009,-83,40
1751727986112,-79,56
1751727986212,-78,60
1751727986312,-82,44
1751727986417,-82,44
1751727986519,-84,36
1751727986615,-79,56
1751727986714,-84,36
1751727986720,-84,36
1751727986816,-79,56
1751727986917,-80,52
1751727987020,-80,52
1751727987127,-80,52
1751727987216,-81,48
1751727987329,-79,56
1751727987421,-79,56
1751727987524,-90,12
1751727987625,-79,56
1751727987726,-81,48
1751727987831,-79,56
1751727987926,-81,48
1751727988044,-79,56
1751727988128,-77,64
1751727988235,-78,60
1751727988343,-71,88
1751727988428,-88,20
1751727988531,-74,76
1751727988636,-78,60
1751727988638,-78,60
1751727988744,-75,72
1751727988850,-82,44
1751727988941,-76,68
1751727989044,-78,60
1751727989145,-75,72
1751727989241,-75,72
1751727989345,-73,80
1751727989442,-76,68
1751727989547,-76,68
1751727989648,-78,60
1751727989745,-80,52
1751727989844,-78,60
1751727989945,-79,56
1751727990055,-83,40
1751727990147,-91,8
1751727990250,-80,52
1751727990364,-76,68
1751727990451,-76,68
1751727990562,-79,56
1751727990654,-92,4
1751727990758,-87,24
1751727990858,-85,32
1751727990961,-86,28
1751727991057,-87,24
1751727991159,-82,44
1751727991267,-83,40
1751727991368,-80,52
1751727991466,-76,68
1751727991567,-75,72
1751727991665,-77,64
1751727991775,-74,76
1751727991777,-74,76
1751727991870,-73,80
1751727991964,-74,76
1751727992074,-75,72
1751727992175,-74,76
1751727992277,-74,76
1751727992374,-75,72
1751727992471,-75,72
1751727992574,-78,60
1751727992679,-79,56
1751727992781,-77,64
1751727992884,-77,64
1751727992982,-78,60
1751727993077,-74,76
1751727993182,-74,76
1751727993285,-75,72
1751727993388,-77,64
1751727993486,-76,68
1751727993594,-74,76
1751727993689,-75,72
1751727993793,-75,72
1751727993892,-74,76
1751727993992,-77,64
1751727994093,-77,64
1751727994195,-75,72
1751727994299,-75,72
1751727994389,-75,72
1751727994494,-75,72
1751727994595,-77,64
1751727994698,-77,64
1751727994797,-77,64
1751727994906,-77,64
1751727995007,-76,68
1751727995100,-75,72
1751727995205,-76,68
1751727995300,-74,76
1751727995417,-74,76
1751727995515,-75,72
1751727995609,-75,72
1751727995713,-75,72
1751727995809,-75,72
1751727995910,-75,72
1751727996017,-75,72
1751727996122,-74,76
1751727996216,-74,76
1751727996310,-75,72
1751727996420,-73,80
1751727996527,-73,80
1751727996618,-72,84
1751727996724,-72,84
1751727996819,-69,96
1751727996925,-72,84
1751727997029,-71,88
1751727997126,-73,80
1751727997225,-79,56
1751727997329,-73,80
1751727997426,-71,88
1751727997533,-73,80
1751727997628,-75,72
1751727997738,-74,76
1751727997832,-77,64
1751727997935,-76,68
1751727998033,-77,64
1751727998144,-74,76
1751727998237,-77,64
1751727998339,-76,68
1751727998442,-74,76
1751727998546,-77,64
1751727998643,-77,64
1751727998742,-79,56
1751727998839,-77,64
1751727998948,-75,72
1751727999044,-75,72
1751727999145,-74,76
1751727999250,-74,76
1751727999346,-74,76
1751727999452,-73,80
1751727999553,-73,80
1751727999659,-73,80
1751727999755,-75,72
1751727999854,-78,60
1751727999964,-77,64
1751728000067,-76,68
1751728000164,-76,68
1751728000266,-76,68
1751728000356,-78,60
1751728000462,-76,68
1751728000564,-76,68
1751728000666,-75,72
1751728000762,-75,72
1751728000871,-73,80
1751728000964,-73,80
1751728001071,-74,76
1751728001163,-74,76
1751728001276,-74,76
1751728001371,-74,76
1751728001472,-74,76
1751728001576,-76,68
1751728001674,-77,64
1751728001777,-76,68
1751728001877,-77,64
1751728001977,-76,68
1751728002075,-76,68
1751728002173,-77,64
1751728002280,-77,64
1751728002386,-78,60
1751728002478,-78,60
1751728002583,-78,60
1751728002688,-78,60
1751728002786,-78,60
1751728002885,-78,60
1751728002986,-77,64
1751728003086,-75,72
1751728003207,-75,72
1751728003293,-74,76
1751728003297,-74,76
1751728003388,-75,72
1751728003490,-77,64
1751728003597,-78,60
1751728003699,-79,56
1751728003797,-75,72
1751728003893,-76,68
1751728003997,-78,60
1751728004096,-79,56
1751728004199,-78,60
1751728004301,-77,64
1751728004415,-76,68
1751728004513,-75,72
1751728004606,-74,76
1751728004724,-75,72
1751728004806,-76,68
1751728004905,-80,52
1751728005012,-86,28
1751728005110,-93,0
1751728005211,-89,16
1751728005334,-87,24
1751728005409,-85,32
1751728005511,-90,12
1751728005616,-90,12
1751728005716,-88,20
1751728005817,-81,48
1751728005922,-77,64
1751728006020,-84,36
1751728006124,-82,44
1751728006227,-81,48
1751728006322,-81,48
1751728006428,-82,44
1751728006524,-85,32
1751728006629,-86,28
1751728006733,-87,24
1751728006735,-88,20
1751728006826,-87,24
1751728006930,-85,32
1751728007030,-79,56
1751728007127,-76,68
1751728007226,-77,64
1751728007339,-80,52
1751728007429,-84,36
1751728007537,-85,32
1751728007634,-87,24
1751728007739,-80,52
1751728007838,-85,32
1751728007942,-82,44
1751728008043,-86,28
1751728008139,-88,20
1751728008238,-87,24
1751728008342,-84,36
1751728008442,-85,32
1751728008545,-84,36
1751728008650,-85,32
1751728008743,-84,36
1751728008848,-86,28
1751728008947,-87,24
1751728009050,-90,12
1751728009159,-91,8
1751728009163,-92,4
1751728009258,-88,20
1751728009359,-87,24
1751728009457,-86,28
1751728009561,-85,32
1751728009660,-84,36
1751728009760,-84,36
1751728009864,-84,36
1751728009957,-83,40
