win_path,file_id,start_ms,end_ms,tx,rx,env
processed_10s_2ch\A_B_1__t1751729937079.npy,A_B_1,1751729937079,1751729947079,A,B,1
processed_10s_2ch\A_B_1__t1751729942079.npy,A_B_1,1751729942079,1751729952079,A,B,1
processed_10s_2ch\A_B_1__t1751729947079.npy,A_B_1,1751729947079,1751729957079,A,B,1
processed_10s_2ch\A_B_1__t1751729952079.npy,A_B_1,1751729952079,1751729962079,A,B,1
processed_10s_2ch\A_B_1__t1751729957079.npy,A_B_1,1751729957079,1751729967079,A,B,1
processed_10s_2ch\A_B_1__t1751729962079.npy,A_B_1,1751729962079,1751729972079,A,B,1
processed_10s_2ch\A_B_1__t1751729967079.npy,A_B_1,1751729967079,1751729977079,A,B,1
processed_10s_2ch\A_B_1__t1751729972079.npy,A_B_1,1751729972079,1751729982079,A,B,1
processed_10s_2ch\A_B_1__t1751729977079.npy,A_B_1,1751729977079,1751729987079,A,B,1
processed_10s_2ch\A_B_1__t1751729982079.npy,A_B_1,1751729982079,1751729992079,A,B,1
processed_10s_2ch\A_B_1__t1751729987079.npy,A_B_1,1751729987079,1751729997079,A,B,1
processed_10s_2ch\A_B_1__t1751729992079.npy,A_B_1,1751729992079,1751730002079,A,B,1
processed_10s_2ch\A_B_1__t1751729997079.npy,A_B_1,1751729997079,1751730007079,A,B,1
processed_10s_2ch\A_B_1__t1751730002079.npy,A_B_1,1751730002079,1751730012079,A,B,1
processed_10s_2ch\A_B_1__t1751730007079.npy,A_B_1,1751730007079,1751730017079,A,B,1
processed_10s_2ch\A_B_1__t1751730012079.npy,A_B_1,1751730012079,1751730022079,A,B,1
processed_10s_2ch\A_B_1__t1751730017079.npy,A_B_1,1751730017079,1751730027079,A,B,1
processed_10s_2ch\A_B_1__t1751730022079.npy,A_B_1,1751730022079,1751730032079,A,B,1
processed_10s_2ch\A_B_1__t1751730027079.npy,A_B_1,1751730027079,1751730037079,A,B,1
processed_10s_2ch\A_B_1__t1751730032079.npy,A_B_1,1751730032079,1751730042079,A,B,1
processed_10s_2ch\A_B_1__t1751730037079.npy,A_B_1,1751730037079,1751730047079,A,B,1
processed_10s_2ch\A_B_1__t1751730042079.npy,A_B_1,1751730042079,1751730052079,A,B,1
processed_10s_2ch\A_B_1__t1751730047079.npy,A_B_1,1751730047079,1751730057079,A,B,1
processed_10s_2ch\A_B_1__t1751730052079.npy,A_B_1,1751730052079,1751730062079,A,B,1
processed_10s_2ch\A_B_1__t1751730057079.npy,A_B_1,1751730057079,1751730067079,A,B,1
processed_10s_2ch\A_B_1__t1751730062079.npy,A_B_1,1751730062079,1751730072079,A,B,1
processed_10s_2ch\A_B_1__t1751730067079.npy,A_B_1,1751730067079,1751730077079,A,B,1
processed_10s_2ch\A_B_1__t1751730072079.npy,A_B_1,1751730072079,1751730082079,A,B,1
processed_10s_2ch\A_B_1__t1751730077079.npy,A_B_1,1751730077079,1751730087079,A,B,1
processed_10s_2ch\A_B_1__t1751730082079.npy,A_B_1,1751730082079,1751730092079,A,B,1
processed_10s_2ch\A_B_1__t1751730087079.npy,A_B_1,1751730087079,1751730097079,A,B,1
processed_10s_2ch\A_B_1__t1751730092079.npy,A_B_1,1751730092079,1751730102079,A,B,1
processed_10s_2ch\A_B_1__t1751730097079.npy,A_B_1,1751730097079,1751730107079,A,B,1
processed_10s_2ch\A_B_1__t1751730102079.npy,A_B_1,1751730102079,1751730112079,A,B,1
processed_10s_2ch\A_B_1__t1751730107079.npy,A_B_1,1751730107079,1751730117079,A,B,1
processed_10s_2ch\A_B_1__t1751730112079.npy,A_B_1,1751730112079,1751730122079,A,B,1
processed_10s_2ch\A_B_1__t1751730117079.npy,A_B_1,1751730117079,1751730127079,A,B,1
processed_10s_2ch\A_B_1__t1751730122079.npy,A_B_1,1751730122079,1751730132079,A,B,1
processed_10s_2ch\A_B_1__t1751730127079.npy,A_B_1,1751730127079,1751730137079,A,B,1
processed_10s_2ch\A_B_1__t1751730132079.npy,A_B_1,1751730132079,1751730142079,A,B,1
processed_10s_2ch\A_B_1__t1751730137079.npy,A_B_1,1751730137079,1751730147079,A,B,1
processed_10s_2ch\A_B_1__t1751730142079.npy,A_B_1,1751730142079,1751730152079,A,B,1
processed_10s_2ch\A_B_1__t1751730147079.npy,A_B_1,1751730147079,1751730157079,A,B,1
processed_10s_2ch\A_B_1__t1751730152079.npy,A_B_1,1751730152079,1751730162079,A,B,1
