/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-05_17.38.24-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-05 17:38:24,605 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-05 17:38:28,857 # help
2025-07-05 17:38:28,859 # Command              Description
2025-07-05 17:38:28,861 # ---------------------------------------
2025-07-05 17:38:28,863 # target_add           Add IPv6 target for sending packets
2025-07-05 17:38:28,865 # send                 Control sender: send start|stop
2025-07-05 17:38:28,867 # status               Show sender status and target list
2025-07-05 17:38:28,869 # ping                 Ping via ICMPv6
2025-07-05 17:38:28,870 # nib                  Configure neighbor information base
2025-07-05 17:38:28,872 # ifconfig             Configure network interfaces
2025-07-05 17:38:28,874 # 6ctx                 6LoWPAN context configuration tool
2025-07-05 17:38:28,875 # pm                   interact with layered PM subsystem
2025-07-05 17:38:28,877 # version              Prints current RIOT_VERSION
2025-07-05 17:38:28,878 # bootloader           Reboot to bootloader
2025-07-05 17:38:28,879 # reboot               Reboot the node
> 2025-07-05 17:38:59,242 # -79,56
2025-07-05 17:38:59,343 # -77,64
2025-07-05 17:38:59,443 # -81,48
2025-07-05 17:38:59,543 # -91,8
2025-07-05 17:38:59,646 # -82,44
2025-07-05 17:38:59,743 # -88,20
2025-07-05 17:38:59,844 # -83,40
2025-07-05 17:38:59,947 # -89,16
2025-07-05 17:39:00,045 # -80,52
2025-07-05 17:39:00,146 # -82,44
2025-07-05 17:39:00,245 # -83,40
2025-07-05 17:39:00,348 # -78,60
2025-07-05 17:39:00,448 # -88,20
2025-07-05 17:39:00,450 # -89,16
2025-07-05 17:39:00,562 # -93,0
2025-07-05 17:39:00,650 # -81,48
2025-07-05 17:39:00,752 # -90,12
2025-07-05 17:39:00,848 # -86,28
2025-07-05 17:39:00,952 # -80,52
2025-07-05 17:39:01,052 # -88,20
2025-07-05 17:39:01,153 # -86,28
2025-07-05 17:39:01,252 # -78,60
2025-07-05 17:39:01,358 # -86,28
2025-07-05 17:39:01,453 # -84,36
2025-07-05 17:39:01,555 # -77,64
2025-07-05 17:39:01,654 # -78,60
2025-07-05 17:39:01,754 # -88,20
2025-07-05 17:39:01,857 # -81,48
2025-07-05 17:39:01,959 # -77,64
2025-07-05 17:39:02,057 # -78,60
2025-07-05 17:39:02,159 # -80,52
2025-07-05 17:39:02,260 # -81,48
2025-07-05 17:39:02,359 # -81,48
2025-07-05 17:39:02,457 # -81,48
2025-07-05 17:39:02,561 # -77,64
2025-07-05 17:39:02,663 # -77,64
2025-07-05 17:39:02,759 # -84,36
2025-07-05 17:39:02,869 # -90,12
2025-07-05 17:39:02,962 # -83,40
2025-07-05 17:39:03,063 # -86,28
2025-07-05 17:39:03,169 # -91,8
2025-07-05 17:39:03,265 # -80,52
2025-07-05 17:39:03,365 # -81,48
2025-07-05 17:39:03,470 # -79,56
2025-07-05 17:39:03,566 # -78,60
2025-07-05 17:39:03,666 # -80,52
2025-07-05 17:39:03,774 # -79,56
2025-07-05 17:39:03,869 # -79,56
2025-07-05 17:39:03,974 # -83,40
2025-07-05 17:39:04,071 # -85,32
2025-07-05 17:39:04,174 # -93,0
2025-07-05 17:39:04,179 # -93,0
2025-07-05 17:39:04,271 # -89,16
2025-07-05 17:39:04,370 # -78,60
2025-07-05 17:39:04,472 # -78,60
2025-07-05 17:39:04,572 # -79,56
2025-07-05 17:39:04,673 # -80,52
2025-07-05 17:39:04,772 # -79,56
2025-07-05 17:39:04,875 # -83,40
2025-07-05 17:39:04,976 # -83,40
2025-07-05 17:39:05,075 # -79,56
2025-07-05 17:39:05,083 # -80,52
2025-07-05 17:39:05,089 # -83,40
2025-07-05 17:39:05,177 # -83,40
2025-07-05 17:39:05,274 # -81,48
2025-07-05 17:39:05,376 # -79,56
2025-07-05 17:39:05,478 # -81,48
2025-07-05 17:39:05,576 # -80,52
2025-07-05 17:39:05,677 # -79,56
2025-07-05 17:39:05,779 # -83,40
2025-07-05 17:39:05,881 # -87,24
2025-07-05 17:39:05,980 # -81,48
2025-07-05 17:39:06,080 # -83,40
2025-07-05 17:39:06,181 # -81,48
2025-07-05 17:39:06,279 # -85,32
2025-07-05 17:39:06,484 # -93,0
2025-07-05 17:39:06,583 # -92,4
2025-07-05 17:39:06,685 # -85,32
2025-07-05 17:39:06,692 # -85,32
2025-07-05 17:39:06,784 # -85,32
2025-07-05 17:39:06,887 # -82,44
2025-07-05 17:39:06,993 # -82,44
2025-07-05 17:39:07,084 # -84,36
2025-07-05 17:39:07,188 # -80,52
2025-07-05 17:39:07,288 # -81,48
2025-07-05 17:39:07,388 # -84,36
2025-07-05 17:39:07,494 # -84,36
2025-07-05 17:39:07,587 # -82,44
2025-07-05 17:39:07,690 # -75,72
2025-07-05 17:39:07,807 # -80,52
2025-07-05 17:39:07,891 # -84,36
2025-07-05 17:39:07,896 # -85,32
2025-07-05 17:39:07,901 # -85,32
2025-07-05 17:39:07,904 # -84,36
2025-07-05 17:39:07,912 # -86,28
2025-07-05 17:39:07,992 # -76,68
2025-07-05 17:39:08,096 # -74,76
2025-07-05 17:39:08,194 # -71,88
2025-07-05 17:39:08,292 # -71,88
2025-07-05 17:39:08,391 # -74,76
2025-07-05 17:39:08,493 # -75,72
2025-07-05 17:39:08,593 # -88,20
2025-07-05 17:39:08,598 # -88,20
2025-07-05 17:39:08,605 # -88,20
2025-07-05 17:39:08,609 # -87,24
2025-07-05 17:39:08,613 # -86,28
2025-07-05 17:39:08,697 # -83,40
2025-07-05 17:39:08,704 # -83,40
2025-07-05 17:39:08,710 # -85,32
2025-07-05 17:39:08,716 # -84,36
2025-07-05 17:39:08,795 # -93,0
2025-07-05 17:39:08,801 # -93,0
2025-07-05 17:39:08,803 # -93,0
2025-07-05 17:39:08,816 # -91,8
2025-07-05 17:39:08,895 # -89,16
2025-07-05 17:39:08,898 # -88,20
2025-07-05 17:39:08,903 # -88,20
2025-07-05 17:39:08,907 # -88,20
2025-07-05 17:39:08,911 # -88,20
2025-07-05 17:39:08,999 # -82,44
2025-07-05 17:39:09,097 # -78,60
2025-07-05 17:39:09,218 # -85,32
2025-07-05 17:39:09,222 # -85,32
2025-07-05 17:39:09,318 # -87,24
2025-07-05 17:39:09,321 # -87,24
2025-07-05 17:39:09,326 # -88,20
2025-07-05 17:39:09,330 # -87,24
2025-07-05 17:39:09,337 # -87,24
2025-07-05 17:39:09,399 # -90,12
2025-07-05 17:39:09,402 # -90,12
2025-07-05 17:39:09,408 # -90,12
2025-07-05 17:39:09,412 # -91,8
2025-07-05 17:39:09,415 # -90,12
2025-07-05 17:39:09,505 # -82,44
2025-07-05 17:39:09,512 # -82,44
2025-07-05 17:39:09,599 # -80,52
2025-07-05 17:39:09,702 # -81,48
2025-07-05 17:39:09,803 # -80,52
2025-07-05 17:39:09,901 # -82,44
2025-07-05 17:39:10,022 # -82,44
2025-07-05 17:39:10,114 # -83,40
2025-07-05 17:39:10,209 # -84,36
2025-07-05 17:39:10,213 # -84,36
2025-07-05 17:39:10,225 # -84,36
2025-07-05 17:39:10,231 # -84,36
2025-07-05 17:39:10,304 # -86,28
2025-07-05 17:39:10,307 # -86,28
2025-07-05 17:39:10,313 # -86,28
2025-07-05 17:39:10,316 # -89,16
2025-07-05 17:39:10,321 # -86,28
2025-07-05 17:39:10,410 # -84,36
2025-07-05 17:39:10,416 # -84,36
2025-07-05 17:39:10,422 # -84,36
2025-07-05 17:39:10,426 # -85,32
2025-07-05 17:39:10,433 # -84,36
2025-07-05 17:39:10,506 # -83,40
2025-07-05 17:39:10,511 # -82,44
2025-07-05 17:39:10,516 # -82,44
2025-07-05 17:39:10,520 # -83,40
2025-07-05 17:39:10,605 # -79,56
2025-07-05 17:39:10,704 # -79,56
2025-07-05 17:39:10,809 # -79,56
2025-07-05 17:39:10,811 # -79,56
2025-07-05 17:39:10,906 # -78,60
2025-07-05 17:39:11,007 # -79,56
2025-07-05 17:39:11,107 # -80,52
2025-07-05 17:39:11,215 # -81,48
2025-07-05 17:39:11,308 # -79,56
2025-07-05 17:39:11,312 # -79,56
2025-07-05 17:39:11,409 # -78,60
2025-07-05 17:39:11,517 # -78,60
2025-07-05 17:39:11,611 # -79,56
2025-07-05 17:39:11,715 # -80,52
2025-07-05 17:39:11,835 # -80,52
2025-07-05 17:39:11,933 # -80,52
2025-07-05 17:39:12,032 # -79,56
2025-07-05 17:39:12,131 # -78,60
2025-07-05 17:39:12,236 # -78,60
2025-07-05 17:39:12,336 # -78,60
2025-07-05 17:39:12,433 # -78,60
2025-07-05 17:39:12,538 # -79,56
2025-07-05 17:39:12,629 # -80,52
2025-07-05 17:39:12,718 # -81,48
2025-07-05 17:39:12,838 # -81,48
2025-07-05 17:39:12,842 # -81,48
2025-07-05 17:39:12,918 # -81,48
2025-07-05 17:39:13,020 # -81,48
2025-07-05 17:39:13,127 # -82,44
2025-07-05 17:39:13,227 # -82,44
2025-07-05 17:39:13,232 # -83,40
2025-07-05 17:39:13,321 # -82,44
2025-07-05 17:39:13,324 # -82,44
2025-07-05 17:39:13,421 # -82,44
2025-07-05 17:39:13,426 # -82,44
2025-07-05 17:39:13,523 # -81,48
2025-07-05 17:39:13,623 # -80,52
2025-07-05 17:39:13,723 # -80,52
2025-07-05 17:39:13,823 # -79,56
2025-07-05 17:39:13,925 # -78,60
2025-07-05 17:39:14,050 # -80,52
2025-07-05 17:39:14,156 # -79,56
2025-07-05 17:39:14,242 # -80,52
2025-07-05 17:39:14,327 # -81,48
2025-07-05 17:39:14,427 # -81,48
2025-07-05 17:39:14,534 # -79,56
2025-07-05 17:39:14,629 # -80,52
2025-07-05 17:39:14,735 # -82,44
2025-07-05 17:39:14,829 # -84,36
2025-07-05 17:39:14,836 # -84,36
2025-07-05 17:39:14,839 # -84,36
2025-07-05 17:39:14,931 # -84,36
2025-07-05 17:39:14,937 # -84,36
2025-07-05 17:39:14,944 # -84,36
2025-07-05 17:39:14,946 # -84,36
2025-07-05 17:39:14,952 # -84,36
2025-07-05 17:39:15,030 # -84,36
2025-07-05 17:39:15,136 # -91,8
2025-07-05 17:39:15,142 # -92,4
2025-07-05 17:39:15,148 # -93,0
2025-07-05 17:39:15,156 # -93,0
