timestamp_ms,rssi,lqi
0,-72,84
101,-72,84
202,-70,92
302,-72,84
403,-85,32
502,-71,88
603,-72,84
704,-70,92
803,-71,88
906,-69,96
1004,-71,88
1105,-71,88
1207,-75,72
1308,-75,72
1409,-71,88
1510,-72,84
1608,-73,80
1710,-71,88
1811,-73,80
1912,-72,84
2011,-72,84
2116,-72,84
2213,-70,92
2312,-71,88
2414,-69,96
2514,-70,92
2615,-69,96
2716,-72,84
2816,-75,72
2917,-75,72
3018,-74,76
3117,-75,72
3217,-76,68
3319,-70,92
3422,-71,88
3519,-71,88
3621,-71,88
3720,-73,80
3821,-72,84
3923,-71,88
4024,-73,80
4123,-75,72
4229,-71,88
4326,-70,92
4425,-69,96
4527,-70,92
4626,-70,92
4733,-72,84
4828,-70,92
4927,-71,88
5029,-70,92
5128,-68,100
5230,-69,96
5330,-69,96
5432,-70,92
5531,-71,88
5633,-72,84
5733,-73,80
5834,-72,84
5935,-71,88
6034,-70,92
6135,-74,76
6235,-74,76
6336,-73,80
6436,-72,84
6536,-73,80
6638,-73,80
6739,-73,80
6838,-77,64
6938,-79,56
7039,-86,28
7140,-81,48
7242,-75,72
7341,-77,64
7443,-82,44
7541,-89,16
7644,-80,52
7744,-87,24
7750,-84,36
7843,-82,44
7946,-86,28
8045,-76,68
8147,-77,64
8246,-79,56
8347,-77,64
8448,-76,68
8547,-88,20
8552,-86,28
8555,-85,32
8649,-73,80
8750,-69,96
8855,-71,88
8952,-76,68
9050,-69,96
9151,-67,104
9252,-63,120
9353,-67,104
9454,-68,100
9553,-65,112
9654,-64,116
9756,-64,116
9856,-68,100
9955,-87,24
9960,-88,20
9963,-87,24
9970,-89,16
9975,-90,12
10057,-91,8
10061,-92,4
10065,-90,12
10071,-90,12
10075,-89,16
10158,-76,68
10257,-76,68
10357,-74,76
10459,-76,68
10561,-79,56
10659,-80,52
10761,-83,40
10766,-84,36
10772,-84,36
10777,-85,32
10781,-86,28
10860,-85,32
10863,-85,32
10867,-84,36
10870,-84,36
10872,-84,36
10968,-80,52
11061,-78,60
11168,-78,60
11263,-78,60
11364,-80,52
11464,-78,60
11566,-75,72
11665,-74,76
11766,-75,72
11867,-74,76
11974,-76,68
12067,-75,72
12168,-79,56
12269,-81,48
12370,-79,56
12471,-84,36
12571,-83,40
12581,-84,36
12583,-84,36
12588,-84,36
12671,-84,36
12678,-84,36
12680,-84,36
12685,-84,36
12778,-84,36
12781,-84,36
12784,-85,32
12790,-84,36
12873,-85,32
12876,-84,36
12880,-84,36
12973,-85,32
12980,-85,32
12985,-85,32
12988,-85,32
12995,-85,32
13074,-85,32
13079,-85,32
13087,-85,32
13093,-86,28
13174,-85,32
13177,-85,32
13180,-85,32
13184,-86,28
13276,-85,32
13286,-80,52
13289,-85,32
13293,-85,32
13377,-84,36
13384,-84,36
13387,-84,36
13477,-83,40
13580,-81,48
13677,-81,48
13779,-81,48
13885,-81,48
13979,-79,56
14079,-79,56
14181,-77,64
14281,-75,72
14381,-77,64
14481,-77,64
14583,-78,60
14683,-82,44
14784,-83,40
14789,-84,36
14795,-85,32
14801,-86,28
14808,-87,24
14887,-88,20
14892,-89,16
14899,-91,8
14906,-92,4
14984,-85,32
14996,-83,40
15085,-80,52
15186,-79,56
15292,-78,60
15386,-77,64
15487,-78,60
15493,-78,60
15587,-79,56
15688,-78,60
15789,-80,52
15895,-78,60
15990,-81,48
16091,-79,56
16190,-75,72
16297,-74,76
16394,-76,68
16494,-83,40
16498,-83,40
16595,-86,28
16599,-86,28
16609,-85,32
16696,-79,56
16800,-76,68
16895,-84,36
16995,-83,40
16998,-82,44
17096,-73,80
17197,-81,48
17297,-78,60
17303,-78,60
17399,-76,68
17502,-75,72
17598,-73,80
17701,-76,68
17801,-82,44
17900,-91,8
17905,-90,12
17907,-92,4
17912,-92,4
17915,-93,0
18002,-88,20
18005,-88,20
18016,-88,20
18023,-87,24
18102,-80,52
18204,-78,60
18302,-84,36
18305,-85,32
18309,-86,28
18312,-87,24
18316,-87,24
18410,-85,32
18415,-85,32
18420,-85,32
18424,-85,32
18504,-87,24
18512,-86,28
18517,-85,32
18521,-85,32
18606,-83,40
18707,-76,68
18806,-79,56
18907,-89,16
18912,-91,8
18916,-90,12
18919,-90,12
18922,-90,12
19007,-88,20
19014,-87,24
19017,-87,24
19023,-87,24
19029,-86,28
19107,-80,52
19213,-78,60
19309,-77,64
19315,-77,64
19410,-76,68
19509,-77,64
19610,-75,72
19711,-75,72
19812,-74,76
19915,-77,64
20013,-72,84
20113,-74,76
20219,-74,76
20314,-74,76
20416,-75,72
20516,-77,64
20619,-76,68
20718,-74,76
20819,-75,72
20919,-83,40
