timestamp_ms,rssi,lqi
0,-90,12
100,-81,48
201,-87,24
302,-87,24
401,-93,0
405,-93,0
408,-93,0
414,-93,0
419,-92,4
500,-82,44
601,-86,28
702,-81,48
806,-84,36
906,-81,48
1004,-85,32
1105,-83,40
1109,-83,40
1114,-83,40
1206,-83,40
1306,-82,44
1412,-82,44
1507,-85,32
1608,-84,36
1708,-81,48
1809,-88,20
1909,-85,32
2009,-85,32
2116,-89,16
2218,-83,40
2324,-93,0
2327,-93,0
2334,-93,0
2411,-91,8
2515,-90,12
2613,-89,16
2714,-93,0
2718,-93,0
2720,-93,0
2722,-93,0
2726,-93,0
2814,-86,28
2915,-86,28
3018,-86,28
3116,-84,36
3218,-83,40
3318,-85,32
3418,-88,20
3519,-87,24
3522,-87,24
3618,-93,0
3627,-93,0
3630,-93,0
3635,-93,0
3721,-84,36
3820,-83,40
3922,-88,20
4022,-86,28
4124,-81,48
4222,-79,56
4323,-79,56
4445,-93,0
4448,-92,4
4524,-81,48
4624,-93,0
4628,-93,0
4634,-91,8
4726,-83,40
4838,-80,52
4935,-79,56
5044,-85,32
5127,-81,48
5234,-78,60
5328,-78,60
5431,-78,60
5530,-81,48
5630,-90,12
5738,-93,0
5743,-93,0
5754,-93,0
5758,-93,0
5833,-91,8
5932,-78,60
6033,-78,60
6140,-81,48
6239,-76,68
6335,-79,56
6435,-75,72
6536,-77,64
6635,-83,40
6737,-81,48
6836,-83,40
6938,-84,36
7039,-78,60
7138,-77,64
7240,-77,64
7339,-82,44
7441,-75,72
7549,-74,76
7645,-74,76
7742,-78,60
7842,-73,80
7944,-76,68
8044,-77,64
8055,-76,68
8144,-73,80
8245,-75,72
8348,-74,76
8448,-76,68
8557,-76,68
8654,-78,60
8753,-77,64
8756,-77,64
8850,-74,76
8950,-79,56
9049,-79,56
9151,-79,56
9252,-78,60
9351,-79,56
9453,-75,72
9553,-83,40
9665,-88,20
9754,-76,68
9854,-75,72
9954,-76,68
10057,-79,56
10156,-77,64
10257,-78,60
10357,-85,32
10458,-81,48
10558,-82,44
10660,-77,64
10758,-82,44
10860,-80,52
10961,-78,60
11061,-79,56
11160,-85,32
11264,-76,68
11364,-76,68
11464,-79,56
11563,-74,76
