timestamp_ms,rssi,lqi
0,-59,136
101,-58,140
203,-59,136
302,-59,136
404,-59,136
503,-57,144
611,-57,144
705,-56,148
808,-57,144
906,-57,144
1006,-57,144
1106,-56,148
1208,-57,144
1308,-57,144
1410,-57,144
1510,-58,140
1614,-57,144
1711,-59,136
1811,-58,140
1912,-59,136
2011,-57,144
2115,-57,144
2213,-57,144
2314,-58,140
2414,-59,136
2515,-59,136
2615,-59,136
2720,-59,136
2817,-59,136
2920,-59,136
3019,-59,136
3117,-59,136
3217,-59,136
3320,-60,132
3420,-59,136
3521,-58,140
3621,-58,140
3722,-57,144
3822,-57,144
3923,-57,144
4022,-56,148
4124,-56,148
4227,-55,152
4325,-56,148
4424,-56,148
4525,-56,148
4627,-57,144
4727,-57,144
4826,-57,144
4927,-56,148
5028,-56,148
5130,-57,144
5230,-57,144
5332,-58,140
5431,-58,140
5532,-59,136
5631,-59,136
5734,-59,136
5834,-59,136
5935,-59,136
6035,-60,132
6134,-60,132
6237,-60,132
6337,-60,132
6443,-60,132
6543,-60,132
6638,-60,132
6738,-60,132
6839,-60,132
6938,-60,132
7039,-60,132
7141,-60,132
7243,-60,132
7343,-61,128
7444,-60,132
7544,-60,132
7646,-61,128
7744,-61,128
7844,-60,132
7947,-60,132
8047,-61,128
8052,-60,132
8147,-60,132
8252,-60,132
8346,-60,132
8448,-60,132
8548,-59,136
8658,-60,132
8751,-60,132
8852,-60,132
8949,-59,136
9054,-61,128
9152,-59,136
9256,-60,132
9354,-59,136
9454,-60,132
9561,-60,132
9662,-61,128
9756,-61,128
9855,-60,132
9958,-60,132
10059,-60,132
10159,-60,132
10259,-60,132
10360,-60,132
10459,-60,132
10561,-60,132
10662,-60,132
10761,-60,132
10866,-60,132
10964,-60,132
11070,-60,132
11164,-60,132
11263,-60,132
11365,-60,132
11466,-61,128
11565,-60,132
11666,-60,132
11768,-60,132
11867,-61,128
11968,-60,132
12067,-61,128
12170,-61,128
12270,-61,128
12369,-61,128
12471,-62,124
12572,-61,128
12672,-61,128
12772,-61,128
12874,-61,128
12973,-60,132
13075,-59,136
13175,-58,140
13275,-59,136
13376,-60,132
13476,-60,132
13576,-60,132
13678,-60,132
13778,-61,128
13881,-61,128
13980,-60,132
14086,-60,132
14178,-60,132
14281,-60,132
14380,-60,132
14482,-60,132
14589,-59,136
14685,-60,132
14789,-60,132
14884,-59,136
14985,-59,136
15085,-59,136
15187,-59,136
15288,-57,144
15388,-57,144
15392,-58,140
15487,-59,136
15590,-58,140
15688,-57,144
15790,-59,136
15891,-60,132
15992,-61,128
16093,-61,128
16196,-62,124
16297,-63,120
16393,-62,124
16493,-63,120
16595,-60,132
