timestamp_ms,rssi,lqi
0,-78,60
103,-76,68
202,-75,72
302,-74,76
404,-76,68
505,-75,72
606,-76,68
704,-72,84
805,-78,60
907,-77,64
1006,-74,76
1107,-74,76
1208,-72,84
1308,-73,80
1410,-75,72
1510,-78,60
1610,-76,68
1712,-78,60
1812,-76,68
1913,-76,68
2012,-76,68
2112,-72,84
2214,-78,60
2315,-76,68
2416,-72,84
2516,-77,64
2616,-81,48
2717,-74,76
2818,-75,72
2917,-80,52
3017,-75,72
3118,-81,48
3218,-73,80
3321,-78,60
3421,-76,68
3521,-79,56
3623,-78,60
3722,-77,64
3826,-78,60
3923,-76,68
3927,-76,68
4025,-76,68
4125,-75,72
4224,-74,76
4326,-77,64
4426,-77,64
4531,-74,76
4535,-74,76
4628,-75,72
4726,-78,60
4828,-83,40
4929,-80,52
5030,-79,56
5130,-77,64
5231,-76,68
5331,-76,68
5431,-76,68
5537,-77,64
5632,-77,64
5739,-77,64
5834,-78,60
5934,-79,56
6036,-81,48
6137,-81,48
6237,-83,40
6337,-83,40
6438,-80,52
6538,-78,60
6638,-82,44
6739,-79,56
6840,-81,48
6940,-80,52
7042,-79,56
7142,-80,52
7243,-79,56
7343,-80,52
7443,-80,52
7543,-77,64
7645,-77,64
7744,-79,56
7845,-80,52
7945,-80,52
8045,-80,52
8146,-80,52
8248,-83,40
8348,-86,28
8448,-77,64
8549,-72,84
8649,-73,80
8751,-78,60
8850,-82,44
8952,-77,64
9055,-81,48
9153,-84,36
9252,-81,48
9353,-73,80
9455,-74,76
9555,-79,56
9656,-85,32
9756,-75,72
9857,-79,56
9960,-79,56
10057,-77,64
10159,-76,68
10259,-77,64
10359,-82,44
10459,-76,68
10561,-80,52
10666,-79,56
10761,-77,64
10861,-83,40
10962,-80,52
11062,-76,68
11163,-75,72
11263,-73,80
11364,-73,80
11465,-77,64
11565,-75,72
11667,-83,40
11767,-78,60
11867,-81,48
11967,-86,28
12068,-78,60
12168,-78,60
12269,-80,52
12369,-74,76
12471,-79,56
12572,-89,16
12672,-84,36
12772,-82,44
12872,-77,64
12975,-74,76
13074,-73,80
13174,-72,84
13281,-78,60
13376,-79,56
13477,-73,80
13577,-74,76
13679,-73,80
13778,-73,80
13880,-77,64
13978,-77,64
14081,-77,64
14179,-76,68
14280,-73,80
14382,-74,76
14483,-76,68
14584,-75,72
14684,-75,72
14791,-75,72
14885,-75,72
14984,-76,68
15093,-75,72
15186,-74,76
15288,-74,76
15388,-75,72
15489,-74,76
15492,-74,76
15589,-75,72
15690,-76,68
15791,-75,72
15891,-77,64
15992,-77,64
16091,-75,72
16192,-73,80
16293,-73,80
16392,-73,80
16493,-73,80
16594,-75,72
16696,-77,64
16796,-75,72
16896,-76,68
16998,-77,64
17097,-77,64
17197,-78,60
17297,-79,56
17398,-76,68
17499,-77,64
17599,-77,64
17702,-77,64
17800,-77,64
17902,-78,60
18003,-78,60
18104,-78,60
18205,-79,56
18303,-79,56
18406,-77,64
18505,-79,56
18607,-78,60
18706,-79,56
18807,-81,48
18908,-79,56
19008,-79,56
19108,-81,48
19209,-81,48
19311,-79,56
19420,-78,60
19510,-79,56
19612,-79,56
19625,-79,56
19712,-79,56
19814,-79,56
19912,-79,56
20014,-79,56
20114,-80,52
20215,-80,52
20315,-81,48
20417,-80,52
20516,-79,56
20620,-78,60
20718,-78,60
20817,-79,56
20919,-79,56
20923,-79,56
21026,-78,60
21120,-79,56
21220,-79,56
21321,-80,52
21420,-81,48
21521,-80,52
21624,-79,56
21723,-79,56
21827,-78,60
21830,-78,60
21925,-78,60
22025,-79,56
22124,-80,52
22227,-80,52
22328,-80,52
22427,-77,64
22527,-75,72
22629,-76,68
22728,-77,64
22835,-78,60
22931,-76,68
23030,-78,60
23132,-75,72
23233,-75,72
23332,-75,72
23338,-75,72
23433,-77,64
23533,-75,72
23633,-75,72
23735,-74,76
23835,-76,68
23939,-78,60
24037,-79,56
24139,-79,56
24237,-75,72
24339,-83,40
24439,-76,68
24539,-82,44
24647,-80,52
24741,-76,68
24848,-80,52
24942,-78,60
25042,-75,72
25144,-77,64
25245,-80,52
25344,-78,60
25446,-81,48
25545,-78,60
25645,-80,52
25747,-80,52
25846,-85,32
25949,-78,60
26049,-76,68
26148,-77,64
26249,-76,68
26350,-81,48
26450,-78,60
26550,-80,52
26652,-83,40
26753,-78,60
26852,-81,48
26952,-82,44
26956,-81,48
27055,-83,40
27153,-86,28
27255,-93,0
27356,-87,24
27457,-85,32
27658,-87,24
27758,-83,40
27857,-82,44
27958,-81,48
28059,-81,48
28161,-82,44
28260,-84,36
28361,-84,36
28469,-84,36
28562,-82,44
28663,-80,52
28764,-80,52
28864,-80,52
28965,-79,56
29064,-79,56
29166,-79,56
29268,-79,56
29367,-79,56
29469,-79,56
29569,-77,64
29679,-76,68
29769,-77,64
29870,-83,40
29971,-77,64
30070,-82,44
30172,-84,36
30272,-83,40
30372,-79,56
30473,-80,52
30575,-79,56
30675,-79,56
30775,-79,56
30876,-80,52
30975,-79,56
31083,-80,52
31179,-83,40
31278,-80,52
31379,-78,60
31480,-79,56
31580,-79,56
31681,-77,64
31780,-77,64
31882,-79,56
31981,-76,68
32084,-79,56
32183,-77,64
32284,-77,64
32383,-75,72
32484,-78,60
32586,-79,56
32593,-79,56
32694,-82,44
32785,-84,36
32788,-84,36
32886,-77,64
32987,-82,44
33087,-77,64
33192,-78,60
33289,-80,52
33389,-80,52
33394,-80,52
33490,-74,76
33591,-72,84
33691,-84,36
33792,-76,68
33892,-77,64
33993,-76,68
34094,-77,64
34196,-78,60
34295,-79,56
34397,-76,68
34496,-73,80
34596,-79,56
34697,-78,60
34797,-77,64
34899,-73,80
34998,-76,68
35098,-75,72
35201,-81,48
35301,-76,68
35402,-73,80
35502,-75,72
35602,-78,60
35703,-78,60
35804,-74,76
35903,-78,60
36004,-74,76
36105,-74,76
36207,-82,44
36306,-78,60
36406,-75,72
36507,-77,64
36609,-79,56
36709,-77,64
36808,-76,68
36910,-75,72
