timestamp_ms,rssi,lqi
0,-63,120
100,-63,120
201,-62,124
303,-63,120
410,-65,112
503,-66,108
605,-64,116
706,-65,112
806,-68,100
907,-71,88
1004,-69,96
1106,-64,116
1208,-66,108
1308,-64,116
1409,-67,104
1513,-66,108
1611,-63,120
1712,-64,116
1811,-65,112
1913,-66,108
2013,-65,112
2113,-64,116
2213,-65,112
2313,-63,120
2414,-63,120
2514,-66,108
2616,-66,108
2716,-64,116
2817,-65,112
2916,-66,108
3016,-66,108
3119,-68,100
3218,-71,88
3320,-68,100
3420,-64,116
3523,-65,112
3621,-70,92
3721,-66,108
3824,-66,108
3922,-63,120
4024,-63,120
4124,-62,124
4224,-62,124
4327,-62,124
4427,-63,120
4525,-62,124
4626,-63,120
4726,-62,124
4828,-62,124
4928,-62,124
5029,-62,124
5131,-62,124
5238,-61,128
5331,-61,128
5431,-62,124
5533,-62,124
5634,-62,124
5732,-62,124
5834,-62,124
5935,-62,124
6035,-62,124
6135,-61,128
6235,-62,124
6337,-61,128
6438,-63,120
6538,-63,120
6637,-64,116
6737,-62,124
6837,-62,124
6941,-62,124
7041,-62,124
7140,-61,128
7243,-61,128
7341,-62,124
7443,-62,124
7544,-61,128
7646,-61,128
7744,-60,132
7846,-60,132
7944,-61,128
8045,-60,132
8148,-60,132
8248,-63,120
8347,-63,120
8447,-65,112
8550,-65,112
8649,-65,112
8750,-65,112
8851,-66,108
8952,-68,100
9053,-69,96
9154,-69,96
9158,-69,96
9254,-69,96
9355,-68,100
9455,-68,100
9555,-68,100
9655,-68,100
9754,-69,96
9856,-69,96
9957,-69,96
10057,-69,96
10158,-68,100
10260,-69,96
10358,-69,96
10459,-69,96
10562,-69,96
10662,-69,96
10762,-68,100
10863,-69,96
10961,-68,100
11064,-67,104
11169,-67,104
11265,-65,112
11366,-66,108
11467,-67,104
11565,-67,104
11666,-66,108
11770,-67,104
11869,-66,108
11968,-65,112
12069,-65,112
12170,-64,116
12173,-64,116
12272,-68,100
12372,-67,104
12470,-67,104
12574,-66,108
12680,-65,112
12772,-64,116
12873,-65,112
12974,-66,108
13076,-65,112
13175,-66,108
13276,-67,104
13375,-68,100
13478,-63,120
13581,-64,116
13680,-66,108
13780,-66,108
13879,-63,120
13982,-63,120
14081,-66,108
14183,-64,116
14282,-76,68
14382,-73,80
14484,-69,96
14584,-67,104
14683,-68,100
14785,-70,92
14884,-71,88
14985,-70,92
15085,-70,92
15186,-71,88
15288,-73,80
15388,-73,80
15489,-72,84
15590,-71,88
15690,-73,80
15788,-76,68
15898,-74,76
15992,-72,84
16100,-71,88
16198,-72,84
16294,-70,92
16393,-77,64
16492,-70,92
16605,-72,84
16697,-74,76
16794,-71,88
16898,-73,80
16999,-77,64
17098,-73,80
17197,-71,88
17299,-72,84
17398,-70,92
17498,-74,76
17598,-75,72
17702,-74,76
17801,-71,88
17902,-74,76
18003,-80,52
18103,-80,52
18206,-74,76
18304,-76,68
18405,-72,84
18504,-69,96
18606,-72,84
18706,-74,76
18805,-74,76
18809,-73,80
18907,-69,96
19007,-74,76
19109,-72,84
19210,-68,100
19310,-71,88
19411,-87,24
19511,-82,44
19616,-75,72
19713,-74,76
19815,-73,80
19914,-73,80
20012,-73,80
20116,-71,88
20214,-70,92
20319,-69,96
20418,-70,92
20518,-71,88
20617,-71,88
20718,-70,92
20820,-69,96
20918,-71,88
21021,-75,72
21121,-78,60
21222,-78,60
21322,-77,64
21422,-74,76
21520,-70,92
21623,-76,68
21723,-71,88
21824,-72,84
21925,-73,80
22024,-74,76
22126,-70,92
22227,-73,80
22326,-74,76
22429,-71,88
22529,-77,64
22630,-70,92
22730,-73,80
22830,-71,88
22931,-72,84
23030,-71,88
23131,-71,88
23233,-73,80
23331,-73,80
23432,-74,76
23535,-74,76
23633,-73,80
23734,-77,64
23835,-76,68
23938,-74,76
24038,-74,76
24137,-74,76
24237,-76,68
24339,-76,68
24439,-77,64
24537,-78,60
24640,-76,68
24743,-75,72
24841,-79,56
24941,-74,76
25041,-76,68
25144,-74,76
25243,-74,76
25344,-76,68
25444,-76,68
25545,-75,72
25653,-75,72
25745,-76,68
25846,-75,72
25947,-75,72
26048,-76,68
26148,-74,76
26250,-76,68
26349,-76,68
26449,-75,72
26551,-76,68
26652,-77,64
26759,-74,76
26853,-78,60
26954,-74,76
27056,-75,72
27156,-74,76
27255,-75,72
27361,-74,76
27457,-76,68
27459,-77,64
27557,-77,64
27657,-76,68
27758,-78,60
27859,-75,72
27961,-76,68
28059,-77,64
28161,-75,72
28260,-76,68
28361,-76,68
28462,-76,68
28562,-76,68
28671,-76,68
28764,-74,76
28863,-73,80
28964,-73,80
29068,-74,76
29167,-74,76
29265,-75,72
29367,-73,80
29466,-73,80
29569,-73,80
29670,-73,80
29768,-73,80
29772,-73,80
29779,-73,80
29871,-73,80
29969,-73,80
30070,-73,80
30172,-74,76
30273,-73,80
30374,-73,80
30473,-73,80
30572,-73,80
30677,-73,80
30776,-73,80
30876,-72,84
30977,-72,84
31076,-74,76
31178,-76,68
31278,-73,80
31379,-69,96
31479,-68,100
31582,-65,112
31680,-63,120
31779,-65,112
31883,-65,112
31886,-65,112
31983,-66,108
32084,-65,112
32183,-68,100
32283,-71,88
32384,-69,96
32484,-66,108
32586,-63,120
32686,-64,116
32786,-65,112
32887,-67,104
32986,-68,100
33088,-68,100
33094,-68,100
33192,-67,104
33289,-66,108
33388,-63,120
33491,-67,104
33591,-66,108
33691,-64,116
33793,-65,112
33890,-64,116
33993,-66,108
34094,-66,108
34194,-66,108
34300,-66,108
34396,-67,104
34497,-65,112
34596,-64,116
34697,-65,112
34798,-65,112
34898,-65,112
34999,-65,112
35100,-64,116
35202,-65,112
35301,-65,112
35402,-66,108
35502,-66,108
35601,-66,108
35703,-65,112
35810,-65,112
35904,-64,116
36005,-64,116
36106,-65,112
36207,-65,112
36309,-66,108
36406,-66,108
36507,-67,104
36608,-67,104
36710,-67,104
36807,-67,104
36910,-67,104
37011,-68,100
37109,-68,100
37212,-67,104
37310,-66,108
37411,-66,108
37512,-66,108
37614,-66,108
37715,-65,112
37815,-65,112
37915,-65,112
38017,-65,112
38115,-66,108
38217,-66,108
38317,-67,104
38418,-67,104
38520,-67,104
38619,-66,108
38718,-68,100
38820,-67,104
38922,-67,104
39020,-66,108
39124,-64,116
39221,-65,112
39325,-65,112
39425,-64,116
39524,-64,116
39627,-64,116
39726,-64,116
39825,-64,116
39927,-64,116
40026,-64,116
40133,-64,116
40226,-64,116
40329,-64,116
40430,-65,112
40530,-64,116
40630,-64,116
40731,-64,116
40836,-64,116
40932,-65,112
41033,-64,116
41135,-66,108
41236,-64,116
41336,-66,108
41433,-65,112
41534,-64,116
41635,-64,116
41738,-65,112
41836,-64,116
41947,-64,116
42037,-66,108
42140,-64,116
42241,-64,116
42340,-65,112
42439,-66,108
42541,-64,116
42642,-64,116
42742,-64,116
42844,-64,116
42943,-64,116
42948,-64,116
43044,-64,116
43145,-64,116
43248,-65,112
43347,-64,116
43452,-64,116
43548,-65,112
43649,-64,116
43748,-65,112
43852,-65,112
43951,-64,116
44050,-65,112
44152,-63,120
44250,-64,116
44351,-65,112
44453,-64,116
44553,-64,116
44653,-64,116
44755,-64,116
44855,-64,116
44956,-64,116
45055,-64,116
45156,-64,116
45257,-64,116
45358,-64,116
45460,-65,112
45557,-63,120
45660,-65,112
45764,-64,116
45868,-64,116
45961,-64,116
46060,-65,112
46163,-64,116
46265,-64,116
46362,-64,116
46465,-65,112
46566,-64,116
46666,-65,112
46766,-66,108
46869,-63,120
46967,-64,116
47070,-64,116
47167,-64,116
47269,-66,108
47369,-64,116
47470,-64,116
47570,-65,112
47679,-66,108
47771,-64,116
47874,-66,108
47974,-65,112
48073,-64,116
48176,-64,116
48272,-64,116
48377,-65,112
48474,-64,116
48578,-64,116
48679,-65,112
48778,-65,112
48878,-65,112
48979,-65,112
49079,-65,112
49181,-65,112
49281,-65,112
49378,-66,108
49482,-66,108
49581,-65,112
49682,-65,112
49784,-65,112
49883,-65,112
49985,-65,112
50086,-65,112
50186,-65,112
50284,-65,112
50387,-65,112
50493,-64,116
50588,-65,112
50688,-65,112
50788,-65,112
50890,-65,112
50990,-65,112
51091,-65,112
51189,-65,112
51291,-64,116
51392,-65,112
51494,-65,112
51594,-64,116
51693,-65,112
51795,-65,112
51895,-65,112
51997,-65,112
52094,-64,116
52197,-64,116
52296,-64,116
52399,-65,112
52499,-64,116
52597,-65,112
52697,-65,112
52800,-65,112
52900,-64,116
53000,-64,116
53100,-65,112
53202,-64,116
53303,-65,112
53405,-64,116
53515,-65,112
53605,-65,112
53712,-65,112
53807,-65,112
53905,-65,112
54007,-65,112
54105,-65,112
54208,-65,112
54308,-65,112
54409,-65,112
54509,-65,112
54609,-65,112
54710,-65,112
54811,-65,112
54910,-65,112
55013,-65,112
55112,-65,112
55214,-65,112
55315,-65,112
55415,-65,112
55515,-65,112
55614,-64,116
55715,-65,112
55818,-64,116
55918,-65,112
56017,-65,112
56118,-65,112
56220,-65,112
56327,-65,112
56421,-65,112
56521,-65,112
56621,-65,112
56723,-65,112
56822,-65,112
56922,-65,112
57025,-64,116
57124,-65,112
57225,-65,112
57328,-64,116
57331,-64,116
57426,-65,112
57527,-65,112
57626,-65,112
57730,-64,116
57830,-64,116
57930,-65,112
58028,-65,112
58131,-64,116
58230,-64,116
58329,-64,116
58438,-65,112
58533,-65,112
58632,-66,108
58734,-64,116
58835,-65,112
58935,-63,120
59034,-65,112
59137,-64,116
59237,-65,112
59339,-64,116
59437,-65,112
59536,-65,112
59638,-65,112
59741,-64,116
59839,-64,116
59939,-65,112
60041,-65,112
60142,-65,112
60244,-64,116
60343,-64,116
