timestamp_ms,rssi,lqi
0,-83,40
180,-86,28
275,-83,40
360,-85,32
450,-87,24
540,-86,28
632,-84,36
723,-82,44
812,-83,40
903,-82,44
994,-84,36
1086,-85,32
1175,-86,28
1265,-86,28
1356,-86,28
1447,-88,20
1539,-88,20
1629,-86,28
1718,-87,24
1808,-88,20
1900,-87,24
1989,-89,16
2080,-86,28
2172,-88,20
2260,-90,12
2365,-93,0
2441,-92,4
2532,-91,8
2623,-88,20
2714,-87,24
2804,-87,24
2807,-86,28
2895,-87,24
2900,-87,24
2985,-88,20
3077,-88,20
3081,-87,24
3167,-88,20
3258,-88,20
3347,-90,12
3438,-89,16
3528,-90,12
3619,-89,16
3710,-88,20
3800,-87,24
3891,-89,16
3982,-89,16
4070,-90,12
4162,-91,8
4251,-92,4
4343,-92,4
4433,-91,8
4534,-92,4
4615,-90,12
4705,-90,12
4709,-90,12
4797,-87,24
4887,-86,28
4976,-87,24
5067,-89,16
5159,-89,16
5249,-91,8
5338,-91,8
5429,-91,8
5520,-89,16
5611,-90,12
5700,-89,16
5790,-89,16
5883,-89,16
5972,-90,12
6064,-91,8
6153,-91,8
6245,-90,12
6334,-92,4
6424,-92,4
6514,-91,8
6605,-88,20
6697,-87,24
6788,-84,36
6877,-83,40
6969,-83,40
7059,-88,20
7148,-91,8
7240,-92,4
7329,-91,8
7420,-88,20
7512,-88,20
7601,-87,24
7691,-85,32
7782,-85,32
7873,-84,36
7965,-84,36
8054,-83,40
8145,-83,40
8236,-82,44
8325,-82,44
8415,-83,40
8506,-82,44
8597,-84,36
8687,-84,36
8777,-84,36
8870,-84,36
8959,-84,36
9050,-84,36
9140,-84,36
9231,-84,36
9322,-84,36
9412,-88,20
9501,-91,8
9592,-89,16
9682,-84,36
9775,-81,48
9865,-81,48
9956,-82,44
10045,-82,44
10136,-85,32
10226,-84,36
10229,-84,36
10317,-82,44
10408,-81,48
10498,-82,44
10589,-89,16
10678,-82,44
10770,-85,32
10859,-85,32
10957,-86,28
11041,-84,36
11131,-83,40
11223,-83,40
11314,-87,24
11403,-85,32
11494,-85,32
11584,-88,20
11674,-84,36
11766,-85,32
11856,-80,52
11947,-80,52
12036,-79,56
12127,-81,48
12218,-82,44
12309,-80,52
12398,-81,48
12501,-80,52
12579,-80,52
12676,-82,44
12761,-83,40
12851,-83,40
12944,-82,44
13033,-81,48
13123,-82,44
13214,-82,44
13304,-81,48
13395,-83,40
13484,-85,32
13575,-85,32
13666,-83,40
13757,-83,40
13848,-87,24
13938,-87,24
14028,-84,36
14117,-87,24
14209,-89,16
14300,-87,24
14390,-87,24
14480,-85,32
14575,-82,44
14661,-84,36
14751,-87,24
14843,-86,28
14933,-83,40
15024,-84,36
15114,-82,44
15205,-82,44
15294,-82,44
15385,-79,56
15476,-80,52
15567,-81,48
15657,-80,52
15747,-87,24
15839,-82,44
15928,-77,64
16020,-88,20
16111,-82,44
16200,-78,60
16290,-86,28
16383,-81,48
16471,-79,56
16569,-80,52
16652,-80,52
16743,-78,60
16838,-80,52
16923,-81,48
17015,-84,36
17105,-80,52
17195,-79,56
17287,-87,24
17376,-78,60
17468,-85,32
17558,-79,56
17648,-87,24
17740,-76,68
17829,-84,36
17919,-82,44
18012,-83,40
18102,-84,36
18191,-80,52
18283,-83,40
18373,-83,40
18463,-83,40
18557,-82,44
18651,-87,24
18735,-77,64
18825,-88,20
18915,-78,60
19006,-78,60
19096,-84,36
19187,-83,40
19278,-86,28
19368,-81,48
19460,-83,40
19548,-86,28
19640,-83,40
19730,-85,32
19820,-86,28
19911,-82,44
20001,-85,32
20092,-84,36
20184,-85,32
20274,-86,28
20365,-85,32
20454,-86,28
20545,-85,32
20635,-83,40
20725,-83,40
20816,-87,24
20908,-86,28
20997,-86,28
21000,-86,28
21087,-84,36
21179,-84,36
21270,-86,28
21359,-84,36
21451,-82,44
21543,-84,36
21638,-83,40
21721,-83,40
21811,-82,44
21904,-83,40
21993,-84,36
22083,-84,36
22175,-83,40
22265,-85,32
22356,-83,40
22446,-82,44
22535,-81,48
22626,-82,44
22717,-81,48
22808,-82,44
22897,-82,44
22989,-80,52
23080,-79,56
23170,-81,48
23259,-80,52
23349,-79,56
23441,-80,52
23531,-80,52
23621,-78,60
23712,-79,56
23803,-78,60
23894,-78,60
23983,-79,56
24076,-80,52
24166,-79,56
24255,-81,48
24345,-79,56
24350,-80,52
24438,-82,44
24526,-82,44
24618,-81,48
24708,-79,56
24799,-77,64
24889,-81,48
24979,-77,64
25070,-83,40
25161,-81,48
25252,-79,56
25346,-83,40
25432,-84,36
25523,-79,56
25614,-80,52
25705,-79,56
25794,-78,60
25884,-80,52
25975,-86,28
26067,-79,56
26155,-81,48
26248,-78,60
26338,-82,44
26428,-89,16
26518,-80,52
26610,-81,48
26700,-78,60
26796,-85,32
26881,-78,60
26971,-78,60
27062,-84,36
27164,-91,8
27243,-80,52
27332,-77,64
27425,-78,60
27515,-79,56
27604,-79,56
27694,-80,52
27787,-85,32
27876,-77,64
27968,-83,40
28057,-81,48
28149,-76,68
28238,-80,52
28329,-92,4
28419,-89,16
28510,-85,32
28600,-88,20
28690,-84,36
28780,-93,0
28872,-83,40
28961,-81,48
29053,-80,52
29143,-80,52
29234,-75,72
29323,-79,56
