rssi,lqi
-60,132
-61,128
-61,128
-61,128
-60,132
-61,128
-60,132
-61,128
-66,108
-68,100
-66,108
-63,120
-62,124
-62,124
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-62,124
-62,124
-63,120
-63,120
-63,120
-64,116
-63,120
-62,124
-62,124
-64,116
-66,108
-61,128
-61,128
-62,124
-61,128
-62,124
-62,124
-61,128
-64,116
-63,120
-62,124
-63,120
-63,120
-61,128
-61,128
-62,124
-63,120
-63,120
-62,124
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-60,132
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-60,132
-60,132
-59,136
-58,140
-58,140
-58,140
-58,140
-59,136
-60,132
-59,136
-60,132
-59,136
-60,132
-60,132
-61,128
-61,128
-60,132
-59,136
-58,140
-59,136
-60,132
-59,136
-59,136
-59,136
-60,132
-60,132
-59,136
-58,140
-58,140
-59,136
-59,136
-59,136
-58,140
-59,136
-60,132
-59,136
-59,136
-60,132
-58,140
-59,136
-58,140
-58,140
-59,136
-58,140
-59,136
-59,136
-58,140
-59,136
-57,144
-58,140
-57,144
-57,144
-57,144
-58,140
-57,144
-57,144
-58,140
-59,136
-57,144
-58,140
-59,136
-58,140
-58,140
-57,144
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-58,140
-58,140
-59,136
-59,136
-60,132
-60,132
-60,132
-61,128
-60,132
-59,136
-60,132
-59,136
-59,136
-57,144
-58,140
-58,140
-59,136
-58,140
-58,140
-59,136
-58,140
-59,136
-60,132
-59,136
-60,132
-60,132
-60,132
-60,132
-60,132
-59,136
-59,136
-58,140
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-58,140
-59,136
-59,136
-60,132
-61,128
-63,120
-61,128
-58,140
-65,112
-65,112
-60,132
-56,148
-55,152
-55,152
-54,156
-53,160
-52,164
-52,164
-53,160
-58,140
-82,44
-87,24
-62,124
-60,132
-59,136
-61,128
-62,124
-63,120
-61,128
-62,124
-65,112
-70,92
-79,56
-79,56
-70,92
-65,112
-71,88
-83,40
-92,4
-72,84
-90,12
-68,100
-66,108
-68,100
-69,96
-68,100
-69,96
-69,96
-70,92
-70,92
-70,92
-64,116
-61,128
-59,136
-61,128
-61,128
-64,116
-68,100
-69,96
-71,88
-68,100
-68,100
-75,72
-67,104
-59,136
-59,136
-60,132
-59,136
-59,136
-57,144
-57,144
-61,128
-79,56
-80,52
-78,60
-78,60
-68,100
-75,72
-71,88
-74,76
-75,72
-73,80
-70,92
-73,80
-71,88
-64,116
-64,116
-65,112
-66,108
-67,104
-66,108
-65,112
-66,108
-65,112
-64,116
-62,124
-65,112
-64,116
-66,108
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-65,112
-65,112
-66,108
-65,112
-63,120
-63,120
-64,116
-64,116
-62,124
-60,132
-58,140
-57,144
-57,144
-57,144
-60,132
-57,144
-58,140
-57,144
-57,144
-57,144
-60,132
-60,132
-63,120
-70,92
-72,84
-81,48
-75,72
-69,96
-68,100
-68,100
-68,100
-66,108
-65,112
-65,112
-66,108
-65,112
-65,112
-66,108
-66,108
-63,120
-61,128
-61,128
-61,128
-60,132
-60,132
-62,124
-62,124
-65,112
-65,112
-61,128
-58,140
-60,132
-70,92
-64,116
-63,120
-61,128
-61,128
-63,120
-65,112
-64,116
-64,116
-66,108
-68,100
-68,100
-78,60
-74,76
-76,68
-70,92
-72,84
-71,88
