/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-05_16.26.59-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-05 16:27:00,172 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-05 16:27:07,916 # help
2025-07-05 16:27:07,918 # Command              Description
2025-07-05 16:27:07,920 # ---------------------------------------
2025-07-05 16:27:07,922 # target_add           Add IPv6 target for sending packets
2025-07-05 16:27:07,924 # send                 Control sender: send start|stop
2025-07-05 16:27:07,927 # status               Show sender status and target list
2025-07-05 16:27:07,928 # ping                 Ping via ICMPv6
2025-07-05 16:27:07,930 # nib                  Configure neighbor information base
2025-07-05 16:27:07,932 # ifconfig             Configure network interfaces
2025-07-05 16:27:07,935 # 6ctx                 6LoWPAN context configuration tool
2025-07-05 16:27:07,937 # pm                   interact with layered PM subsystem
2025-07-05 16:27:07,939 # version              Prints current RIOT_VERSION
2025-07-05 16:27:07,941 # bootloader           Reboot to bootloader
2025-07-05 16:27:07,943 # reboot               Reboot the node
> 2025-07-05 16:27:14,876 # -78,60
2025-07-05 16:27:14,977 # -78,60
2025-07-05 16:27:15,080 # -76,68
2025-07-05 16:27:15,179 # -75,72
2025-07-05 16:27:15,279 # -74,76
2025-07-05 16:27:15,381 # -76,68
2025-07-05 16:27:15,482 # -75,72
2025-07-05 16:27:15,583 # -76,68
2025-07-05 16:27:15,681 # -72,84
2025-07-05 16:27:15,782 # -78,60
2025-07-05 16:27:15,884 # -77,64
2025-07-05 16:27:15,983 # -74,76
2025-07-05 16:27:16,084 # -74,76
2025-07-05 16:27:16,185 # -72,84
2025-07-05 16:27:16,285 # -73,80
2025-07-05 16:27:16,387 # -75,72
2025-07-05 16:27:16,487 # -78,60
2025-07-05 16:27:16,587 # -76,68
2025-07-05 16:27:16,689 # -78,60
2025-07-05 16:27:16,789 # -76,68
2025-07-05 16:27:16,890 # -76,68
2025-07-05 16:27:16,989 # -76,68
2025-07-05 16:27:17,089 # -72,84
2025-07-05 16:27:17,191 # -78,60
2025-07-05 16:27:17,292 # -76,68
2025-07-05 16:27:17,393 # -72,84
2025-07-05 16:27:17,493 # -77,64
