rssi,lqi
-81,48
-81,48
-84,36
-84,36
-87,24
-88,20
-89,16
-89,16
-88,20
-89,16
-88,20
-87,24
-86,28
-87,24
-84,36
-85,32
-86,28
-86,28
-88,20
-89,16
-92,4
-91,8
-90,12
-90,12
-87,24
-88,20
-88,20
-89,16
-90,12
-93,0
-90,12
-89,16
-81,48
-81,48
-77,64
-76,68
-73,80
-73,80
-75,72
-75,72
-76,68
-76,68
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-78,60
-78,60
-82,44
-82,44
-89,16
-87,24
-77,64
-77,64
-80,52
-79,56
-78,60
-79,56
-75,72
-74,76
-75,72
-76,68
-83,40
-82,44
-69,96
-68,100
-69,96
-71,88
-70,92
-70,92
-71,88
-71,88
-72,84
-73,80
-73,80
-71,88
-71,88
-73,80
-74,76
-76,68
-75,72
-76,68
-76,68
-75,72
-75,72
-76,68
-75,72
-74,76
-73,80
-70,92
-70,92
-73,80
-74,76
-78,60
-78,60
-85,32
-84,36
-85,32
-85,32
-84,36
-83,40
-75,72
-75,72
-73,80
-72,84
-71,88
-71,88
-69,96
-69,96
-68,100
-69,96
-69,96
-69,96
-69,96
-69,96
-68,100
-67,104
-68,100
-68,100
-69,96
-69,96
-70,92
-70,92
-69,96
-69,96
-70,92
-70,92
-72,84
-72,84
-73,80
-73,80
-73,80
-73,80
-73,80
-73,80
-72,84
-73,80
-74,76
-74,76
-76,68
-77,64
-78,60
-78,60
-86,28
-85,32
-80,52
-80,52
-73,80
-74,76
-78,60
-78,60
-77,64
-77,64
-74,76
-74,76
-75,72
-75,72
-76,68
-82,44
-83,40
-84,36
-84,36
-83,40
-83,40
-80,52
-80,52
-75,72
-74,76
-72,84
-72,84
-71,88
-71,88
-73,80
-73,80
-73,80
-74,76
-76,68
-76,68
-79,56
-80,52
-91,8
-90,12
-86,28
-86,28
-84,36
-84,36
-79,56
-79,56
-78,60
-76,68
-76,68
-76,68
-74,76
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-71,88
-71,88
-72,84
-73,80
-76,68
-76,68
-78,60
-77,64
-77,64
-77,64
-74,76
-74,76
-73,80
-73,80
-73,80
-73,80
-77,64
-77,64
-73,80
-73,80
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-70,92
-70,92
-70,92
-70,92
-69,96
-69,96
-68,100
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-70,92
-69,96
-69,96
-70,92
-70,92
-70,92
-70,92
-69,96
-69,96
-68,100
-68,100
-68,100
-69,96
-69,96
-69,96
-70,92
-70,92
-72,84
-72,84
-70,92
-69,96
-71,88
-72,84
-73,80
-73,80
-69,96
-69,96
-67,104
-67,104
-69,96
-69,96
-71,88
-72,84
-72,84
-73,80
-72,84
-71,88
-70,92
-70,92
-70,92
-70,92
-71,88
-72,84
-74,76
-73,80
-75,72
-75,72
-76,68
-75,72
-73,80
-73,80
-71,88
-71,88
-71,88
-71,88
-72,84
-73,80
-75,72
-75,72
-76,68
-76,68
-79,56
-79,56
-79,56
-79,56
-81,48
-80,52
-80,52
-79,56
-77,64
-76,68
-74,76
-74,76
-73,80
-74,76
-76,68
-77,64
-76,68
-75,72
-75,72
-72,84
-73,80
-74,76
-74,76
-76,68
-76,68
-77,64
-77,64
-78,60
-78,60
-79,56
-79,56
-80,52
-80,52
-80,52
-81,48
-82,44
-81,48
-80,52
-81,48
-81,48
-81,48
-83,40
-84,36
-84,36
-84,36
-86,28
-86,28
-84,36
-85,32
-85,32
-85,32
-84,36
-83,40
-84,36
-81,48
-80,52
-78,60
-78,60
-80,52
-81,48
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-81,48
-81,48
-81,48
-81,48
-84,36
-84,36
-87,24
-87,24
-86,28
-86,28
-79,56
-78,60
-79,56
-80,52
-78,60
-78,60
-78,60
-78,60
-78,60
-78,60
-78,60
-77,64
-77,64
-76,68
-76,68
-74,76
-74,76
-73,80
-73,80
-74,76
-74,76
-74,76
-74,76
-75,72
-75,72
-75,72
-75,72
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-76,68
-77,64
-77,64
-77,64
-77,64
-77,64
-78,60
-77,64
-76,68
-76,68
-75,72
-75,72
-77,64
-74,76
-75,72
-75,72
-74,76
-74,76
-74,76
-73,80
-74,76
-73,80
-74,76
-74,76
-77,64
-77,64
-72,84
-72,84
-71,88
-70,92
-79,56
-80,52
-75,72
-74,76
-75,72
-76,68
-78,60
-77,64
-79,56
-80,52
-75,72
-75,72
-76,68
-75,72
-78,60
-76,68
-78,60
-78,60
-79,56
-80,52
-89,16
-91,8
-78,60
-78,60
-78,60
-78,60
-76,68
-76,68
-81,48
-80,52
-79,56
-81,48
-73,80
-73,80
-76,68
-78,60
-76,68
-76,68
-78,60
-77,64
-77,64
-77,64
-78,60
-78,60
-75,72
-74,76
-74,76
-74,76
-70,92
-70,92
-72,84
-72,84
-71,88
-71,88
-74,76
-74,76
-74,76
-76,68
-74,76
-75,72
-75,72
-74,76
-74,76
-74,76
-76,68
-75,72
-79,56
-79,56
-80,52
-77,64
-77,64
-76,68
-77,64
-73,80
-73,80
-75,72
-75,72
-71,88
-71,88
-71,88
-72,84
-73,80
-73,80
-73,80
-72,84
-74,76
-74,76
-73,80
-73,80
-72,84
-71,88
-72,84
-72,84
-71,88
-72,84
-73,80
-73,80
-71,88
-71,88
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-72,84
-71,88
-72,84
-72,84
-71,88
-72,84
-72,84
-72,84
-71,88
-71,88
-71,88
-71,88
-69,96
-69,96
-70,92
-70,92
-70,92
-70,92
-71,88
-71,88
-71,88
-71,88
-72,84
-72,84
-73,80
-73,80
-74,76
-74,76
-75,72
-75,72
-74,76
-74,76
-76,68
-76,68
-73,80
-73,80
-78,60
-79,56
-74,76
-74,76
-71,88
-71,88
-72,84
-73,80
-77,64
-77,64
-70,92
-70,92
-68,100
-68,100
-70,92
-69,96
-69,96
-68,100
-68,100
-67,104
-68,100
-67,104
-71,88
-70,92
-71,88
-70,92
-81,48
-79,56
-76,68
-77,64
-70,92
-70,92
-66,108
-66,108
-66,108
-66,108
-71,88
-71,88
-68,100
-68,100
-69,96
-69,96
-75,72
-75,72
-74,76
-73,80
-73,80
-73,80
-74,76
-74,76
-82,44
-82,44
-79,56
-79,56
-76,68
-75,72
-73,80
-73,80
-72,84
-72,84
-73,80
-73,80
-73,80
-74,76
-73,80
-73,80
-72,84
-72,84
-73,80
-73,80
-75,72
-75,72
-76,68
-77,64
-81,48
-81,48
-73,80
-73,80
-75,72
-75,72
-75,72
-75,72
-82,44
-83,40
-78,60
-76,68
-77,64
-76,68
-78,60
-78,60
-83,40
-83,40
-81,48
-80,52
-84,36
