/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-05_18.42.52-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-05 18:42:52,720 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-05 18:42:57,091 # help
2025-07-05 18:42:57,092 # Command              Description
2025-07-05 18:42:57,094 # ---------------------------------------
2025-07-05 18:42:57,096 # target_add           Add IPv6 target for sending packets
2025-07-05 18:42:57,098 # send                 Control sender: send start|stop
2025-07-05 18:42:57,100 # status               Show sender status and target list
2025-07-05 18:42:57,101 # ping                 Ping via ICMPv6
2025-07-05 18:42:57,103 # nib                  Configure neighbor information base
2025-07-05 18:42:57,104 # ifconfig             Configure network interfaces
2025-07-05 18:42:57,106 # 6ctx                 6LoWPAN context configuration tool
2025-07-05 18:42:57,108 # pm                   interact with layered PM subsystem
2025-07-05 18:42:57,109 # version              Prints current RIOT_VERSION
2025-07-05 18:42:57,111 # bootloader           Reboot to bootloader
2025-07-05 18:42:57,112 # reboot               Reboot the node
> 2025-07-05 18:58:53,416 # -93,0
2025-07-05 18:58:53,524 # -93,0
2025-07-05 18:58:53,616 # -93,0
2025-07-05 18:58:53,721 # -93,0
2025-07-05 18:58:53,820 # -93,0
2025-07-05 18:58:53,919 # -93,0
2025-07-05 18:58:53,930 # -93,0
2025-07-05 18:58:54,020 # -93,0
2025-07-05 18:58:54,120 # -93,0
2025-07-05 18:58:54,220 # -93,0
2025-07-05 18:58:54,320 # -93,0
2025-07-05 18:58:54,623 # -93,0
2025-07-05 18:58:54,626 # -93,0
2025-07-05 18:58:54,629 # -93,0
2025-07-05 18:58:54,634 # -93,0
2025-07-05 18:58:54,640 # -93,0
2025-07-05 18:58:54,731 # -93,0
2025-07-05 18:58:54,838 # -93,0
2025-07-05 18:58:54,926 # -91,8
2025-07-05 18:58:55,024 # -93,0
2025-07-05 18:58:55,029 # -93,0
2025-07-05 18:58:55,132 # -93,0
2025-07-05 18:58:55,134 # -93,0
2025-07-05 18:58:55,250 # -93,0
2025-07-05 18:58:55,254 # -93,0
2025-07-05 18:58:55,260 # -93,0
2025-07-05 18:58:55,345 # -93,0
2025-07-05 18:58:55,347 # -93,0
2025-07-05 18:58:55,353 # -93,0
2025-07-05 18:58:55,355 # -93,0
2025-07-05 18:58:55,361 # -93,0
2025-07-05 18:58:55,727 # -93,0
2025-07-05 18:58:55,733 # -93,0
2025-07-05 18:58:55,735 # -93,0
