/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-05_20.02.23-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-05 20:02:24,084 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-05 20:02:28,814 # help
2025-07-05 20:02:28,816 # Command              Description
2025-07-05 20:02:28,818 # ---------------------------------------
2025-07-05 20:02:28,820 # target_add           Add IPv6 target for sending packets
2025-07-05 20:02:28,822 # send                 Control sender: send start|stop
2025-07-05 20:02:28,824 # status               Show sender status and target list
2025-07-05 20:02:28,826 # ping                 Ping via ICMPv6
2025-07-05 20:02:28,828 # nib                  Configure neighbor information base
2025-07-05 20:02:28,829 # ifconfig             Configure network interfaces
2025-07-05 20:02:28,831 # 6ctx                 6LoWPAN context configuration tool
2025-07-05 20:02:28,833 # pm                   interact with layered PM subsystem
2025-07-05 20:02:28,835 # version              Prints current RIOT_VERSION
2025-07-05 20:02:28,836 # bootloader           Reboot to bootloader
2025-07-05 20:02:28,838 # reboot               Reboot the node
> 2025-07-05 20:02:42,032 # -87,24
2025-07-05 20:02:42,132 # -80,52
2025-07-05 20:02:42,233 # -81,48
2025-07-05 20:02:42,333 # -79,56
2025-07-05 20:02:42,435 # -80,52
2025-07-05 20:02:42,535 # -86,28
2025-07-05 20:02:42,635 # -85,32
2025-07-05 20:02:42,736 # -88,20
2025-07-05 20:02:42,835 # -84,36
2025-07-05 20:02:42,936 # -80,52
2025-07-05 20:02:43,038 # -79,56
2025-07-05 20:02:43,137 # -79,56
2025-07-05 20:02:43,238 # -77,64
2025-07-05 20:02:43,340 # -80,52
2025-07-05 20:02:43,440 # -83,40
2025-07-05 20:02:43,541 # -82,44
2025-07-05 20:02:43,641 # -81,48
2025-07-05 20:02:43,742 # -84,36
2025-07-05 20:02:43,847 # -82,44
2025-07-05 20:02:43,944 # -84,36
2025-07-05 20:02:44,043 # -81,48
2025-07-05 20:02:44,144 # -79,56
2025-07-05 20:02:44,244 # -80,52
2025-07-05 20:02:44,347 # -79,56
2025-07-05 20:02:44,445 # -80,52
2025-07-05 20:02:44,548 # -82,44
2025-07-05 20:02:44,646 # -82,44
2025-07-05 20:02:44,748 # -83,40
2025-07-05 20:02:44,847 # -87,24
2025-07-05 20:02:44,948 # -86,28
2025-07-05 20:02:45,048 # -89,16
2025-07-05 20:02:45,149 # -84,36
2025-07-05 20:02:45,153 # -84,36
2025-07-05 20:02:45,251 # -80,52
2025-07-05 20:02:45,351 # -80,52
2025-07-05 20:02:45,451 # -80,52
2025-07-05 20:02:45,553 # -80,52
2025-07-05 20:02:45,653 # -84,36
2025-07-05 20:02:45,752 # -86,28
2025-07-05 20:02:45,854 # -86,28
2025-07-05 20:02:45,955 # -84,36
2025-07-05 20:02:46,054 # -85,32
2025-07-05 20:02:46,154 # -84,36
2025-07-05 20:02:46,255 # -85,32
2025-07-05 20:02:46,356 # -83,40
2025-07-05 20:02:46,457 # -82,44
2025-07-05 20:02:46,557 # -79,56
2025-07-05 20:02:46,659 # -77,64
2025-07-05 20:02:46,759 # -78,60
2025-07-05 20:02:46,858 # -78,60
2025-07-05 20:02:46,959 # -79,56
2025-07-05 20:02:47,060 # -81,48
2025-07-05 20:02:47,160 # -80,52
2025-07-05 20:02:47,261 # -79,56
2025-07-05 20:02:47,363 # -80,52
2025-07-05 20:02:47,462 # -79,56
