/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-10_17.30.47-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-10 17:30:47,588 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-10 17:30:51,239 # help
2025-07-10 17:30:51,241 # Command              Description
2025-07-10 17:30:51,243 # ---------------------------------------
2025-07-10 17:30:51,245 # target_add           Add IPv6 target for sending packets
2025-07-10 17:30:51,247 # send                 Control sender: send start|stop
2025-07-10 17:30:51,250 # status               Show sender status and target list
2025-07-10 17:30:51,251 # ping                 Ping via ICMPv6
2025-07-10 17:30:51,253 # nib                  Configure neighbor information base
2025-07-10 17:30:51,255 # ifconfig             Configure network interfaces
2025-07-10 17:30:51,257 # 6ctx                 6LoWPAN context configuration tool
2025-07-10 17:30:51,259 # pm                   interact with layered PM subsystem
2025-07-10 17:30:51,261 # version              Prints current RIOT_VERSION
2025-07-10 17:30:51,263 # bootloader           Reboot to bootloader
2025-07-10 17:30:51,264 # reboot               Reboot the node
> 2025-07-10 17:30:56,975 # -69,96
2025-07-10 17:30:57,075 # -70,92
2025-07-10 17:30:57,175 # -70,92
2025-07-10 17:30:57,277 # -69,96
2025-07-10 17:30:57,378 # -69,96
2025-07-10 17:30:57,477 # -69,96
2025-07-10 17:30:57,577 # -69,96
2025-07-10 17:30:57,677 # -69,96
2025-07-10 17:30:57,778 # -69,96
2025-07-10 17:30:57,880 # -69,96
2025-07-10 17:30:57,980 # -68,100
2025-07-10 17:30:58,082 # -68,100
2025-07-10 17:30:58,181 # -69,96
2025-07-10 17:30:58,280 # -68,100
2025-07-10 17:30:58,381 # -66,108
2025-07-10 17:30:58,484 # -67,104
2025-07-10 17:30:58,584 # -67,104
2025-07-10 17:30:58,685 # -68,100
2025-07-10 17:30:58,784 # -68,100
2025-07-10 17:30:58,883 # -66,108
2025-07-10 17:30:58,986 # -65,112
2025-07-10 17:30:59,085 # -68,100
2025-07-10 17:30:59,186 # -66,108
2025-07-10 17:30:59,286 # -66,108
2025-07-10 17:30:59,387 # -65,112
2025-07-10 17:30:59,490 # -64,116
2025-07-10 17:30:59,588 # -66,108
2025-07-10 17:30:59,691 # -69,96
2025-07-10 17:30:59,791 # -72,84
2025-07-10 17:30:59,890 # -72,84
2025-07-10 17:30:59,993 # -72,84
2025-07-10 17:31:00,093 # -68,100
2025-07-10 17:31:00,192 # -70,92
2025-07-10 17:31:00,294 # -70,92
2025-07-10 17:31:00,395 # -67,104
2025-07-10 17:31:00,494 # -70,92
2025-07-10 17:31:00,595 # -71,88
2025-07-10 17:31:00,695 # -69,96
2025-07-10 17:31:00,803 # -70,92
2025-07-10 17:31:00,898 # -68,100
2025-07-10 17:31:00,999 # -68,100
2025-07-10 17:31:01,002 # -68,100
2025-07-10 17:31:01,097 # -67,104
2025-07-10 17:31:01,200 # -65,112
2025-07-10 17:31:01,298 # -66,108
2025-07-10 17:31:01,400 # -65,112
2025-07-10 17:31:01,500 # -66,108
2025-07-10 17:31:01,600 # -66,108
2025-07-10 17:31:01,702 # -65,112
2025-07-10 17:31:01,801 # -64,116
2025-07-10 17:31:01,904 # -65,112
2025-07-10 17:31:02,003 # -65,112
2025-07-10 17:31:02,103 # -66,108
2025-07-10 17:31:02,205 # -67,104
2025-07-10 17:31:02,306 # -67,104
2025-07-10 17:31:02,406 # -68,100
2025-07-10 17:31:02,505 # -68,100
2025-07-10 17:31:02,510 # -68,100
2025-07-10 17:31:02,607 # -69,96
2025-07-10 17:31:02,706 # -69,96
2025-07-10 17:31:02,807 # -70,92
2025-07-10 17:31:02,909 # -70,92
2025-07-10 17:31:03,008 # -70,92
2025-07-10 17:31:03,109 # -70,92
2025-07-10 17:31:03,211 # -73,80
2025-07-10 17:31:03,310 # -72,84
2025-07-10 17:31:03,411 # -75,72
2025-07-10 17:31:03,418 # -75,72
2025-07-10 17:31:03,512 # -73,80
2025-07-10 17:31:03,612 # -70,92
2025-07-10 17:31:03,618 # -70,92
2025-07-10 17:31:03,714 # -66,108
2025-07-10 17:31:03,813 # -66,108
2025-07-10 17:31:03,914 # -67,104
2025-07-10 17:31:04,015 # -67,104
2025-07-10 17:31:04,116 # -67,104
2025-07-10 17:31:04,216 # -66,108
2025-07-10 17:31:04,317 # -67,104
2025-07-10 17:31:04,418 # -67,104
2025-07-10 17:31:04,517 # -66,108
2025-07-10 17:31:04,617 # -65,112
2025-07-10 17:31:04,718 # -67,104
2025-07-10 17:31:04,819 # -66,108
2025-07-10 17:31:04,925 # -67,104
2025-07-10 17:31:05,019 # -66,108
2025-07-10 17:31:05,121 # -68,100
2025-07-10 17:31:05,223 # -66,108
2025-07-10 17:31:05,323 # -66,108
2025-07-10 17:31:05,422 # -67,104
2025-07-10 17:31:05,524 # -67,104
2025-07-10 17:31:05,625 # -67,104
2025-07-10 17:31:05,725 # -69,96
2025-07-10 17:31:05,824 # -65,112
2025-07-10 17:31:05,925 # -70,92
2025-07-10 17:31:06,027 # -68,100
2025-07-10 17:31:06,127 # -69,96
2025-07-10 17:31:06,227 # -68,100
2025-07-10 17:31:06,328 # -67,104
2025-07-10 17:31:06,434 # -66,108
2025-07-10 17:31:06,529 # -65,112
2025-07-10 17:31:06,630 # -64,116
2025-07-10 17:31:06,731 # -65,112
2025-07-10 17:31:06,831 # -64,116
2025-07-10 17:31:06,932 # -65,112
2025-07-10 17:31:07,031 # -66,108
2025-07-10 17:31:07,132 # -66,108
2025-07-10 17:31:07,233 # -67,104
2025-07-10 17:31:07,334 # -69,96
2025-07-10 17:31:07,433 # -69,96
2025-07-10 17:31:07,536 # -70,92
2025-07-10 17:31:07,634 # -67,104
2025-07-10 17:31:07,736 # -66,108
2025-07-10 17:31:07,836 # -65,112
2025-07-10 17:31:07,937 # -64,116
2025-07-10 17:31:08,037 # -64,116
2025-07-10 17:31:08,137 # -65,112
2025-07-10 17:31:08,239 # -67,104
2025-07-10 17:31:08,339 # -66,108
2025-07-10 17:31:08,438 # -66,108
2025-07-10 17:31:08,540 # -66,108
2025-07-10 17:31:08,640 # -68,100
2025-07-10 17:31:08,741 # -67,104
2025-07-10 17:31:08,843 # -67,104
2025-07-10 17:31:08,942 # -68,100
2025-07-10 17:31:09,043 # -68,100
2025-07-10 17:31:09,143 # -67,104
2025-07-10 17:31:09,245 # -68,100
2025-07-10 17:31:09,345 # -68,100
2025-07-10 17:31:09,446 # -67,104
2025-07-10 17:31:09,547 # -67,104
2025-07-10 17:31:09,646 # -67,104
2025-07-10 17:31:09,650 # -67,104
2025-07-10 17:31:09,748 # -67,104
2025-07-10 17:31:09,847 # -67,104
2025-07-10 17:31:09,947 # -68,100
2025-07-10 17:31:10,050 # -67,104
2025-07-10 17:31:10,150 # -67,104
2025-07-10 17:31:10,249 # -67,104
2025-07-10 17:31:10,349 # -67,104
2025-07-10 17:31:10,452 # -67,104
2025-07-10 17:31:10,551 # -67,104
2025-07-10 17:31:10,653 # -67,104
2025-07-10 17:31:10,753 # -67,104
2025-07-10 17:31:10,853 # -67,104
2025-07-10 17:31:10,953 # -69,96
2025-07-10 17:31:11,055 # -67,104
2025-07-10 17:31:11,155 # -67,104
2025-07-10 17:31:11,256 # -67,104
2025-07-10 17:31:11,356 # -68,100
2025-07-10 17:31:11,460 # -68,100
2025-07-10 17:31:11,556 # -66,108
2025-07-10 17:31:11,657 # -68,100
2025-07-10 17:31:11,759 # -71,88
2025-07-10 17:31:11,859 # -70,92
2025-07-10 17:31:11,960 # -69,96
2025-07-10 17:31:12,061 # -69,96
2025-07-10 17:31:12,162 # -68,100
2025-07-10 17:31:12,260 # -67,104
2025-07-10 17:31:12,361 # -68,100
2025-07-10 17:31:12,465 # -67,104
2025-07-10 17:31:12,567 # -68,100
2025-07-10 17:31:12,663 # -68,100
2025-07-10 17:31:12,765 # -68,100
2025-07-10 17:31:12,865 # -68,100
2025-07-10 17:31:12,970 # -68,100
2025-07-10 17:31:13,066 # -68,100
2025-07-10 17:31:13,167 # -68,100
2025-07-10 17:31:13,267 # -68,100
2025-07-10 17:31:13,367 # -67,104
2025-07-10 17:31:13,467 # -67,104
2025-07-10 17:31:13,568 # -67,104
2025-07-10 17:31:13,668 # -68,100
2025-07-10 17:31:13,768 # -68,100
2025-07-10 17:31:13,870 # -68,100
2025-07-10 17:31:13,970 # -68,100
2025-07-10 17:31:14,072 # -69,96
2025-07-10 17:31:14,173 # -69,96
2025-07-10 17:31:14,273 # -69,96
2025-07-10 17:31:14,372 # -69,96
2025-07-10 17:31:14,474 # -69,96
2025-07-10 17:31:14,574 # -70,92
2025-07-10 17:31:14,674 # -70,92
2025-07-10 17:31:14,775 # -70,92
2025-07-10 17:31:14,876 # -70,92
2025-07-10 17:31:14,977 # -69,96
2025-07-10 17:31:15,077 # -69,96
2025-07-10 17:31:15,178 # -70,92
