/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-10_16.25.26-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-10 16:25:26,450 # Connect to serial port /dev/ttyACM0
2025-07-10 16:25:27,453 # r
Welcome to pyterm!
Type '/exit' to exit.
2025-07-10 16:25:27,455 # main(): This is RIOT! (Version: 2025.01)
2025-07-10 16:25:27,457 # Packet Logger w/ Timestamp RSSI LQI
2025-07-10 16:25:27,457 # 
2025-07-10 16:25:27,458 # [recv_thread] started
2025-07-10 16:25:27,459 # [sender_thread] started
> 2025-07-10 16:25:31,142 # help
2025-07-10 16:25:31,144 # Command              Description
2025-07-10 16:25:31,146 # ---------------------------------------
2025-07-10 16:25:31,149 # target_add           Add IPv6 target for sending packets
2025-07-10 16:25:31,151 # send                 Control sender: send start|stop
2025-07-10 16:25:31,153 # status               Show sender status and target list
2025-07-10 16:25:31,155 # ping                 Ping via ICMPv6
2025-07-10 16:25:31,157 # nib                  Configure neighbor information base
2025-07-10 16:25:31,159 # ifconfig             Configure network interfaces
2025-07-10 16:25:31,161 # 6ctx                 6LoWPAN context configuration tool
2025-07-10 16:25:31,163 # pm                   interact with layered PM subsystem
2025-07-10 16:25:31,165 # version              Prints current RIOT_VERSION
2025-07-10 16:25:31,166 # bootloader           Reboot to bootloader
2025-07-10 16:25:31,168 # reboot               Reboot the node
> 2025-07-10 16:25:50,468 # -84,36
2025-07-10 16:25:50,571 # -90,12
2025-07-10 16:25:50,671 # -81,48
2025-07-10 16:25:50,772 # -87,24
2025-07-10 16:25:50,873 # -87,24
2025-07-10 16:25:50,972 # -93,0
2025-07-10 16:25:50,976 # -93,0
2025-07-10 16:25:50,979 # -93,0
2025-07-10 16:25:50,985 # -93,0
2025-07-10 16:25:50,990 # -92,4
2025-07-10 16:25:51,071 # -82,44
2025-07-10 16:25:51,172 # -86,28
2025-07-10 16:25:51,273 # -81,48
2025-07-10 16:25:51,377 # -84,36
2025-07-10 16:25:51,477 # -81,48
2025-07-10 16:25:51,576 # -85,32
2025-07-10 16:25:51,676 # -83,40
2025-07-10 16:25:51,680 # -83,40
2025-07-10 16:25:51,685 # -83,40
2025-07-10 16:25:51,777 # -83,40
2025-07-10 16:25:51,877 # -82,44
2025-07-10 16:25:51,983 # -82,44
2025-07-10 16:25:52,078 # -85,32
2025-07-10 16:25:52,179 # -84,36
2025-07-10 16:25:52,279 # -81,48
2025-07-10 16:25:52,380 # -88,20
2025-07-10 16:25:52,480 # -85,32
2025-07-10 16:25:52,581 # -85,32
2025-07-10 16:25:52,687 # -89,16
2025-07-10 16:25:52,789 # -83,40
2025-07-10 16:25:52,895 # -93,0
2025-07-10 16:25:52,898 # -93,0
2025-07-10 16:25:52,905 # -93,0
2025-07-10 16:25:52,982 # -91,8
2025-07-10 16:25:53,086 # -90,12
2025-07-10 16:25:53,184 # -89,16
